"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.68","0.32","0.35","0.65","0.14","0.38","0.73","0.7","0.49","0.92","0.11","0.97","0.22","0.08","0.05","0.62","0.76","0.89","0.46","0.03","0.84","0.43","0.51","0.24","0.78","0.3","0.59","0.54","0.57","0.19","0.41","1","0.27","0.16","0.81","0.95","0.86"
"Abara","0.16","0.03","0.51","0.14","0.19","0.84","0.59","0.89","0.35","0.97","0.38","0.86","0.22","0.11","0.24","0.7","0.68","1","0.62","0.05","0.32","0.46","0.49","0.43","0.41","0.78","0.81","0.73","0.3","0.54","0.65","0.92","0.08","0.27","0.95","0.57","0.76"
"Abarwuha","0.89","0.35","0.95","0.38","0.22","0.51","0.76","1","0.62","0.84","0.3","0.92","0.16","0.03","0.05","0.32","0.54","0.97","0.24","0.11","0.78","0.7","0.86","0.49","0.19","0.08","0.73","0.41","0.65","0.14","0.81","0.57","0.43","0.46","0.27","0.59","0.68"
"Abaselima","0.16","0.03","0.62","0.08","0.14","0.76","0.7","0.92","0.3","1","0.43","0.86","0.27","0.05","0.19","0.59","0.51","0.97","0.46","0.11","0.65","0.22","0.38","0.73","0.57","0.81","0.68","0.84","0.32","0.49","0.54","0.89","0.24","0.35","0.95","0.41","0.78"
"Abina","0.62","0.3","0.14","0.68","0.05","0.49","0.38","0.16","0.35","0.86","0.08","0.97","0.19","0.27","0.11","0.7","0.81","0.59","0.76","0.03","0.78","0.22","0.24","0.51","0.89","0.32","0.57","0.43","0.73","0.54","0.65","1","0.46","0.41","0.84","0.92","0.95"
"AbrahaAtsbaha","0.73","0.03","0.22","0.54","0.08","0.38","0.19","0.3","0.68","0.41","0.14","0.89","0.7","0.27","0.11","0.49","0.62","0.81","0.51","0.05","0.59","0.24","0.35","0.46","0.65","0.57","0.16","0.95","0.97","0.86","0.43","1","0.32","0.78","0.92","0.84","0.76"
"Abrekuy","0.41","0.05","0.81","0.08","0.03","0.7","0.92","0.95","0.78","0.86","0.51","1","0.27","0.16","0.14","0.54","0.62","0.84","0.11","0.19","0.89","0.97","0.49","0.46","0.22","0.32","0.68","0.57","0.24","0.38","0.43","0.76","0.73","0.3","0.59","0.35","0.65"
"AdekeAla","0.35","0.03","0.27","0.59","0.08","0.62","0.22","0.3","0.49","0.86","0.76","1","0.65","0.19","0.14","0.92","0.73","0.97","0.81","0.05","0.38","0.51","0.57","0.68","0.43","0.11","0.32","0.41","0.84","0.54","0.78","0.95","0.16","0.46","0.24","0.7","0.89"
"Adekiney","0.7","0.38","0.16","0.24","0.27","0.68","0.22","0.32","0.03","0.92","0.11","0.97","0.19","0.14","0.35","0.3","0.49","0.78","0.43","0.05","0.84","0.08","0.41","0.57","0.54","0.65","0.59","0.73","0.86","0.81","0.51","1","0.46","0.89","0.62","0.76","0.95"
"AderSeg","0.57","0.32","0.19","0.73","0.14","0.22","0.68","0.43","0.38","0.95","0.05","1","0.11","0.16","0.08","0.59","0.84","0.86","0.62","0.03","0.92","0.41","0.35","0.27","0.81","0.3","0.65","0.54","0.7","0.46","0.51","0.97","0.24","0.49","0.76","0.89","0.78"
