"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.89","1","0.59","0.73","0.89","0.97",,"0.03"
"Abara","1","0.68","0.46","0.76","1","0.54",,"0.12"
"Abarwuha","0.97","0.27","0.68","0.97","0.97","0.92",,"0.16"
"Abaselima","1","0.68","0.59","0.59","1","0.68",,"0.12"
"Abina","0.89","0.68","0.65","0.78","0.89","0.89",,"0.03"
"AbrahaAtsbaha","0.54","0.68","0.16","0.57","0.54","0.7",,"0.03"
"Abrekuy","0.65","0.68","0.57","0.59","0.65","0.65",,"0.12"
"AdekeAla","0.24","0.22","0.19","0.57","0.24","0.65",,"0.06"
"Adekiney","0.3","0.81","0.19","0.78","0.3","0.49",,"0.12"
"AderSeg","0.89","0.57","0.62","0.73","0.89","0.95",,"0.03"
"Adibearj","0.08","0.32","0.03","0.16","0.08","0.03",,"0.03"
"AdiHa","0.19","0.51","0.08","0.19","0.19","0.3",,"0.19"
"AdiKisandid","0.54","0.78","0.19","0.46","0.54","0.86",,"0.03"
"Adisalem","0.89","0.68","0.73","0.86","0.89","0.43",,"0.09"
"AdisAlemS","0.24","0.22","0.38","0.76","0.24","0.22",,"0.06"
"AdisAlemW","0.32","0.62","0.27","0.62","0.32","0.41",,"0.06"
"Adiselam","0.03","0.19","0.03","0.14","0.03","0.08",,"0.03"
"Adishimbirkti","0.49","0.86","0.14","0.14","0.49","0.97",,"0.25"
"AdisKigni","0.51","0.86","0.35","0.57","0.51","0.65",,"0.16"
"Adiyikoro","0.86","0.41","0.16","0.51","0.86","0.38",,"0.06"
"Adizata","0.86","0.49","0.14","0.54","0.86","0.22",,"0.06"
"Adreb","0.08","0.35","0.03","0.19","0.08","0.03",,"0.03"
"AgazenMeda","1","0.27","0.76","0.92","1","0.78",,"0.16"
"Agazi","0.32","0.86","0.32","0.73","0.32","0.81",,"0.12"
"Agbe","0.16","0.43","0.03","0.03","0.16","0.16",,"0.19"
"Agela","0.51","0.41","0.51","1","0.51","0.32",,"0.06"
"Agid","1","0.41","1","1","1","0.22",,"0.03"
"AlemeTesfa","1","0.68","0.68","0.89","1","0.76",,"0.09"
"AmdiWeyane","0.24","0.24","0.38","0.76","0.24","0.46",,"0.06"
"Amedwuha","0.43","0.41","0.14","0.49","0.43","0.78",,"0.12"
"Ameno","0.68","1","0.54","1","0.68","0.84",,"0.06"
"Amisetya","0.89","0.7","0.68","0.81","0.89","0.76",,"0.03"
"Angot","0.97","0.46","0.73","0.95","0.97","0.95",,"0.16"
"Anigot","0.51","0.41","0.59","1","0.51","0.35",,"0.06"
"Ansheb","1","0.68","0.57","0.81","1","0.46",,"0.16"
"AquaShumoch","0.89","0.22","0.46","1","0.89","0.7",,"0.03"
"Aquha","0.89","0.73","0.46","0.81","0.89","0.81",,"0.03"
"Arena","0.27","0.57","0.11","0.08","0.27","0.38",,"0.06"
"Asmena","0.3","0.86","0.22","0.76","0.3","0.97",,"0.12"
"Asta","0.62","1","0.51","1","0.62","0.59",,"0.06"
"Atakilti","0.05","0.35","0.03","0.03","0.05","0.08",,"0.06"
"AwetBikalsi","0.19","0.51","0.08","0.19","0.19","0.3",,"0.19"
"AwusaMeda","1","0.68","0.62","0.76","1","0.76",,"0.09"
"Ayba","0.51","0.57","0.16","0.43","0.51","0.95",,"0.62"
"Aynalem","0.54","0.73","0.14","0.3","0.54","0.46",,"0.03"
"Bala","0.51","0.86","0.27","0.54","0.51","0.73",,"0.16"
"Balarab","0.89","0.73","0.68","0.76","0.89","0.86",,"0.03"
"Bamba","0.11","0.43","0.14","0.49","0.11","0.46",,"0.06"
"BarkaAdiswha","0.54","0.89","0.11","0.14","0.54","0.86",,"0.03"
"Begasheka","0.05","0.35","0.03","0.03","0.05","0.11",,"0.06"
"Berlay","1","0.68","0.78","0.89","1","0.95",,"0.09"
"Betgebez","0.32","0.73","0.16","0.59","0.32","0.24",,"0.03"
"Bethans","0.68","0.27","0.05","0.43","0.68","0.14",,"0.03"
"BilbWuha","1","1","0.57","1","1","0.65",,"0.03"
"Birkutea","0.57","0.41","0.54","1","0.57","0.43",,"0.06"
"Boneya","1","0.68","0.46","0.68","1","0.57",,"0.12"
"Burkoche","0.97","0.7","0.46","0.81","0.97","0.78",,"0.03"
"Cheli","0.38","0.35","0.49","0.76","0.38","0.59",,"0.06"
"Darubekeda","0.43","0.57","0.14","0.65","0.43","0.54",,"0.25"
"Deberkerbye","0.51","0.3","0.03","0.16","0.51","0.08",,"0.03"
"DeberAbaJale","0.68","0.41","0.43","0.68","0.68","0.89",,"0.03"
"DebrAbay","0.95","0.68","0.54","0.78","0.95","0.51",,"0.09"
"DebreAliays","1","0.68","0.62","0.86","1","0.38",,"0.09"
"Debrebirhan","0.57","0.81","0.24","0.76","0.57","0.89",,"0.09"
"Debrebrhan","0.57","0.62","0.05","0.05","0.57","0.11",,"0.03"
"DebreGenet","0.97","0.68","0.7","1","0.97","0.81",,"0.09"
"DebreGenetA","0.22","0.32","0.03","0.32","0.22","0.49",,"0.03"
"DebreGenetK","0.05","0.38","0.03","0.05","0.05","0.19",,"0.06"
"DebreGeorgis","1","0.68","0.7","0.86","1","0.65",,"0.09"
"DebreKidusan","1","0.65","0.46","0.62","1","0.7",,"0.09"
"Debremawie","1","0.68","0.59","0.7","1","0.62",,"0.09"
"Debreselam","0.24","0.73","0.14","0.41","0.24","0.41",,"0.09"
"Debrinetseb","0.03","0.3","0.03","0.11","0.03","0.22",,"0.06"
"Dekera","0.46","0.16","0.35","0.46","0.46","0.32",,"0.03"
"DembezaAmbaLay","1","0.68","0.62","0.73","1","0.7",,"0.09"
"Derit","0.97","0.14","0.76","0.95","0.97","0.81",,"0.16"
"Derita","0.62","1","1","1","0.62","0.81",,"0.06"
"Dinkashena","0.38","0.51","0.16","0.41","0.38","0.54",,"0.03"
"Ebo","0.54","0.81","0.22","0.43","0.54","0.97",,"0.62"
"Edagaarbi","0.27","0.86","0.24","0.78","0.27","0.51",,"0.31"
"EmbaAhfrom","0.43","0.76","0.19","0.73","0.43","0.43",,"0.06"
"EmbachekoGunaguna","0.89","0.14","0.51","0.73","0.89","0.76",,"0.03"
"EndaBagerima","0.76","0.41","0.11","0.41","0.76","0.35",,"0.03"
"Endabano","0.05","0.38","0.05","0.11","0.05","0.35",,"0.03"
"Endachiwa","0.22","0.38","0.11","0.24","0.22","0.19",,"0.06"
"EndaFelasi","0.05","0.43","0.03","0.08","0.05","0.16",,"0.03"
"Endagahamus","0.14","0.43","0.08","0.05","0.14","0.32",,"0.06"
"Endamariam","0.46","0.73","0.22","0.59","0.46","0.54",,"0.03"
"Erba","0.51","0.89","0.22","0.54","0.51","0.84",,"0.19"
"Esiret","0.38","0.27","0.11","0.49","0.38","0.14",,"0.06"
"Estifanos","0.57","0.41","0.59","1","0.57","0.73",,"0.06"
"Fala","0.54","0.7","0.16","0.27","0.54","0.81",,"0.22"
"Felegehiwot","0.97","0.65","0.59","1","0.97","0.92",,"0.09"
"FelegeWayane","0.57","0.97","0.19","0.54","0.57","0.76",,"0.03"
"FikreAlem","0.49","0.41","0.27","0.46","0.49","0.62",,"0.47"
"Filatako","0.97","0.14","0.76","0.92","0.97","0.7",,"0.16"
"Gebsit","1","0.68","0.32","0.76","1","0.78",,"0.12"
"Gedayasu","1","0.68","0.32","0.76","1","0.54",,"0.16"
"GelaMatebiya","0.78","0.41","0.68","0.76","0.78","0.95",,"0.03"
"Gendebta","0.76","0.46","0.16","0.51","0.76","0.11",,"0.06"
"Geneti","0.54","0.86","0.32","0.38","0.54","0.92",,"0.62"
"Genfel","0.54","0.76","0.14","0.24","0.54","0.59",,"0.03"
"Gera","0.05","0.43","0.03","0.11","0.05","0.22",,"0.09"
"Gerjale","0.54","0.86","0.38","0.49","0.54","0.84",,"0.31"
"GetskiMilesiley","0.05","0.32","0.05","0.08","0.05","0.32",,"0.19"
"Gijet","0.22","0.54","0.11","0.14","0.22","0.24",,"0.19"
"Ginaza","0.46","0.41","1","1","0.46","0.51",,"0.03"
"Golgolemalee","0.57","0.84","0.14","0.19","0.57","0.86",,"0.03"
"Goshedur","0.97","0.65","0.51","1","0.97","0.89",,"0.09"
"Goza","1","1","0.57","1","1","0.92",,"0.03"
"Grwre","0.03","0.46","0.05","0.24","0.03","0.3",,"0.09"
"GuemseAgamet","0.35","0.95","0.24","0.7","0.35","0.86",,"0.12"
"Guroro","0.03","0.32","0.03","0.16","0.03","0.24",,"0.06"
"Guya","0.27","0.27","0.03","0.08","0.27","0.08",,"0.06"
"Habees","0.54","0.84","0.11","0.11","0.54","0.86",,"0.03"
"Hadashtekli","0.08","0.46","0.03","0.14","0.08","0.24",,"0.19"
"HadeAlga","0.62","0.86","0.22","0.59","0.62","0.92",,"0.19"
"HadnetK","0.57","0.62","0.03","0.05","0.57","0.46",,"0.06"
"HadnetS","0.32","0.86","0.32","0.73","0.32","0.81",,"0.12"
"HadushAdi","0.3","0.89","0.24","0.73","0.3","0.73",,"0.12"
"HadushHiwet","0.3","0.81","0.3","0.76","0.3","0.95",,"0.12"
"HagereGenet","1","0.68","0.76","0.92","1","0.59",,"0.09"
"HagereSelamE","0.95","0.68","0.62","0.81","0.95","0.49",,"0.09"
"HagereSelamW","0.51","0.43","0.14","0.27","0.51","0.43",,"0.03"
"Hangoda","0.32","0.86","0.32","0.73","0.32","0.81",,"0.12"
"Hareko","0.41","0.3","0.22","0.51","0.41","0.54",,"0.12"
"Hawelti","0.54","0.84","0.24","0.59","0.54","0.97",,"0.62"
"Hayelom","0.54","0.68","0.08","0.14","0.54","0.22",,"0.09"
"Hintsa","0.24","0.24","0.41","0.78","0.24","0.59",,"0.06"
"HintsaWaza","0.24","0.24","0.43","0.73","0.24","0.59",,"0.06"
"HizbaTeklehymanot","0.49","0.59","0.35","0.65","0.49","0.95",,"0.62"
"ImbaRufael","0.05","0.43","0.03","0.14","0.05","0.32",,"0.09"
"Jijqe","0.03","0.32","0.03","0.14","0.03","0.16",,"0.06"
"JimanDeregeha","0.78","0.27","0.41","0.7","0.78","0.92",,"0.03"
"Jira","0.03","1","0.05","0.32","0.03","0.57",,"0.09"
"kabe","0.22","0.38","0.41","1","0.22","0.84",,"0.03"
"Karima","0.86","0.68","0.41","0.73","0.86","0.7",,"0.16"
"Keregna","1","0.41","0.41","1","1","0.62",,"0.03"
"Kihen","0.51","0.62","0.03","0.24","0.51","0.59",,"0.06"
"Kita","0.7","0.68","0.49","0.89","0.7","0.68",,"0.03"
"Korme","0.54","0.86","0.3","0.49","0.54","0.84",,"0.31"
"Ksadacki","0.03","0.32","0.03","0.11","0.03","0.03",,"0.03"
"Kudo","0.43","0.73","0.24","0.76","0.43","0.49",,"0.06"
"Kuluferha","0.05","0.11","0.03","0.05","0.05","0.05",,"0.03"
"KuluGizeLemlem","0.51","0.86","0.32","0.49","0.51","0.68",,"0.16"
"LaelayDayu","0.54","0.86","0.32","0.49","0.54","0.68",,"0.16"
"Laelayhahaile","0.43","0.62","0.19","0.68","0.43","0.49",,"0.06"
"LaelayMegariaTsemri","0.84","0.68","0.19","0.54","0.84","0.11",,"0.03"
"Lalaylogomti","0.22","0.38","0.14","0.38","0.22","0.22",,"0.06"
"Ledy","0.65","0.68","0.62","0.62","0.65","0.68",,"0.12"
"Lemlem","0.38","0.24","0.19","0.24","0.38","0.11",,"0.03"
"LemlemArena","0.38","0.16","0.19","0.51","0.38","0.43",,"0.12"
"Libo ","0.68","1","0.57","1","0.68","0.76",,"0.06"
"Limaat","0.51","0.86","0.35","0.57","0.51","0.84",,"0.16"
"Limat","0.05","0.38","0.03","0.24","0.05","0.19",,"0.06"
