"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.81","0.55",
"Abara","1","1","1","1","1","0.95","0.82",
"Abarwuha","1","1","1","1","1","0.27","1",
"Abaselima","1","1","1","1","1","0.95","0.73",
"Abina","1","1","1","1","1","0.84","0.45",
"AbrahaAtsbaha","0.41","1","1","1","0.41","0.92","0.91",
"Abrekuy","1","1","1","1","1","0.59","0.82",
"AdekeAla","0.32","1","1","1","0.32","0.24","0.73",
"Adekiney","1","1","1","1","1","0.62","0.73",
"AderSeg","1","1","1","1","1","0.76","0.55",
"Adibearj","1","1","1","1","1","0.22","0.64",
"AdiHa","0.19","1","1","1","0.19","0.59","0.55",
"AdiKisandid","0.19","1","1","1","0.19","0.73","0.91",
"Adisalem","1","1","1","1","1","0.65","0.91",
"AdisAlemS","0.32","1","1","1","0.32","0.57","0.64",
"AdisAlemW","0.62","1","1","1","0.62","0.62","0.55",
"Adiselam","1","1","1","1","1","0.32","0.64",
"Adishimbirkti","0.59","1","1","1","0.59","0.51","0.91",
"AdisKigni","0.7","0.16","0.46","0.49","0.7","0.92","0.91",
"Adiyikoro","0.49","1","1","1","0.49","0.32","0.73",
"Adizata","0.49","1","1","1","0.49","0.41","0.64",
"Adreb","1","1","1","1","1","0.59","0.64",
"AgazenMeda","1","1","1","1","1","0.7","1",
"Agazi","0.3","1","1","1","0.3","0.89","0.73",
"Agbe","1","1","1","1","1","0.41","0.55",
"Agela","1","1","1","1","1","0.54","0.82",
"Agid","1","1","1","1","1","0.08","0.82",
"AlemeTesfa","1","1","1","1","1",,"0.91",
"AmdiWeyane","0.32","1","1","1","0.32","0.24","0.64",
"Amedwuha","0.73","1","1","1","0.73","0.16","0.91",
"Ameno","1","1","1","1","1","0.19","0.82",
"Amisetya","1","1","1","1","1","0.81","0.55",
"Angot","1","1","1","1","1","0.16","1",
"Anigot","1","1","1","1","1","0.46","0.91",
"Ansheb","1","1","1","1","1","0.81","0.82",
"AquaShumoch","1","1","1","1","1","0.08","0.45",
"Aquha","1","1","1","1","1","0.65","0.64",
"Arena","0.51","1","1","1","0.51","0.62","0.64",
"Asmena","0.51","1","0.54","1","0.51","0.92","0.82",
"Asta","1","1","1","1","1","0.27","0.73",
"Atakilti","1","1","1","1","1","0.46","0.55",
"AwetBikalsi","0.19","1","1","1","0.19","0.65","0.64",
"AwusaMeda","1","1","1","0.41","1","0.68","0.82",
"Ayba","0.27","1","1","0.51","0.27","0.57","0.82",
"Aynalem","0.41","1","1","1","0.41","0.92","1",
"Bala","0.7","0.14","0.57","0.46","0.7","0.81","0.91",
"Balarab","1","1","1","1","1","0.62","0.45",
"Bamba","0.46","1","1","1","0.46","0.41","0.73",
"BarkaAdiswha","0.16","0.03","0.32","1","0.16","0.7","0.91",
"Begasheka","1","1","1","1","1","0.38","0.45",
"Berlay","1","1","1","1","1","0.51","0.91",
"Betgebez","0.41","1","1","1","0.41","0.7","0.64",
"Bethans","1","1","1","1","1","0.41","0.64",
"BilbWuha","1","1","1","1","1","0.16","0.82",
"Birkutea","1","1","1","1","1","0.14","0.73",
"Boneya","1","1","1","1","1","0.95","0.73",
"Burkoche","1","1","1","1","1","0.51","0.64",
