"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.11","0.73","0.05","0.43","0.11","0.19",,"0.22"
"1984-1977","0.97","0.27","0.68","0.97","0.97","0.92",,"0.16"
"1985-1978","0.32","0.49","0.03","0.14","0.32","0.49",,"0.78"
"1986-1979","0.81","0.49","0.73","0.92","0.81","0.65",,"0.56"
"1987-1980","0.24","0.14","1","0.49","0.24","0.76",,"1"
"1988-1981","0.19","0.73","0.38","0.73","0.19","0.81",,"0.44"
"1989-1982","0.03","0.73","0.22","0.62","0.03","0.35",,"0.19"
"1990-1983","0.43","0.24","0.16","0.24","0.43","0.51",,"0.38"
"1991-1984","0.3","0.49","0.54","0.89","0.3","0.46",,"0.81"
"1992-1985","0.41","0.24","0.19","0.43","0.41","0.43",,"0.34"
"1993-1986","0.65","0.3","0.81","0.32","0.65","0.11",,"0.69"
"1994-1987","0.54","0.24","0.78","0.54","0.54","0.41",,"0.25"
"1995-1988","0.46","0.73","0.32","0.24","0.46","0.86",,"0.62"
"1996-1989","0.7","1","0.51","0.65","0.7","0.89",,"0.97"
"1997-1990","0.92","1","1","1","0.92","0.78",,"0.66"
"1998-1991","0.86","0.73","0.62","0.62","0.86","0.32",,"0.28"
"1999-1992","0.81","0.24","0.08","0.57","0.81","0.14",,"0.47"
"2000-1993","0.51","0.73","0.14","0.11","0.51","0.16",,"0.12"
"2001-1994","0.73","1","0.7","0.97","0.73","0.95",,"0.06"
"2002-1995","0.62","0.73","0.65","0.43","0.62","0.38",,"0.03"
"2003-1996","0.59","0.32","0.49","0.27","0.59","0.3",,"0.84"
"2004-1997","0.3","0.49","0.24","0.84","0.3","0.54",,"0.31"
"2005-1998","0.22","0.35","0.14","0.46","0.22","0.05",,"0.94"
"2006-1999","0.35","0.54","0.57","0.73","0.35","0.57",,"0.59"
"2007-2000","0.38","0.81","0.46","0.81","0.38","0.84","1","0.88"
"2008-2001","0.95","1","1","0.51","0.95","0.62","0.55","0.91"
"2009-2002","0.68","1","0.62","0.05","0.68","0.03","0.27","0.5"
"2010-2003","0.16","0.49","0.78","0.08","0.16","0.22","0.45","0.75"
"2011-2004","0.76","0.78","1","0.19","0.76","0.27","0.64","0.41"
"2012-2005","0.05","0.51","0.3","0.32","0.05","0.08","0.91","0.72"
"2013-2006","0.14","0.03","0.35","0.73","0.14","0.24","0.73","0.09"
"2014-2007","0.57","0.05","0.41","0.78","0.57","1","0.18","0.53"
"2015-2008","0.49","0.11","0.43","0.35","0.49","0.68","0.09",
"2016-2009","1","0.76","1","0.19","1","0.73","0.82",
"2017-2010","0.08","0.08","0.27","0.03","0.08","0.59","0.36",
"2018-2011","0.89","1","1","0.78","0.89","0.7",,
"2019-2012","0.84","1","1","0.86","0.84","0.97",,
