"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.65","0.54","1","1","0.65","0.05",,"0.81"
"1984-1977","1","0.41","0.41","1","1","0.62",,"0.03"
"1985-1978","0.22","0.38","0.22","0.27","0.22","1",,"0.5"
"1986-1979","0.38","0.38","1","1","0.38","0.97",,"0.84"
"1987-1980","1","0.24","1","1","1","0.89",,"0.78"
"1988-1981","0.54","1","1","0.54","0.54","0.49",,"0.38"
"1989-1982","0.7","0.54","1","1","0.7","0.84",,"0.66"
"1990-1983","0.35","0.16","0.03","0.46","0.35","0.46",,"0.06"
"1991-1984","0.08","0.38","0.05","0.35","0.08","0.57",,"0.56"
"1992-1985","0.11","0.38","0.35","0.03","0.11","0.7",,"0.75"
"1993-1986","0.49","0.62","1","0.35","0.49","0.73",,"0.69"
"1994-1987","0.46","0.16","1","1","0.46","0.78",,"0.25"
"1995-1988","0.78","0.54","0.38","0.05","0.78","0.59",,"0.47"
"1996-1989","0.73","1","0.27","1","0.73","0.68",,"0.31"
"1997-1990","1","1","1","1","1","0.81",,"0.91"
"1998-1991","0.59","0.54","1","1","0.59","0.86",,"0.34"
"1999-1992","0.05","0.16","0.14","0.41","0.05","0.35",,"0.97"
"2000-1993","0.16","0.59","0.32","1","0.16","0.19",,"0.19"
"2001-1994","1","1","1","1","1","0.95",,"0.16"
"2002-1995","0.35","0.57","0.16","0.46","0.35","0.92",,"0.09"
"2003-1996","0.43","0.16","1","0.24","0.43","0.76",,"0.62"
"2004-1997","0.03","0.16","0.11","1","0.03","0.43",,"0.12"
"2005-1998","0.19","0.38","1","0.16","0.19","0.38",,"0.53"
"2006-1999","1","1","1","0.19","1","0.51",,"0.44"
"2007-2000","0.76","0.65","1","1","0.76","0.54","0.91","1"
"2008-2001","0.68","1","1","1","0.68","0.41","0.82","0.88"
"2009-2002","0.51","1","1","0.16","0.51","0.14","0.09","0.44"
"2010-2003","0.14","0.7","1","0.49","0.14","0.27","0.18","0.94"
"2011-2004","1","1","1","0.38","1","0.32","0.45","0.28"
"2012-2005","0.24","0.7","1","0.22","0.24","0.3","0.64","0.72"
"2013-2006","0.35","0.03","0.08","0.3","0.35","0.11","0.73","0.22"
"2014-2007","0.41","0.22","1","0.57","0.41","0.24","0.36","0.59"
"2015-2008","0.57","1","0.24","0.16","0.57","0.22","0.27",
"2016-2009","0.35","0.43","0.3","0.16","0.35","0.03","1",
"2017-2010","0.62","0.22","0.19","0.51","0.62","0.16","0.55",
"2018-2011","1","1","1","1","1","0.08",,
"2019-2012","0.81","1","1","1","0.81","0.65",,
