"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.16","0.19","0.24","0.19","0.16","0.08",,"0.16"
"1984-1977","0.05","0.22","0.05","0.11","0.05","0.11",,"0.5"
"1985-1978","0.3","0.3","0.22","0.3","0.3","0.22",,"0.47"
"1986-1979","0.22","0.24","0.27","0.35","0.22","0.57",,"0.44"
"1987-1980","0.08","0.16","0.08","0.08","0.08","0.38",,"0.12"
"1988-1981","0.57","0.57","1","0.57","0.57","0.59",,"0.62"
"1989-1982","0.89","1","0.54","0.62","0.89","0.24",,"0.41"
"1990-1983","0.19","0.57","0.43","0.41","0.19","0.76",,"0.59"
"1991-1984","0.57","1","1","1","0.57","0.62",,"0.25"
"1992-1985","0.24","0.08","0.32","0.46","0.24","0.95",,"0.38"
"1993-1986","0.57","0.38","1","1","0.57","0.46",,"0.09"
"1994-1987","0.84","1","1","1","0.84","0.92",,"0.97"
"1995-1988","0.62","0.57","0.3","0.43","0.62","0.41",,"0.31"
"1996-1989","0.78","1","0.59","1","0.78","0.27",,"0.34"
"1997-1990","0.57","0.3","0.19","0.49","0.57","0.14",,"0.06"
"1998-1991","1","1","1","1","1","0.73",,"1"
"1999-1992","0.76","1","1","1","0.76","0.81",,"0.53"
"2000-1993","0.27","1","1","1","0.27","0.84",,"0.28"
"2001-1994","0.32","1","0.35","1","0.32","0.86",,"0.19"
"2002-1995","0.73","0.57","0.41","0.35","0.73","0.51",,"0.03"
"2003-1996","0.59","1","1","1","0.59","0.35",,"0.69"
"2004-1997","0.11","0.57","0.11","0.16","0.11","0.16",,"0.22"
"2005-1998","0.68","1","1","1","0.68","0.19",,"0.88"
"2006-1999","1","0.35","0.51","0.68","1","0.49",,"0.81"
"2007-2000","1","1","1","1","1","0.54","0.36","0.84"
"2008-2001","0.81","1","0.57","0.41","0.81","0.43","0.45","0.78"
"2009-2002","0.65","1","1","0.59","0.65","0.05","0.09","0.56"
"2010-2003","0.57","0.57","0.46","0.24","0.57","0.65","0.73","0.91"
"2011-2004","0.57","0.57","0.38","0.27","0.57","0.78","0.27","0.72"
"2012-2005","0.57","1","1","0.57","0.57","0.7","0.55","0.75"
"2013-2006","0.57","0.32","0.49","0.14","0.57","0.3","0.82","0.94"
"2014-2007","0.14","0.05","0.14","0.05","0.14","1","1","0.66"
"2015-2008","0.05","0.03","0.03","0.03","0.05","0.03","0.18",
"2016-2009","0.57","0.11","0.16","0.22","0.57","0.32","0.64",
"2017-2010","0.7","0.14","1","0.57","0.7","0.97","0.91",
"2018-2011","0.86","1","1","0.7","0.86","0.89",,
"2019-2012","0.92","1","1","0.68","0.92","0.68",,
