"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.51","0.65","0.35","0.73","0.51","0.19",,"0.28"
"1984-1977","0.3","0.76","0.08","0.65","0.3","0.24",,"0.12"
"1985-1978","0.27","0.43","0.16","0.49","0.27","0.7",,"0.66"
"1986-1979","1","0.97","0.86","0.95","1","0.89",,"0.22"
"1987-1980","0.7","0.89","0.43","0.24","0.7","0.46",,"1"
"1988-1981","0.46","0.65","0.46","0.78","0.46","0.03",,"0.5"
"1989-1982","0.32","0.05","0.27","0.68","0.32","0.54",,"0.62"
"1990-1983","0.24","0.22","0.22","0.43","0.24","0.76",,"0.03"
"1991-1984","0.24","0.22","0.19","0.32","0.24","0.08",,"0.94"
"1992-1985","0.54","0.22","0.11","0.57","0.54","0.65",,"0.88"
"1993-1986","0.95","0.86","0.57","0.19","0.95","0.57",,"0.34"
"1994-1987","0.24","0.32","0.73","0.92","0.24","0.68",,"0.38"
"1995-1988","0.24","0.24","0.05","0.16","0.24","0.84",,"0.56"
"1996-1989","0.86","0.73","0.97","0.84","0.86","0.92",,"0.59"
"1997-1990","0.97","1","1","0.65","0.97","0.81",,"0.44"
"1998-1991","0.73","0.68","0.68","0.46","0.73","0.22",,"0.25"
"1999-1992","0.35","0.22","0.59","0.14","0.35","0.14",,"0.69"
"2000-1993","0.86","0.7","0.62","0.41","0.86","0.41",,"0.19"
"2001-1994","0.57","0.27","0.81","1","0.57","1",,"0.31"
"2002-1995","0.43","0.54","0.38","0.3","0.43","0.38",,"0.06"
"2003-1996","0.62","0.57","0.76","0.35","0.62","0.35",,"0.72"
"2004-1997","0.38","0.59","0.51","0.57","0.38","0.11",,"0.09"
"2005-1998","0.76","0.35","0.49","0.27","0.76","0.62",,"0.81"
"2006-1999","0.92","0.46","0.81","0.22","0.92","0.43",,"0.53"
"2007-2000","0.49","0.78","0.95","0.97","0.49","0.95","1","0.97"
"2008-2001","0.24","0.51","0.73","0.84","0.24","0.3","0.18","0.84"
"2009-2002","0.59","0.43","0.24","0.05","0.59","0.05","0.64","0.75"
"2010-2003","0.78","0.49","0.65","0.11","0.78","0.16","0.45","0.91"
"2011-2004","0.86","0.92","0.89","0.08","0.86","0.97","0.55","0.47"
"2012-2005","0.89","0.95","0.41","0.76","0.89","0.49","0.91","0.78"
"2013-2006","0.24","0.03","0.32","0.89","0.24","0.32","0.36","0.16"
"2014-2007","0.24","0.11","0.14","0.41","0.24","0.51","0.73","0.41"
"2015-2008","0.24","0.08","0.03","0.03","0.24","0.27","0.09",
"2016-2009","0.68","0.38","0.54","0.57","0.68","0.78","0.82",
"2017-2010","0.24","0.3","0.3","0.59","0.24","0.73","0.27",
"2018-2011","0.41","0.84","0.92","0.73","0.41","0.59",,
"2019-2012","0.65","0.81","0.84","0.89","0.65","0.86",,
