"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","48","7","0.22","56.29079","0.62","35.6","0.14","39","0.16","7.07670700809524","0.22","0.124670395373568","0.22",,,"76.354321599231","0.5"
"1984-1977","0","61","0.95","61.2661","0.68","63.7","0.54","65","0.78","61.198005","0.95","0.154312490306008","0.51",,,"28.2975439625078","0.09"
"1985-1978","100","0","0.11","45.37748","0.14","15.4","0.03","22","0.05","0.410345222222222","0.11","0.130791844912244","0.24",,,"93.9424177177341","0.75"
"1986-1979","0","25","0.65","64.08669","0.81","74.12","0.81","75","1","25","0.65","0.183425816088434","0.89",,,"77.9014146024314","0.53"
"1987-1980","93","5","0.14","61.91099","0.7","73.2472222222222","0.78","66","0.81","5.29962698031745","0.14","0.135735164310037","0.32",,,"136.464197108574","0.97"
"1988-1981","0","21","0.57","56.29079","0.62","42.6","0.22","43","0.19","20.713234","0.57","0.141235613172178","0.38",,,"37.5482637449647","0.16"
"1989-1982","21","8","0.24","49.91317","0.24","62.5005555555555","0.51","48","0.32","8.17791130555556","0.24","0.134556990165562","0.27",,,"85.6994317882189","0.59"
"1990-1983","90","5","0.19","45.37748","0.14","26","0.05","32","0.08","5.417086","0.19","0.174834488996292","0.81",,,"67.3753766851723","0.38"
"1991-1984","0","28","0.73","64.08669","0.81","62.3","0.46","75","1","27.987409","0.73","0.143435792717034","0.41",,,"110.173223740376","0.91"
"1992-1985","92","5","0.16","45.37748","0.14","62.5","0.49","55","0.54","5.318318","0.16","0.121806597674392","0.19",,,"47.0539449449544","0.25"
"1993-1986","0","50","0.89","46.35436","0.22","75","1","65","0.78","50","0.89","0.103864485514816","0.03",,,"87.1191718444377","0.62"
"1994-1987","0","20","0.54","53.19861","0.46","62.2","0.43","46","0.3","20.1374627","0.54","0.117800136728595","0.11",,,"47.9330993377816","0.28"
"1995-1988","0","10","0.27","45.64114","0.16","64.9","0.59","37","0.11","9.768859","0.27","0.15540193120944","0.59",,,"58.5310926921796","0.34"
