"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","78","9","0.11","56.29079","0.62","26.7","0.11","39","0.14","8.59433258936508","0.11","0.168127069192092","0.59",,,"88.2283775989428","0.25"
"1984-1977","0","75","1","61.2661","0.68","51.7","0.32","71","0.76","75","1","0.188959877353531","0.78",,,"76.4056125248503","0.12"
"1985-1978","100","2","0.05","45.37748","0.14","17","0.05","31","0.08","1.98975730555556","0.05","0.181265222669283","0.73",,,"137.502838374","0.91"
"1986-1979","0","50","0.92","64.08669","0.81","69.7771428571429","0.84","75","1","50","0.92","0.204705171981481","0.89",,,"91.2274406003169","0.28"
"1987-1980","0","35","0.57","61.91099","0.7","67.4861111111111","0.81","72","0.78","35.3379764254762","0.57","0.115550134238694","0.08",,,"123.920057683821","0.81"
"1988-1981","0","33","0.51","56.29079","0.62","51.1","0.3","71","0.76","33.442368","0.51","0.101072190538115","0.03",,,"87.9824399990783","0.22"
"1989-1982","0","22","0.27","49.91317","0.24","54.5021428571429","0.35","46","0.24","21.6526778888889","0.27","0.172876595039154","0.62",,,"119.614796521956","0.72"
"1990-1983","0","29","0.43","45.37748","0.14","31.6","0.14","40","0.19","28.993374","0.43","0.197523504254048","0.86",,,"80.9812810065113","0.19"
"1991-1984","0","46","0.73","64.08669","0.81","60.9","0.59","75","1","46.29171","0.73","0.175477674637251","0.65",,,"131.333255186202","0.88"
"1992-1985","36","15","0.14","45.37748","0.14","56.7","0.43","62","0.54","15.193705","0.14","0.118163299525124","0.11",,,"114.447456978172","0.66"
"1993-1986","0","46","0.7","46.35436","0.22","67.4","0.78","66","0.62","45.5048345555556","0.7","0.122840423493161","0.14",,,"107.380782283853","0.47"
"1994-1987","0","25","0.38","53.19861","0.46","59.2","0.51","66","0.62","25","0.38","0.140927310881461","0.32",,,"62.1244863252894","0.09"
"1995-1988","0","25","0.38","45.64114","0.16","54.8","0.41","34","0.11","25","0.38","0.141223017367216","0.35",,,"108.122767339841","0.5"
