"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","30","0.81","54.18679","0.78","36.3","0.27","37","0.35","29.9463622380952","0.81","0.151899186383916","0.03",,,"21.1785334011627","0.5"
"1984-1977","0","30","0.76","49.423533","0.46","27.1","0.16","43","0.51","29.546948","0.76","0.155123217744221","0.11",,,"0.679936699475839","0.06"
"1985-1978","89","5","0.22","45.44969","0.3","35.9","0.24","43","0.51","5.34328402777778","0.22","0.175251711682872","0.38",,,"24.5813899831884","0.66"
"1986-1979","0","39","0.89","62.20673","0.95","55.4","0.76","70","1","39.37614","0.89","0.207415574656393","0.84",,,"11.1956028291456","0.28"
"1987-1980","0","56","0.97","59.408637","0.89","62.7","0.89","43","0.51","55.830375","0.97","0.211082710202402","0.89",,,"40.1988883861786","0.88"
"1988-1981","0","11","0.32","44.68169","0.27","26.4","0.11","36","0.3","10.530671","0.32","0.159503418827387","0.16",,,"22.6078003707081","0.59"
"1989-1982","100","3","0.11","37.06301","0.05","48.4972222222222","0.57","54","0.81","3.16218322222222","0.11","0.170652516334608","0.3",,,"16.5966522680672","0.38"
"1990-1983","100","0","0.08","41.39352","0.19","27","0.14","31","0.27","0","0.08","0.193526285749909","0.68",,,"-6.32580818016186","0.03"
"1991-1984","14","8","0.24","41.39352","0.19","45.4","0.49","46","0.54","7.590059","0.24","0.152800710143726","0.08",,,"23.6415614959583","0.62"
"1992-1985","0","12","0.38","46.32928","0.35","21.8","0.05","40","0.41","11.62249","0.38","0.162717250454797","0.19",,,"43.9082233739154","0.94"
"1993-1986","0","26","0.7","54.25217","0.81","55.6","0.78","37","0.35","25.6837990555556","0.7","0.194244435364452","0.73",,,"8.96794706004686","0.22"
"1994-1987","0","38","0.86","53.31909","0.73","50.9","0.65","54","0.81","38.42744","0.86","0.187312532682799","0.62",,,"21.3733895519898","0.53"
"1995-1988","0","10","0.3","46.35325","0.38","22","0.08","23","0.08","10.38374","0.3","0.178170161571893","0.49",,,"18.4172151075886","0.44"
