"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","26","0.86","27.791352","0.81","25","0.38","20","0.27","26.2999486904762","0.86","0.18260898360288","0.27",,,"26.8670751723474","0.66"
"1984-1977","0","10","0.62","29.50157","0.89","16","0.19","46","0.76","9.68800114444444","0.62","0.267462716324138","0.92",,,"9.51538432253633","0.31"
"1985-1978","0","8","0.51","24.231003","0.43","3.6","0.05","13","0.11","7.72546599444444","0.51","0.250533614415518","0.81",,,"21.7679105414969","0.56"
"1986-1979","0","27","0.89","41.073801","1","45.4857142857143","0.86","59","1","26.862689","0.89","0.298766408780289","0.97",,,"22.0993733993509","0.59"
"1987-1980","0","26","0.84","28.739703","0.86","25.1916666666667","0.41","30","0.43","26.1397453126984","0.84","0.196579651889014","0.43",,,"48.8755077409053","0.97"
"1988-1981","100","0","0.22","26.011177","0.62","16.7","0.22","25","0.41","0.2033009","0.22","0.217640008309133","0.57",,,"19.712370874337","0.5"
"1989-1982","100","1","0.24","20.811374","0.14","27.3634920634921","0.46","54","0.89","0.538935869444444","0.24","0.154459100650001","0.08",,,"5.87802050049335","0.19"
"1990-1983","100","0","0.19","24.231003","0.43","26.6","0.43","45","0.73","0","0.19","0.229043317936808","0.73",,,"-14.6674177393459","0.03"
"1991-1984","0","12","0.68","25.514723","0.57","21.3","0.3","34","0.51","12.425071","0.68","0.166136081951882","0.11",,,"27.414788919122","0.72"
"1992-1985","100","0","0.19","24.231003","0.43","0","0.03","0","0.03","0","0.19","0.125709757953713","0.03",,,"45.847883403525","0.91"
"1993-1986","0","32","0.97","26.002879","0.59","32.1","0.62","37","0.59","32.3071374111111","0.97","0.195810753261397","0.41",,,"9.51202754778591","0.28"
"1994-1987","0","8","0.54","24.216923","0.24","35.7","0.78","48","0.78","7.8188983","0.54","0.258522451764311","0.89",,,"16.5016531230707","0.44"
"1995-1988","100","2","0.3","24.216923","0.24","12.9","0.14","18","0.22","1.655675","0.3","0.178243164913578","0.19",,,"43.2865523764734","0.88"
