"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","100","3","0.73","9.9634474","0.7","5.5","0.38","13","0.49","3.3997726","0.73","0.154944060971277","0.46",,,"77.4462022304921","0.72"
"1984-1977","100","0","0.54","11.9482214","0.84","2.9","0.3","11","0.46","0.29749225","0.54","0.195218162535536","0.95",,,"44.1654099299196","0.31"
"1985-1978","100","0","0.49","7.9355716","0.35","1.3","0.22","9","0.38","0","0.49","0.172264356141948","0.7",,,"58.5422821863405","0.5"
"1986-1979","100","3","0.68","23.7163212","0.95","28.46","0.92","39","0.95","2.919486","0.68","0.170210125289291","0.65",,,"91.81904307354","0.84"
"1987-1980","100","1","0.59","4.9874528","0.05","11.5638888888889","0.46","1","0.22","0.890420294444444","0.59","0.150642304614955","0.35",,,"75.404209417825","0.69"
"1988-1981","100","0","0.49","7.9355716","0.35","13.9","0.54","21","0.73","0","0.49","0.158169875812862","0.49",,,"31.7359725383544","0.22"
"1989-1982","100","1","0.57","5.5982636","0.08","1.65166666666667","0.24","0","0.19","0.711610805555556","0.57","0.143764932748563","0.16",,,"101.821930147526","1"
"1990-1983","100","0","0.49","7.9355716","0.35","0","0.11","0","0.19","0","0.49","0.129943844615959","0.05",,,"28.8332893584337","0.19"
"1991-1984","0","13","0.92","7.9355716","0.35","28.1","0.89","29","0.89","12.98211","0.92","0.174644691511674","0.73",,,"58.2114768597338","0.47"
"1992-1985","100","0","0.49","7.9355716","0.35","0","0.11","0","0.19","0","0.49","0.147572665459076","0.3",,,"70.2732034656851","0.62"
"1993-1986","100","0","0.51","22.1400335","0.92","21.9","0.65","2","0.27","0.100547833333333","0.51","0.169095151959771","0.62",,,"46.9814341101823","0.38"
"1994-1987","100","0","0.49","7.9390776","0.41","1.7","0.27","18","0.68","0","0.49","0.142607005052152","0.11",,,"1.97480076662939","0.03"
"1995-1988","100","3","0.7","8.0750361","0.46","18.7","0.59","20","0.7","3.028599","0.7","0.144438618966145","0.24",,,"59.7919220047822","0.56"
