"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","31","0.68","55.83202","0.51","25","0.11","25","0.14","30.9005540666667","0.68","0.128008762335532","0.03",,,"8.91574839159427","0.25"
"1984-1977","28","7","0.22","53.31528","0.38","16.5","0.03","33","0.3","7.17408533333333","0.22","0.150769039095339","0.35",,,"-5.38670703943322","0.03"
"1985-1978","81","6","0.14","54.68925","0.46","45.5","0.43","50","0.62","5.56727266666667","0.14","0.160605259769099","0.57",,,"43.5746571019517","0.94"
"1986-1979","0","25","0.54","63.49994","0.86","63.8142857142857","0.78","64","0.92","25","0.54","0.193824102452839","1",,,"23.2815906760385","0.69"
"1987-1980","0","51","0.92","67.09703","0.92","59.8","0.68","51","0.65","50.6734280944444","0.92","0.172330360654659","0.76",,,"31.1272116394576","0.84"
"1988-1981","0","10","0.3","49.54924","0.24","47.2","0.46","49","0.54","9.566191","0.3","0.148957699324541","0.3",,,"18.5573429224416","0.5"
"1989-1982","2","8","0.27","48.0296","0.16","64.5392857142857","0.81","72","1","7.94507611111111","0.27","0.162392758011613","0.68",,,"50.9176481759357","1"
"1990-1983","100","0","0.11","44.33196","0.11","34.7","0.16","36","0.38","0","0.11","0.160670867118386","0.59",,,"4.11956552740708","0.19"
"1991-1984","73","6","0.16","56.01942","0.54","47.4","0.51","44","0.46","5.816953","0.16","0.137445323057414","0.11",,,"19.9380391034274","0.53"
"1992-1985","100","0","0.11","44.33196","0.11","19.1","0.05","25","0.14","0","0.11","0.149747058548436","0.32",,,"18.5310112373979","0.47"
"1993-1986","0","36","0.76","62.6789","0.78","65.6","0.84","35","0.35","35.5879691944444","0.76","0.166794885407537","0.7",,,"18.3825234308691","0.44"
"1994-1987","0","50","0.89","62.69935","0.81","60.5","0.7","53","0.7","50","0.89","0.16178431826501","0.65",,,"21.0072963255126","0.59"
"1995-1988","0","17","0.41","51.19929","0.3","29.8","0.14","28","0.24","17.128716","0.41","0.154926612076538","0.49",,,"23.9412947910385","0.72"
