"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","8","0.81","8.671252","0.89","4.6","0.43","12","0.7","7.62813039206349","0.81","0.17290285605307","0.59",,,"43.0003994173861","0.69"
"1984-1977","100","0","0.54","7.994483","0.86","0.9","0.24","0","0.46","0.297319666666667","0.54","0.193215993543337","0.89",,,"35.1096020510342","0.62"
"1985-1978","100","0","0.51","5.0850729","0.49","0","0.19","0","0.46","0","0.51","0.146975955578302","0.22",,,"23.3015022499651","0.41"
"1986-1979","100","2","0.62","23.4117059","1","27.3714285714286","1","23","0.92","2.218941","0.62","0.178076941947131","0.65",,,"28.8433300272685","0.47"
"1987-1980","100","1","0.57","2.7383732","0.05","7.70833333333333","0.49","0","0.46","0.709730308730158","0.57","0.154111500309309","0.3",,,"46.4033954675715","0.78"
"1988-1981","100","0","0.51","5.0850729","0.49","0.9","0.24","0","0.46","0","0.51","0.152679876478345","0.27",,,"20.0583044150885","0.34"
"1989-1982","100","1","0.59","3.6806499","0.08","9.57976190476191","0.51","10","0.68","0.795557444444444","0.59","0.178133308116809","0.68",,,"64.6912166354251","0.97"
"1990-1983","100","0","0.51","5.0850729","0.49","0","0.19","0","0.46","0","0.51","0.187196450049042","0.81",,,"14.329570484265","0.16"
"1991-1984","0","16","0.89","5.0850729","0.49","15.9","0.78","16","0.84","15.732959","0.89","0.168089471711031","0.49",,,"34.1116654052306","0.59"
"1992-1985","100","0","0.51","5.0850729","0.49","0","0.19","0","0.46","0","0.51","0.156478739656048","0.32",,,"45.5659244673735","0.75"
"1993-1986","0","12","0.86","14.2778142","0.92","15.7","0.76","4","0.62","11.8220000277778","0.86","0.169521095541995","0.54",,,"9.43389224552169","0.12"
"1994-1987","100","0","0.51","5.0869139","0.54","3","0.41","18","0.89","0","0.51","0.119910549332863","0.03",,,"-3.51826009557389","0.03"
"1995-1988","100","3","0.7","5.1231182","0.59","13.3","0.65","14","0.76","3.245451","0.7","0.221397401025489","0.97",,,"19.7473845783304","0.28"
