"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","75","0.51","75","1","75","1","72","0.03","74.8473989470588","0.51","0.207375061161115","0.32",,,"2.31650525324529","0.03"
"1984-1977","65","45","0.03","75","1","75","1","75","1","45.433209","0.03","0.168172394824166","0.05",,,"31.9008411313395","0.28"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.172393719124764","0.08",,,"43.402716013616","0.62"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.235427462848215","0.86",,,"37.6225505579164","0.34"
"1987-1980","16","59","0.22","75","1","75","1","75","1","58.7319021027778","0.22","0.220501529960925","0.59",,,"23.3792839267829","0.19"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.223722161412179","0.65",,,"38.8963388489254","0.41"
"1989-1982","19","58","0.16","75","1","75","1","75","1","57.874371","0.16","0.180651285949615","0.14",,,"44.6410064311752","0.66"
"1990-1983","63","46","0.05","75","1","75","1","75","1","45.866198","0.05","0.184813749031763","0.16",,,"12.0660418440413","0.09"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.174268884265556","0.11",,,"10.6630702934504","0.06"
"1992-1985","31","55","0.11","75","1","75","1","75","1","54.621564","0.11","0.205533471418624","0.3",,,"42.915654041977","0.59"
"1993-1986","0","74","0.49","75","1","75","1","75","1","74.39208","0.49","0.190145042633316","0.19",,,"50.5280951335294","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.226572785717877","0.76",,,"54.2753763205897","0.81"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.246199378638644","0.95",,,"62.4323956053618","0.94"
"1996-1989","0","70","0.41","75","1","75","1","75","1","70.041997","0.41","0.234510864901757","0.81",,,"40.8399145494148","0.53"
"1997-1990","42","52","0.08","75","1","75","1","75","1","51.620206","0.08","0.195089541390163","0.22",,,"40.3202278302405","0.5"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.235637674037574","0.89",,,"62.2464748218771","0.91"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.235351761794905","0.84",,,"58.3719973968955","0.88"
"2000-1993","0","68","0.35","75","1","75","1","75","1","67.555265","0.35","0.2191058","0.51",,,"31.5","0.25"
"2001-1994","0","67","0.3","75","1","75","1","75","1","66.97952","0.3","0.2247639","0.7",,,"42.4","0.56"
"2002-1995","28","55","0.14","75","1","75","1","75","1","55.380939","0.14","0.1640966","0.03",,,"16.2","0.12"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.2260279","0.73",,,"38.9","0.44"
"2004-1997","0","67","0.32","75","1","75","1","75","1","67.268478","0.32","0.2046403","0.27",,,"26.8","0.22"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.2129117","0.43",,,"47.1","0.72"
"2006-1999","1","63","0.24","75","1","75","1","75","1","62.8629382","0.24","0.2162802","0.49",,,"51.8","0.78"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.219917","0.54","5.354839","0.45","70.8","1"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2087119","0.35","3.677419","0.18","56.4","0.84"
"2009-2002","0","72","0.43","75","1","75","1","75","1","72.3082","0.43","0.2105892","0.38","3.225806","0.09","35.2","0.31"
"2010-2003","0","65","0.27","75","1","75","1","75","1","64.531746","0.27","0.213843","0.46","5.967741","0.64","68.9","0.97"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.2314765","0.78","6.354838","0.82","21.6","0.16"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.2200422","0.57","5","0.36","39.9","0.47"
"2013-2006","16","59","0.19","75","1","75","1","75","1","58.643017","0.19","0.2511024","0.97","6.451612","0.91","45.1","0.69"
"2014-2007","0","68","0.38","75","1","75","1","75","1","67.835393","0.38","0.2570756","1","6.693548","1","38.1","0.38"
"2015-2008","0","73","0.46","75","1","75","1","75","1","73.385879","0.46","0.2015122","0.24","4.854838","0.27",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2238311","0.68","6.016128","0.73",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2121168","0.41","5.870967","0.55",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2366015","0.92",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.2228619","0.62",,,,
