"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","75","1","75","1","75","1","75","1","75","1","0.244567213157043","0.49",,,"-1.9001086050714","0.03"
"1984-1977","0","75","1","75","1","75","1","75","1","75","1","0.235501791190694","0.27",,,"10.9766034886","0.19"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.252358828059464","0.7",,,"29.0991346494633","0.44"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.245543595452062","0.54",,,"50.4511266354132","0.72"
"1987-1980","48","62","0.05","75","1","75","1","75","1","61.5277293142857","0.05","0.226908424306417","0.22",,,"18.4045206211469","0.25"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.255029356911873","0.76",,,"27.7338358812246","0.41"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.248453338968991","0.59",,,"40.5666294231982","0.59"
"1990-1983","0","75","1","75","1","75","1","75","1","75","1","0.271905757059169","0.92",,,"-1.07480433211763","0.06"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.25965253008551","0.84",,,"8.15398783119371","0.16"
"1992-1985","0","75","1","75","1","75","1","75","1","75","1","0.242116575780232","0.38",,,"36.8533855607767","0.5"
"1993-1986","2","75","0.14","75","1","75","1","75","1","74.551733","0.14","0.256445401889277","0.81",,,"52.5284491160833","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.28568495470323","1",,,"61.7793613636101","0.94"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.24196788344058","0.35",,,"53.8683401623877","0.81"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.197216219778522","0.03",,,"39.8700075787748","0.56"
"1997-1990","8","73","0.08","75","1","75","1","75","1","72.749538","0.08","0.200746710717174","0.05",,,"27.0508648803719","0.38"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.244302100608615","0.43",,,"55.9424107405318","0.84"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.263299401143335","0.89",,,"84.7045594683095","1"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.2848508","0.97",,,"22.8","0.28"
"2001-1994","0","75","1","75","1","75","1","75","1","75","1","0.2520178","0.68",,,"16.6","0.22"
"2002-1995","0","75","1","75","1","75","1","75","1","75","1","0.2235037","0.16",,,"3.5","0.09"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.2494015","0.62",,,"36.1","0.47"
"2004-1997","57","59","0.03","75","1","75","1","75","1","58.903985","0.03","0.2538171","0.73",,,"7.4","0.12"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.2455032","0.51",,,"27","0.34"
"2006-1999","0","75","1","75","1","75","1","75","1","75","1","0.224653","0.19",,,"61.7","0.91"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2328238","0.24","25.82258","0.18","84.3","0.97"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2160769","0.08","29.14516","0.27","61.7","0.91"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.2792501","0.95","23.41936","0.09","26.1","0.31"
"2010-2003","0","75","1","75","1","75","1","75","1","75","1","0.2601352","0.86","31.41935","0.36","53.1","0.78"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.2408333","0.3","34.67742","0.64","48.8","0.69"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.256103","0.78","33.06452","0.45","37","0.53"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.2512529","0.65","36.83871","0.82","48.3","0.66"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.2412422","0.32","48.58063","1","42.4","0.62"
"2015-2008","0","75","1","75","1","75","1","75","1","75","1","0.2211242","0.14","34.43548","0.55",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2464693","0.57","36.5","0.73",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2443759","0.46","36.98387","0.91",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2163006","0.11",,,,
"2019-2012","7","73","0.11","75","1","75","1","75","1","73.105439","0.11","0.2430443","0.41",,,,
