"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","75","1","75","1","75","1","75","1","75","1","0.273424912910268","0.68",,,"-21.8229396341642","0.03"
"1984-1977","0","75","1","75","1","75","1","75","1","75","1","0.262012689776306","0.46",,,"-0.995107963033703","0.09"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.25226235308747","0.16",,,"44.4082129076844","0.75"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.284046023837381","0.89",,,"41.7102355404926","0.72"
"1987-1980","0","75","1","75","1","75","1","75","1","75","1","0.264443655998536","0.51",,,"6.78762109818663","0.28"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.281791837719983","0.84",,,"30.1293083035964","0.47"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.266803893736721","0.57",,,"30.1729067971727","0.5"
"1990-1983","34","68","0.03","75","1","75","1","75","1","68.270499","0.03","0.268744254747852","0.59",,,"2.75316861097111","0.19"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.253225888239537","0.19",,,"-8.79260568232147","0.06"
"1992-1985","0","75","1","75","1","75","1","75","1","75","1","0.257880074602036","0.32",,,"10.8464816669986","0.34"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.261685601366561","0.43",,,"26.7349046952012","0.44"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.311325761722669","1",,,"34.7060889081682","0.66"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.261407154204075","0.41",,,"34.401562716221","0.62"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.243714208802751","0.05",,,"41.2631077848704","0.69"
"1997-1990","0","75","1","75","1","75","1","75","1","75","1","0.243714208802751","0.05",,,"3.11601773702288","0.22"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.282450399102608","0.86",,,"79.8788153123544","1"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.272863606618645","0.65",,,"71.8317095847115","0.94"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.2748837","0.76",,,"6.8","0.31"
"2001-1994","0","75","1","75","1","75","1","75","1","75","1","0.2796252","0.81",,,"3.9","0.25"
"2002-1995","0","75","1","75","1","75","1","75","1","75","1","0.2569649","0.27",,,"2.5","0.16"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.2746931","0.7",,,"30.4","0.53"
"2004-1997","31","69","0.05","75","1","75","1","75","1","68.787708","0.05","0.2853962","0.95",,,"2.1","0.12"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.257206","0.3",,,"51","0.81"
"2006-1999","0","75","1","75","1","75","1","75","1","75","1","0.2462455","0.08",,,"51.6","0.84"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2477312","0.11","6.387097","0.36","74.6","0.97"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.264488","0.54","5.758065","0.18","66.7","0.91"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.260625","0.35","2.919354","0.09","31.7","0.59"
"2010-2003","0","75","1","75","1","75","1","75","1","75","1","0.2502308","0.14","9.82258","0.91","60.4","0.88"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.2549294","0.22","8.290321","0.64","20.6","0.38"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.2565657","0.24","6.596773","0.45","25.9","0.41"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.2911232","0.97","9.370967","0.73","31.2","0.56"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.2748759","0.73","12.24193","1","49.9","0.78"
"2015-2008","0","75","1","75","1","75","1","75","1","75","1","0.2712096","0.62","5.887096","0.27",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2843423","0.92","9.483872","0.82",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2638719","0.49","7.435483","0.55",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2764164","0.78",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.2609476","0.38",,,,
