"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","30","42","0.11","75","1","62.8","0.11","59","0.08","41.8149696797385","0.11","0.160873883092195","0.41",,,"-4.95103956380309","0.06"
"1984-1977","0","74","0.65","75","1","75","1","75","1","73.701198","0.65","0.110292611690096","0.03",,,"6.26365868663346","0.09"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.151075040587579","0.27",,,"43.7355765714548","0.62"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.176089721853539","0.68",,,"30.6882686679064","0.34"
"1987-1980","48","36","0.05","75","1","72.3","0.16","67","0.16","36.2462310833333","0.05","0.159528284343881","0.38",,,"-6.80228015031346","0.03"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.13676498482374","0.05",,,"35.5650785962727","0.41"
"1989-1982","0","67","0.54","75","1","75","1","69","0.22","66.80037","0.54","0.155888252818692","0.32",,,"51.7626453570293","0.72"
"1990-1983","3","50","0.24","75","1","75","1","68","0.19","50","0.24","0.141957634403102","0.14",,,"10.0858997895159","0.16"
"1991-1984","0","60","0.35","75","1","75","1","75","1","59.755134","0.35","0.141211541317067","0.11",,,"12.8918126014196","0.19"
"1992-1985","0","55","0.27","75","1","58.5","0.03","67","0.16","55.02085","0.27","0.176249251326382","0.7",,,"36.0047903726508","0.44"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.149669063436703","0.24",,,"44.0371149662853","0.66"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.197166704465296","0.97",,,"52.8990960473914","0.78"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.179190626119009","0.76",,,"44.8745283015142","0.69"
"1996-1989","40","39","0.08","75","1","75","1","75","1","38.692898","0.08","0.158406925313848","0.35",,,"37.7596865603801","0.5"
"1997-1990","3","50","0.24","75","1","75","1","75","1","50","0.24","0.162659404550403","0.46",,,"30.6109176720453","0.31"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.18088127487027","0.78",,,"73.5188997097599","0.97"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.187868109593593","0.86",,,"72.9239784843298","0.94"
"2000-1993","0","69","0.57","75","1","75","1","75","1","68.790019","0.57","0.1907461","0.89",,,"30.7","0.38"
"2001-1994","0","60","0.38","75","1","75","1","75","1","59.860404","0.38","0.1967566","0.95",,,"17.8","0.25"
"2002-1995","84","25","0.03","75","1","61","0.08","58","0.05","25","0.03","0.1463929","0.22",,,"6.8","0.12"
"2003-1996","3","50","0.16","75","1","75","1","75","1","49.92185","0.16","0.1632484","0.49",,,"40.7","0.59"
"2004-1997","3","50","0.24","75","1","58.6","0.05","56","0.03","50","0.24","0.1370152","0.08",,,"15.6","0.22"
"2005-1998","0","64","0.49","75","1","75","1","71","0.3","63.723625","0.49","0.1637433","0.54",,,"37.3","0.47"
"2006-1999","5","49","0.14","75","1","71","0.14","75","1","49.341113","0.14","0.1724293","0.62",,,"66.6","0.88"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.1677767","0.57","4.016129","0.55","78.1","1"
"2008-2001","0","63","0.46","75","1","75","1","75","1","62.800646","0.46","0.1440624","0.16","2.258065","0.18","59.3","0.84"
"2009-2002","0","60","0.41","75","1","75","1","71","0.3","60.320281","0.41","0.1457668","0.19","1.645161","0.09","39.8","0.56"
"2010-2003","0","57","0.3","75","1","75","1","71","0.3","56.562072","0.3","0.1871797","0.84","4.370968","0.64","69.7","0.91"
"2011-2004","0","65","0.51","75","1","75","1","75","1","65.176415","0.51","0.1841302","0.81","4.645162","0.82","30.4","0.28"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.1707324","0.59","3.887097","0.45","39.6","0.53"
"2013-2006","0","74","0.68","75","1","75","1","75","1","73.722682","0.68","0.1535707","0.3","3.306451","0.36","54.7","0.81"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.1946018","0.92","5.112903","1","52.6","0.75"
"2015-2008","0","69","0.59","75","1","75","1","65","0.11","68.946233","0.59","0.163367","0.51","2.741935","0.27",,
"2016-2009","0","61","0.43","75","1","75","1","75","1","60.60778","0.43","0.1622714","0.43","4.677419","0.91",,
"2017-2010","0","70","0.62","75","1","75","1","75","1","69.866132","0.62","0.1773405","0.73","4.516129","0.73",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.1974386","1",,,,
"2019-2012","0","57","0.32","75","1","75","1","74","0.32","56.813126","0.32","0.1741271","0.65",,,,
