"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","36","0.43","75","1","60.0361111111111","0.24","62","0.41","35.8808081993464","0.43","0.298057235282788","0.59",,,"8.21313764313462","0.12"
"1984-1977","100","0","0.03","73.50249","0.32","42.4","0.03","54","0.24","0","0.03","0.327338660106692","0.7",,,"29.7756696508361","0.31"
"1985-1978","0","41","0.59","73.9884","0.43","64.5","0.35","63","0.43","41.253091","0.59","0.247344938193368","0.32",,,"47.651769356867","0.66"
"1986-1979","3","25","0.24","73.3189","0.3","66.8","0.43","68","0.51","25.3674675882353","0.24","0.239002258875284","0.19",,,"44.8466846886865","0.56"
"1987-1980","92","7","0.11","72.3073","0.19","58","0.16","49","0.11","6.5977090952381","0.11","0.243331315418436","0.24",,,"-10.0742885245366","0.03"
"1988-1981","0","53","0.86","75","1","75","1","75","1","52.636483","0.86","0.190183033907116","0.03",,,"40.0665419829187","0.5"
"1989-1982","0","31","0.32","73.9884","0.43","75","1","75","1","30.757241","0.32","0.293702903347145","0.54",,,"45.4261316770574","0.59"
"1990-1983","0","43","0.65","75","1","66","0.41","62","0.41","42.598239","0.65","0.229258634195644","0.16",,,"37.8502583775287","0.44"
"1991-1984","0","50","0.84","75","1","75","1","75","1","50","0.84","0.246284701992522","0.27",,,"28.6782513253474","0.28"
"1992-1985","5","25","0.22","67.98088","0.08","44.6","0.05","50","0.16","25","0.22","0.32942118029365","0.73",,,"32.6306848513915","0.34"
"1993-1986","0","43","0.68","75","1","50","0.14","54","0.24","42.657889","0.68","0.240011944291146","0.22",,,"5.32319213765193","0.06"
"1994-1987","0","31","0.35","75","1","75","1","75","1","31.21677275","0.35","0.323224092265771","0.68",,,"50.6634442362156","0.69"
"1995-1988","0","30","0.3","73.3189","0.3","66","0.41","58","0.32","29.5811775168067","0.3","0.265355494265604","0.43",,,"58.6463040439376","0.84"
"1996-1989","0","34","0.41","73.9884","0.43","72","0.54","64","0.46","33.774192","0.41","0.307447473979476","0.62",,,"47.3040253199978","0.62"
"1997-1990","0","50","0.84","73.9884","0.43","70.1","0.49","75","1","50","0.84","0.247016749350918","0.3",,,"22.1275761551128","0.25"
"1998-1991","0","62","0.95","75","1","75","1","75","1","62.06786","0.95","0.367789852112296","0.92",,,"70.4215247258117","0.91"
"1999-1992","0","60","0.92","75","1","75","1","75","1","60.22588","0.92","0.37980536679261","0.95",,,"75.2135074987502","1"
"2000-1993","0","29","0.27","75","1","75","1","75","1","28.615505","0.27","0.3925234","1",,,"22.1","0.22"
"2001-1994","0","42","0.62","75","1","50","0.14","50","0.16","41.75876","0.62","0.3616725","0.89",,,"21.2","0.19"
"2002-1995","5","25","0.22","75","1","47.1","0.08","37","0.05","25","0.22","0.2560977","0.38",,,"8","0.09"
"2003-1996","0","38","0.49","75","1","64.3","0.32","75","1","37.821839","0.49","0.2953852","0.57",,,"37.9","0.47"
"2004-1997","100","3","0.05","75","1","59.3","0.19","54","0.24","2.986682","0.05","0.2278213","0.08",,,"19.9","0.16"
"2005-1998","0","40","0.57","75","1","75","1","69","0.57","39.502955","0.57","0.2528632","0.35",,,"51.6","0.75"
"2006-1999","0","50","0.84","73.3189","0.3","59.6","0.22","75","1","50","0.84","0.3099733","0.65",,,"57.6","0.81"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2648212","0.41","10.20968","0.36","74.1","0.97"
"2008-2001","0","39","0.54","75","1","69.2","0.46","49","0.11","39.35767","0.54","0.2281493","0.14","9.66129","0.18","67.7","0.88"
"2009-2002","0","37","0.46","75","1","75","1","75","1","37.420539","0.46","0.2862617","0.49","10.06451","0.27","43","0.53"
"2010-2003","0","49","0.76","75","1","75","1","56","0.3","48.827574","0.76","0.331426","0.78","15.58064","0.73","72.4","0.94"
"2011-2004","0","47","0.73","75","1","75","1","73","0.59","46.973722","0.73","0.3295623","0.76","10.3871","0.45","51.3","0.72"
"2012-2005","0","45","0.7","75","1","75","1","69","0.57","45.387777","0.7","0.2058379","0.05","8.499997","0.09","35.8","0.41"
"2013-2006","0","54","0.89","69.19396","0.11","75","1","56","0.3","53.506985","0.89","0.2831608","0.46","22.51613","0.91","57","0.78"
"2014-2007","5","25","0.22","60.23912","0.05","60.3","0.27","60","0.35","25","0.22","0.3316156","0.81","29.5","1","33.6","0.38"
"2015-2008","92","7","0.08","57.38625","0.03","61.4","0.3","29","0.03","6.582174","0.08","0.2279505","0.11","12.45161","0.55",,
"2016-2009","0","62","0.97","73.25471","0.22","75","1","75","1","62.31008","0.97","0.2877314","0.51","15.03226","0.64",,
"2017-2010","0","39","0.51","69.86202","0.16","71.8","0.51","75","1","38.731524","0.51","0.3845693","0.97","20.43548","0.82",,
"2018-2011","18","22","0.14","75","1","75","1","75","1","22.289154","0.14","0.3375022","0.84",,,,
"2019-2012","0","33","0.38","69.86202","0.16","75","1","66","0.49","32.608825","0.38","0.3591312","0.86",,,,
