"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","71","0.41","75","1","75","1","75","1","70.5213268611111","0.41","0.21385901024726","0.62",,,"2.31650525324529","0.03"
"1984-1977","4","60","0.22","75","1","75","1","75","1","60.205762","0.22","0.199750712595923","0.14",,,"31.9008411313395","0.28"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.197116176844459","0.11",,,"43.402716013616","0.62"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.210476002582539","0.51",,,"37.6225505579164","0.34"
"1987-1980","0","71","0.43","75","1","75","1","75","1","71.0713085428571","0.43","0.214846949553081","0.65",,,"23.3792839267829","0.19"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.215730132025511","0.68",,,"38.8963388489254","0.41"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.204615652421331","0.24",,,"44.6410064311752","0.66"
"1990-1983","52","50","0.08","75","1","75","1","73","0.03","50","0.08","0.208051026901769","0.38",,,"12.0660418440413","0.09"
"1991-1984","14","58","0.16","75","1","75","1","75","1","58.1281078","0.16","0.19238597078018","0.05",,,"10.6630702934504","0.06"
"1992-1985","30","55","0.11","75","1","75","1","75","1","54.611174","0.11","0.200461736551462","0.19",,,"42.915654041977","0.59"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.18933229168537","0.03",,,"50.5280951335294","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.231028434821429","0.92",,,"54.2753763205897","0.81"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.218222462985867","0.76",,,"62.4323956053618","0.94"
"1996-1989","52","50","0.08","75","1","75","1","75","1","50","0.08","0.200237211218855","0.16",,,"40.8399145494148","0.53"
"1997-1990","0","75","1","75","1","75","1","75","1","75","1","0.209458109550936","0.46",,,"40.3202278302405","0.5"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.226949391665037","0.84",,,"62.2464748218771","0.91"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.227091596456145","0.86",,,"58.3719973968955","0.88"
"2000-1993","0","73","0.49","75","1","75","1","75","1","72.943681","0.49","0.2319017","0.97",,,"31.5","0.25"
"2001-1994","0","62","0.27","75","1","75","1","75","1","61.98069","0.27","0.2157403","0.7",,,"42.4","0.56"
"2002-1995","12","58","0.19","75","1","75","1","75","1","58.469541","0.19","0.1951329","0.08",,,"16.2","0.12"
"2003-1996","0","68","0.35","75","1","75","1","75","1","68.000002","0.35","0.2341538","1",,,"38.9","0.44"
"2004-1997","26","55","0.14","75","1","75","1","75","1","55.439917","0.14","0.2063749","0.32",,,"26.8","0.22"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.213331","0.57",,,"47.1","0.72"
"2006-1999","52","50","0.08","75","1","75","1","75","1","50","0.08","0.2065707","0.35",,,"51.8","0.78"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2135885","0.59","3.846774","0.27","70.8","1"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2096637","0.49","2.798387","0.18","56.4","0.84"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.205491","0.27","2.290322","0.09","35.2","0.31"
"2010-2003","2","61","0.24","75","1","75","1","75","1","60.648203","0.24","0.2026333","0.22","5.133064","0.91","68.9","0.97"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.2083565","0.41","4.935483","0.64","21.6","0.16"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.2061336","0.3","3.854838","0.36","39.9","0.47"
"2013-2006","0","64","0.32","75","1","75","1","75","1","64.209736","0.32","0.217103","0.73","5.120967","0.82","45.1","0.69"
"2014-2007","0","64","0.3","75","1","75","1","75","1","64.130791","0.3","0.2310666","0.95","5.979839","1","38.1","0.38"
"2015-2008","0","69","0.38","75","1","75","1","75","1","68.614657","0.38","0.2083673","0.43","3.895161","0.45",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2237173","0.78","5.032257","0.73",,
"2017-2010","0","72","0.46","75","1","75","1","75","1","72.313791","0.46","0.2108924","0.54","4.314517","0.55",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2262408","0.81",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.227215","0.89",,,,
