"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","43","39","0.08","75","1","72.8","0.05","68","0.03","39.4493901789215","0.08","0.266699506917464","0.84",,,"2.31650525324529","0.03"
"1984-1977","20","46","0.14","75","1","75","1","75","1","46.110721","0.14","0.220397026686077","0.16",,,"31.9008411313395","0.28"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.206743042263979","0.11",,,"43.402716013616","0.62"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.23438802217012","0.38",,,"37.6225505579164","0.34"
"1987-1980","17","47","0.16","75","1","75","1","75","1","47.0538512777778","0.16","0.232556000033223","0.32",,,"23.3792839267829","0.19"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.261618194502084","0.76",,,"38.8963388489254","0.41"
"1989-1982","0","65","0.46","75","1","75","1","75","1","65.143459","0.46","0.212472551790235","0.14",,,"44.6410064311752","0.66"
"1990-1983","24","45","0.11","75","1","75","1","71","0.08","45.14063","0.11","0.227612867511127","0.27",,,"12.0660418440413","0.09"
"1991-1984","0","57","0.35","75","1","75","1","75","1","57.059352","0.35","0.185225073484819","0.03",,,"10.6630702934504","0.06"
"1992-1985","17","47","0.19","75","1","72.3","0.03","75","1","47.073088","0.19","0.234673222469442","0.41",,,"42.915654041977","0.59"
"1993-1986","0","71","0.62","75","1","75","1","75","1","71.393898","0.62","0.234923810821861","0.43",,,"50.5280951335294","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.306563950709533","1",,,"54.2753763205897","0.81"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.253857885249135","0.68",,,"62.4323956053618","0.94"
"1996-1989","0","71","0.59","75","1","75","1","75","1","71.125945","0.59","0.227941305954644","0.3",,,"40.8399145494148","0.53"
"1997-1990","1","52","0.24","75","1","75","1","75","1","51.751786","0.24","0.200538288203629","0.05",,,"40.3202278302405","0.5"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.239780467055566","0.54",,,"62.2464748218771","0.91"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.266906964283418","0.86",,,"58.3719973968955","0.88"
"2000-1993","0","62","0.38","75","1","75","1","75","1","61.731912","0.38","0.2870408","0.97",,,"31.5","0.25"
"2001-1994","0","70","0.57","75","1","75","1","75","1","70.07345","0.57","0.2442708","0.59",,,"42.4","0.56"
"2002-1995","67","33","0.05","75","1","75","1","71","0.08","32.577303","0.05","0.2223376","0.19",,,"16.2","0.12"
"2003-1996","0","56","0.32","75","1","75","1","75","1","56.232435","0.32","0.2599552","0.73",,,"38.9","0.44"
"2004-1997","7","50","0.22","75","1","74.7","0.08","75","1","50","0.22","0.2063069","0.08",,,"26.8","0.22"
"2005-1998","0","73","0.65","75","1","75","1","75","1","73.168264","0.65","0.2240058","0.22",,,"47.1","0.72"
"2006-1999","80","29","0.03","75","1","75","1","75","1","28.8434936","0.03","0.2383968","0.49",,,"51.8","0.78"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2388706","0.51","4.040321","0.45","70.8","1"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2535787","0.65","2.879032","0.18","56.4","0.84"
"2009-2002","0","56","0.3","75","1","75","1","75","1","56.18565","0.3","0.2342576","0.35","1.903226","0.09","35.2","0.31"
"2010-2003","0","52","0.27","75","1","75","1","75","1","51.955746","0.27","0.2552319","0.7","4.629032","0.55","68.9","0.97"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.2627366","0.78","4.830646","0.73","21.6","0.16"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.2379737","0.46","3.693548","0.36","39.9","0.47"
"2013-2006","0","65","0.43","75","1","75","1","75","1","64.617414","0.43","0.2763736","0.92","4.822581","0.64","45.1","0.69"
"2014-2007","0","67","0.51","75","1","75","1","75","1","67.27272","0.51","0.2826288","0.95","5.766129","1","38.1","0.38"
"2015-2008","0","75","1","75","1","75","1","75","1","75","1","0.2270304","0.24","3.443548","0.27",,
"2016-2009","0","69","0.54","75","1","75","1","75","1","68.554902","0.54","0.2427864","0.57","5.354838","0.91",,
"2017-2010","0","74","0.68","75","1","75","1","75","1","73.645495","0.68","0.2523539","0.62","4.846775","0.82",,
"2018-2011","0","62","0.41","75","1","75","1","75","1","62.496826","0.41","0.2639399","0.81",,,,
"2019-2012","0","66","0.49","75","1","75","1","75","1","65.597764","0.49","0.2711889","0.89",,,,
