"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","75","1","75","1","75","1","75","1","75","1","0.312230842430187","0.62",,,"-0.892903085931266","0.09"
"1984-1977","0","75","1","75","1","75","1","75","1","75","1","0.308349517862153","0.57",,,"-2.37768966172377","0.06"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.296086354524556","0.43",,,"17.4336813027712","0.28"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.320798326786882","0.7",,,"44.9494539023817","0.78"
"1987-1980","0","75","1","75","1","75","1","75","1","75","1","0.269870142548253","0.19",,,"7.34905006072263","0.19"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.333129538424249","0.78",,,"18.686607720865","0.31"
"1989-1982","13","71","0.16","75","1","75","1","75","1","70.8256518","0.16","0.339802762298633","0.89",,,"39.7322126281456","0.69"
"1990-1983","28","66","0.11","75","1","75","1","75","1","65.9386684","0.11","0.362496697560453","1",,,"-7.52236495102973","0.03"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.320377409864392","0.68",,,"5.86295746045443","0.16"
"1992-1985","32","65","0.05","75","1","75","1","75","1","64.617991","0.05","0.33787756728185","0.86",,,"32.6587024413148","0.59"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.331402462597209","0.76",,,"32.0486257581112","0.56"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.351044471913683","0.95",,,"59.0918623771136","0.91"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.308058518308371","0.54",,,"46.0873685400857","0.81"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.264911636039249","0.14",,,"35.6455804172026","0.66"
"1997-1990","29","66","0.08","75","1","75","1","75","1","65.611302","0.08","0.278072361440251","0.27",,,"26.3542366043372","0.5"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.336026638175984","0.84",,,"41.5837880152808","0.72"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.335618079715155","0.81",,,"63.5995650416698","0.97"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.3560441","0.97",,,"19.8","0.34"
"2001-1994","0","75","1","75","1","75","1","75","1","75","1","0.3036399","0.51",,,"8.6","0.22"
"2002-1995","0","75","1","75","1","75","1","75","1","75","1","0.328069","0.73",,,"2.3","0.12"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.3436481","0.92",,,"21.9","0.38"
"2004-1997","65","54","0.03","75","1","75","1","75","1","54.160628","0.03","0.2958211","0.41",,,"9.9","0.25"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.2930801","0.38",,,"31.9","0.53"
"2006-1999","0","75","1","75","1","75","1","75","1","75","1","0.2962398","0.46",,,"53.3","0.88"
"2007-2000","17","70","0.14","75","1","75","1","75","1","69.7026205","0.14","0.2909573","0.35","18.20967","0.18","74.3","1"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2722861","0.22","19.43145","0.27","60","0.94"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.2997354","0.49","14.93145","0.09","25.4","0.44"
"2010-2003","0","75","1","75","1","75","1","75","1","75","1","0.2428047","0.03","19.49596","0.36","46.8","0.84"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.25292","0.08","20.2621","0.55","43.5","0.75"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.2829674","0.3","19.73387","0.45","33.2","0.62"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.2904192","0.32","27.03629","0.91","26.2","0.47"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.3089406","0.59","35.91128","1","25","0.41"
"2015-2008","0","75","1","75","1","75","1","75","1","75","1","0.2445893","0.05","21.15726","0.64",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2540014","0.11","23.66129","0.73",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2671914","0.16","24.0121","0.82",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2778793","0.24",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.3173576","0.65",,,,
