"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","50","28","0.11","75","1","60.7","0.14","56","0.14","27.5149144215686","0.11","0.191866868631833","0.46",,,"1.44616032652508","0.06"
"1984-1977","0","44","0.38","75","1","63.9","0.16","73","0.49","43.533163","0.38","0.181563030760454","0.24",,,"2.24091585613645","0.09"
"1985-1978","0","60","0.68","75","1","72.4","0.3","71","0.3","59.540686","0.68","0.170792407110443","0.05",,,"22.6598083082082","0.41"
"1986-1979","0","49","0.46","75","1","75","1","75","1","49.4674475882353","0.46","0.169781140231015","0.03",,,"19.0918103912327","0.31"
"1987-1980","41","29","0.14","75","1","66","0.22","72","0.35","29.3028620833333","0.14","0.177913893693716","0.16",,,"-29.0197774316928","0.03"
"1988-1981","0","64","0.78","75","1","75","1","75","1","63.57881","0.78","0.197142521314216","0.57",,,"23.407082527299","0.44"
"1989-1982","21","33","0.22","75","1","75","1","69","0.24","32.946753","0.22","0.184837327359267","0.3",,,"51.0012170840488","0.75"
"1990-1983","0","37","0.27","75","1","75","1","70","0.27","37.42802","0.27","0.190204925352357","0.43",,,"2.6459165969671","0.12"
"1991-1984","22","33","0.19","75","1","73.7","0.32","75","1","32.7617709","0.19","0.225578877687173","0.95",,,"9.02250822078014","0.25"
"1992-1985","0","50","0.51","75","1","50","0.03","50","0.11","50","0.51","0.204108398022573","0.7",,,"41.6733281584197","0.53"
"1993-1986","0","48","0.41","75","1","75","1","75","1","48.344134","0.41","0.189335106051539","0.38",,,"44.44508675483","0.69"
"1994-1987","0","75","1","75","1","75","1","73","0.49","75","1","0.212714996489002","0.84",,,"60.6198548470686","0.81"
"1995-1988","0","72","0.92","75","1","75","1","75","1","72.1825537072829","0.92","0.198401343379268","0.62",,,"42.6571186555409","0.59"
"1996-1989","38","30","0.16","75","1","71.2","0.27","75","1","29.819668","0.16","0.188974427879922","0.35",,,"42.015564541906","0.56"
"1997-1990","0","50","0.51","75","1","70.7","0.24","75","1","50","0.51","0.177595658564906","0.14",,,"19.2144828083354","0.34"
"1998-1991","0","73","0.95","75","1","75","1","75","1","73.00343","0.95","0.21196535939927","0.81",,,"76.5798441987494","0.97"
"1999-1992","0","71","0.89","75","1","75","1","75","1","70.79163","0.89","0.179646516916378","0.22",,,"60.6694505596982","0.84"
"2000-1993","0","61","0.73","75","1","75","1","75","1","60.87017","0.73","0.2263389","0.97",,,"36.4","0.47"
"2001-1994","0","43","0.32","75","1","75","1","75","1","42.91388","0.32","0.2028657","0.68",,,"4.8","0.19"
"2002-1995","64","25","0.05","75","1","57","0.05","47","0.03","24.830437","0.05","0.1774463","0.11",,,"4.1","0.16"
"2003-1996","79","22","0.03","75","1","75","1","75","1","22.029717","0.03","0.1949198","0.51",,,"43.6","0.62"
"2004-1997","0","43","0.35","75","1","59","0.11","50","0.11","42.998427","0.35","0.1898952","0.41",,,"6.7","0.22"
"2005-1998","0","60","0.7","75","1","75","1","62","0.19","59.90672","0.7","0.1790608","0.19",,,"37.5","0.5"
"2006-1999","63","25","0.08","75","1","57.2","0.08","75","1","25","0.08","0.1957033","0.54",,,"64.2","0.94"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.1974996","0.59","1.604838","0.55","76.6","1"
"2008-2001","0","55","0.59","75","1","75","1","72","0.35","54.68942","0.59","0.1929798","0.49","1.096774","0.09","61.8","0.91"
"2009-2002","0","52","0.54","75","1","75","1","65","0.22","51.794065","0.54","0.1840076","0.27","1.887097","0.82","45.6","0.72"
"2010-2003","0","53","0.57","75","1","75","1","73","0.49","52.787119","0.57","0.2060815","0.76","1.41129","0.27","61.4","0.88"
"2011-2004","0","61","0.76","75","1","75","1","75","1","61.476139","0.76","0.2271371","1","2","0.91","16.5","0.28"
"2012-2005","0","49","0.43","75","1","75","1","73","0.49","48.728119","0.43","0.2047313","0.73","1.467742","0.45","19.6","0.38"
"2013-2006","0","70","0.86","75","1","75","1","75","1","69.871386","0.86","0.1730213","0.08","1.419355","0.36","54.4","0.78"
"2014-2007","0","55","0.62","75","1","75","1","73","0.49","55.0400107","0.62","0.2227605","0.92","2.596774","1","44","0.66"
"2015-2008","0","68","0.84","75","1","75","1","50","0.11","68.415525","0.84","0.1865155","0.32","1.177419","0.18",,
"2016-2009","0","56","0.65","75","1","75","1","75","1","56.124069","0.65","0.2081921","0.78","1.822581","0.64",,
"2017-2010","0","43","0.3","75","1","75","1","75","1","42.814307","0.3","0.2171946","0.89","1.870967","0.73",,
"2018-2011","0","68","0.81","75","1","75","1","75","1","68.345903","0.81","0.2152805","0.86",,,,
"2019-2012","2","37","0.24","75","1","65.1","0.19","61","0.16","36.665292","0.24","0.1989974","0.65",,,,
