"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","28","49","0.05","75","1","75","1","68","0.16","48.7359605081699","0.05","0.212694575310645","0.65",,,"-4.09860932503148","0.03"
"1984-1977","0","58","0.27","75","1","75","1","75","1","58.03095","0.27","0.200454705210791","0.46",,,"46.8501357054241","0.56"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.189323092542205","0.22",,,"29.2534892630586","0.22"
"1986-1979","10","55","0.19","75","1","75","1","75","1","54.750264","0.19","0.22535188323866","0.81",,,"45.1377994793107","0.53"
"1987-1980","82","31","0.03","75","1","75","1","59","0.05","31.0001933714286","0.03","0.176661972611476","0.08",,,"21.5610895038063","0.12"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.196412711665449","0.43",,,"39.0705617903898","0.47"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.213472600358576","0.7",,,"58.0338186269922","0.66"
"1990-1983","8","55","0.22","75","1","75","1","75","1","55.419889","0.22","0.183948921702417","0.16",,,"47.0223487607761","0.59"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.182343550880073","0.14",,,"23.9413895753416","0.16"
"1992-1985","11","54","0.16","75","1","73.1","0.08","57","0.03","54.499703","0.16","0.243409998963704","0.95",,,"34.014182243356","0.38"
"1993-1986","24","50","0.08","75","1","69.6","0.05","70","0.19","50","0.08","0.181838766421804","0.11",,,"28.6824474822121","0.19"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.260708961407344","1",,,"76.7646574667893","0.97"
"1995-1988","2","57","0.24","75","1","64.9","0.03","75","1","57.3117552407096","0.24","0.193444808712226","0.38",,,"37.7299922382156","0.44"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.190025206968171","0.24",,,"37.4663809332711","0.41"
"1997-1990","0","75","1","75","1","75","1","75","1","75","1","0.165393692586296","0.05",,,"30.4635760932397","0.25"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.207798646095409","0.57",,,"66.1105180857754","0.84"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.230570467893566","0.86",,,"77.2713166309854","1"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.2192242","0.73",,,"32.4","0.28"
"2001-1994","0","75","1","75","1","75","1","75","1","75","1","0.2132546","0.68",,,"19.8","0.09"
"2002-1995","13","54","0.11","75","1","75","1","74","0.24","53.569133","0.11","0.1515719","0.03",,,"5.8","0.06"
"2003-1996","0","73","0.49","75","1","75","1","75","1","72.553964","0.49","0.22531","0.78",,,"53.8","0.62"
"2004-1997","11","54","0.14","75","1","75","1","68","0.16","54.354353","0.14","0.1958998","0.41",,,"33.5","0.34"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.1924138","0.3",,,"39.6","0.5"
"2006-1999","0","63","0.32","75","1","75","1","75","1","63.27497","0.32","0.2061637","0.54",,,"69.2","0.94"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2300153","0.84","13.53225","0.55","67.9","0.91"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.1928464","0.32","8.725805","0.18","65.2","0.81"
"2009-2002","0","71","0.46","75","1","75","1","75","1","70.572054","0.46","0.2024211","0.49","8.129033","0.09","33.4","0.31"
"2010-2003","0","60","0.3","75","1","75","1","61","0.11","59.842286","0.3","0.2126383","0.62","16.7742","0.82","63.6","0.78"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.191525","0.27","11.25806","0.36","61.6","0.75"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.1931113","0.35","10.87097","0.27","58.6","0.69"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.2126072","0.59","19.6129","0.91","61.2","0.72"
"2014-2007","0","74","0.51","75","1","75","1","72","0.22","74.030037","0.51","0.2463176","0.97","23.27419","1","66.7","0.88"
"2015-2008","0","65","0.38","75","1","75","1","61","0.11","65.32335","0.38","0.1871559","0.19","14.29032","0.64",,
"2016-2009","0","68","0.43","75","1","75","1","75","1","67.9728","0.43","0.2045978","0.51","14.93548","0.73",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2208025","0.76","11.91935","0.45",,
"2018-2011","0","65","0.35","75","1","75","1","75","1","65.248151","0.35","0.2359964","0.92",,,,
"2019-2012","0","67","0.41","75","1","75","1","75","1","66.873005","0.41","0.2334523","0.89",,,,
