"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","18","40","0.22","75","1","75","1","71","0.22","39.7707779869281","0.22","0.236560233370316","0.7",,,"13.3116374824873","0.31"
"1984-1977","0","51","0.38","75","1","75","1","75","1","51.037955","0.38","0.210579980503799","0.3",,,"-7.4749997485655","0.09"
"1985-1978","0","75","1","75","1","73","0.19","75","1","75","1","0.196308138148756","0.05",,,"21.4170548924347","0.47"
"1986-1979","0","61","0.59","75","1","75","1","75","1","61.3757862647059","0.59","0.200372573112269","0.14",,,"32.1574387020936","0.53"
"1987-1980","40","36","0.11","75","1","69.1","0.14","72","0.24","35.8453811746032","0.11","0.207936145872176","0.22",,,"-8.91011174432256","0.06"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.199626951315646","0.08",,,"20.0974278659142","0.41"
"1989-1982","0","49","0.35","75","1","75","1","74","0.27","48.64749","0.35","0.222456538897844","0.46",,,"37.8273751307343","0.62"
"1990-1983","0","61","0.57","75","1","75","1","75","1","61.2485","0.57","0.208815802530809","0.27",,,"-20.7226592602435","0.03"
"1991-1984","22","39","0.19","75","1","75","1","75","1","39.081035","0.19","0.193971350917436","0.03",,,"-4.70445587277457","0.12"
"1992-1985","28","38","0.16","75","1","72.1","0.16","75","1","38.032281","0.16","0.233119592303601","0.65",,,"16.3260142567395","0.34"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.213235991882354","0.32",,,"54.3108984430297","0.91"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.273841957721808","0.97",,,"46.4327579562791","0.78"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.215814047908342","0.38",,,"36.666047013265","0.59"
"1996-1989","48","34","0.08","75","1","65.5","0.05","65","0.08","34.287198","0.08","0.20813595933982","0.24",,,"40.8357429309775","0.72"
"1997-1990","0","57","0.54","75","1","75","1","75","1","57.107914","0.54","0.213923147164552","0.35",,,"21.0865926186761","0.44"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.227451784943207","0.51",,,"55.5718753794826","0.97"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.22794643884897","0.57",,,"47.7397098032492","0.84"
"2000-1993","0","54","0.43","75","1","75","1","75","1","53.570894","0.43","0.23756","0.73",,,"13.1","0.28"
"2001-1994","0","44","0.27","75","1","75","1","75","1","44.41327","0.27","0.2216106","0.43",,,"6","0.22"
"2002-1995","0","43","0.24","75","1","66","0.08","69","0.19","43.048682","0.24","0.1998731","0.11",,,"3.3","0.16"
"2003-1996","0","56","0.49","75","1","75","1","75","1","55.797575","0.49","0.2397264","0.81",,,"28.8","0.5"
"2004-1997","0","48","0.32","75","1","59.5","0.03","67","0.14","48.451814","0.32","0.2004177","0.16",,,"4.3","0.19"
"2005-1998","0","48","0.3","75","1","75","1","53","0.03","47.704013","0.3","0.2011817","0.19",,,"38.6","0.66"
"2006-1999","65","31","0.05","75","1","68.6","0.11","75","1","31.246907","0.05","0.2276843","0.54",,,"46.8","0.81"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2280587","0.59","3.991935","0.45","64.7","1"
"2008-2001","0","71","0.7","75","1","75","1","75","1","70.525308","0.7","0.2312693","0.62","2.669355","0.27","54.9","0.94"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.2337801","0.68","2.524194","0.09","34.6","0.56"
"2010-2003","0","51","0.41","75","1","75","1","69","0.19","51.161904","0.41","0.2465099","0.89","4.524193","0.82","48.3","0.88"
"2011-2004","35","37","0.14","75","1","75","1","75","1","36.724057","0.14","0.2411773","0.84","4.209677","0.55","13","0.25"
"2012-2005","0","54","0.46","75","1","75","1","63","0.05","53.847877","0.46","0.2376498","0.76","4.338709","0.73","18.3","0.38"
"2013-2006","0","62","0.62","75","1","75","1","75","1","62.041834","0.62","0.2261168","0.49","3.532258","0.36","41.5","0.75"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.2800879","1","6.233871","1","39.3","0.69"
"2015-2008","0","63","0.68","75","1","75","1","67","0.14","63.450656","0.68","0.2172552","0.41","2.637097","0.18",,
"2016-2009","0","63","0.65","75","1","75","1","75","1","63.03623","0.65","0.2460837","0.86","6.080645","0.91",,
"2017-2010","0","57","0.51","75","1","75","1","75","1","56.519733","0.51","0.2382817","0.78","4.290322","0.64",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2605504","0.95",,,,
"2019-2012","66","31","0.03","75","1","75","1","75","1","31.208685","0.03","0.2549718","0.92",,,,
