"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","58","55","0.05","75","1","75","1","75","1","54.8266374705882","0.05","0.378054184218029","0.32",,,"89.0992746327972","0.06"
"1984-1977","0","75","1","75","1","75","1","75","1","75","1","0.319356833365573","0.03",,,"157.726941009365","0.97"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.451957003399449","0.89",,,"137.797114930884","0.66"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.345286253821367","0.08",,,"139.664008036927","0.69"
"1987-1980","0","75","1","75","1","75","1","75","1","75","1","0.346685016220352","0.11",,,"132.302632505663","0.47"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.455531761176338","0.95",,,"144.117857454259","0.78"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.396536413466276","0.54",,,"145.538144354301","0.81"
"1990-1983","0","75","1","75","1","75","1","75","1","75","1","0.462577447590561","0.97",,,"135.354151952118","0.56"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.421300185206089","0.76",,,"107.822173023356","0.25"
"1992-1985","56","55","0.08","75","1","75","1","75","1","55.407378","0.08","0.451749826926094","0.86",,,"93.3098848940502","0.12"
"1993-1986","0","75","1","75","1","75","1","75","1","75","1","0.368353426906508","0.27",,,"142.491452039342","0.72"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.455233764318732","0.92",,,"158.626332149684","1"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.347436311989622","0.14",,,"121.855899336158","0.34"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.337463414729185","0.05",,,"146.50178461483","0.84"
"1997-1990","41","60","0.11","75","1","75","1","75","1","60.483818","0.11","0.354404267075857","0.22",,,"105.999882612335","0.22"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.411780667158275","0.62",,,"96.0592741801762","0.16"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.413386686331574","0.65",,,"112.176438717928","0.28"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.4853254","1",,,"133.1","0.53"
"2001-1994","0","75","1","75","1","75","1","75","1","75","1","0.4078079","0.59",,,"85.8","0.03"
"2002-1995","0","75","1","75","1","75","1","75","1","75","1","0.3490269","0.16",,,"90.1","0.09"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.4442933","0.81",,,"118","0.31"
"2004-1997","10","72","0.14","75","1","75","1","75","1","71.522413","0.14","0.3842939","0.38",,,"97.5","0.19"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.3787611","0.35",,,"137.4","0.62"
"2006-1999","0","75","1","75","1","75","1","75","1","75","1","0.4192834","0.68",,,"150.9","0.91"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.3948062","0.46","18.95161","0.45","153.8","0.94"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.4348558","0.78","17.68144","0.36","125.2","0.38"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.4450679","0.84","16.02823","0.09","150.2","0.88"
"2010-2003","3","74","0.16","75","1","75","1","75","1","74.102137","0.16","0.4006753","0.57","19.48386","0.55","132.5","0.5"
"2011-2004","0","75","1","75","1","75","1","75","1","75","1","0.3535777","0.19","16.37097","0.27","143.5","0.75"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.3958372","0.51","19.92741","0.64","135.6","0.59"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.3936203","0.43","23.75807","0.91","131.2","0.41"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.421024","0.73","23.92339","1","131.7","0.44"
"2015-2008","71","50","0.03","75","1","71.4","0.03","62","0.03","50.236064","0.03","0.3725727","0.3","16.12097","0.18",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.3560845","0.24","22.32258","0.73",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.4193258","0.7","22.39516","0.82",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.3892911","0.41",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.3957493","0.49",,,,
