"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie","SelamgieAmbarie"
"Region","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie","Goncha Siso Enesie"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","68","10","0.11","31","54","0.14","99.35","0"
"1984-1977","0","69","1","22","59","0.19","21.82","0"
"1985-1978","0","27","0.38","0","75","1","0","0"
"1986-1979","0","50","0.81","0","75","1","0","0"
"1987-1980","0","22","0.27","32","54","0.11","32.38","0"
"1988-1981","0","23","0.3","0","75","1","0","0"
"1989-1982","83","8","0.08","0","75","1","82.7","0"
"1990-1983","0","32","0.49","0","75","1","0","0"
"1991-1984","0","50","0.81","0","75","1","0","1"
"1992-1985","0","31","0.43","90","25","0.03","90","0"
"1993-1986","0","37","0.59","22","59","0.16","22.4","1"
"1994-1987","0","34","0.54","0","73","0.3","0","0"
"1995-1988","0","30","0.41","0","75","1","0","0"
"1996-1989","0","37","0.62","0","75","1","0","0"
"1997-1990","0","63","0.95","0","75","1","0","0"
"1998-1991","0","60","0.89","0","75","1","0","0"
"1999-1992","0","41","0.7","0","75","1","0","0"
"2000-1993","0","24","0.32","0","75","1","0","0"
"2001-1994","0","37","0.57","0","75","1","0","0"
"2002-1995","0","47","0.76","0","75","1","0","0"
"2003-1996","0","21","0.24","0","75","1","0","0"
"2004-1997","21","18","0.19","40","50","0.08","61.29","0"
"2005-1998","6","20","0.22","0","75","1","6.08","0"
"2006-1999","85","7","0.05","40","50","0.08","125.14","0"
"2007-2000","0","37","0.65","0","75","1","0","0"
"2008-2001","0","60","0.86","0","75","1","0","1"
"2009-2002","0","34","0.51","0","75","1","0","1"
"2010-2003","52","13","0.14","0","73","0.27","51.56","0"
"2011-2004","0","44","0.73","2","69","0.24","1.56","0"
"2012-2005","24","17","0.16","0","75","1","23.82","0"
"2013-2006","0","25","0.35","0","75","1","0","0"
"2014-2007","0","31","0.46","0","75","1","0","0"
"2015-2008","0","38","0.68","7","66","0.22","7.04","0"
"2016-2009","0","57","0.84","0","75","1","0","0"
"2017-2010","100","2","0.03","0","75","1","100","0"
"2018-2011","0","63","0.97","0","75","1","0","0"
"2019-2012","0","61","0.92","0","75","1","0","0"
