"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","TaraSenba","TaraSenba","TaraSenba","TaraSenba","TaraSenba","TaraSenba","TaraSenba","TaraSenba"
"Region","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","47","14","0.05","0","72","0.27","46.8","0"
"1984-1977","0","50","0.73","0","71","0.24","0","0"
"1985-1978","0","29","0.43","0","73","0.32","0","0"
"1986-1979","0","45","0.65","0","75","1","0","0"
"1987-1980","0","75","1","72","46","0.03","72.16","0"
"1988-1981","0","66","0.92","0","75","1","0","0"
"1989-1982","0","33","0.51","0","75","1","0","0"
"1990-1983","0","25","0.35","13","66","0.16","13.25","0"
"1991-1984","0","39","0.57","0","75","1","0","1"
"1992-1985","100","3","0.03","38","58","0.08","137.54","1"
"1993-1986","0","26","0.38","9","68","0.19","9.42","0"
"1994-1987","0","58","0.81","0","75","1","0","1"
"1995-1988","0","21","0.24","33","60","0.11","33.41","0"
"1996-1989","0","67","0.95","0","75","1","0","0"
"1997-1990","0","60","0.84","0","75","1","0","1"
"1998-1991","0","31","0.46","0","75","1","0","0"
"1999-1992","33","16","0.11","0","75","1","32.73","0"
"2000-1993","9","20","0.19","0","75","1","8.79","0"
"2001-1994","0","55","0.76","0","75","1","0","0"
"2002-1995","0","41","0.59","0","75","1","0","1"
"2003-1996","0","21","0.27","0","75","1","0","0"
"2004-1997","20","18","0.14","48","55","0.05","67.59","0"
"2005-1998","0","29","0.41","0","75","1","0","0"
"2006-1999","0","43","0.62","0","75","1","0","0"
"2007-2000","0","48","0.68","0","75","1","0","0"
"2008-2001","0","49","0.7","0","75","1","0","0"
"2009-2002","0","60","0.86","0","75","1","0","0"
"2010-2003","42","14","0.08","8","68","0.22","50.3","0"
"2011-2004","0","62","0.89","0","75","1","0","0"
"2012-2005","0","32","0.49","0","75","1","0","0"
"2013-2006","12","19","0.16","0","75","1","11.68","0"
"2014-2007","0","25","0.35","0","73","0.3","0","0"
"2015-2008","0","36","0.54","0","75","1","0","0"
"2016-2009","3","21","0.22","0","75","1","2.77","0"
"2017-2010","0","24","0.3","0","75","1","0","0"
"2018-2011","0","56","0.78","0","75","1","0","0"
"2019-2012","0","75","1","23","63","0.14","22.53","0"
