"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Tigage","Tigage","Tigage","Tigage","Tigage","Tigage","Tigage","Tigage"
"Region","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","52","1","22","48","0.08","22.39","0"
"1984-1977","0","35","0.89","1","55","0.24","1.41","0"
"1985-1978","0","7","0.38","17","50","0.14","16.67","0"
"1986-1979","0","25","0.78","0","60","0.38","0","0"
"1987-1980","0","10","0.49","79","31","0.03","79.25","0"
"1988-1981","0","19","0.57","0","75","1","0","0"
"1989-1982","100","1","0.24","0","59","0.35","100","0"
"1990-1983","0","11","0.51","0","56","0.27","0","0"
"1991-1984","0","33","0.86","0","75","1","0","1"
"1992-1985","100","0","0.19","8","53","0.16","107.77","0"
"1993-1986","0","5","0.3","17","50","0.14","16.67","1"
"1994-1987","0","7","0.35","0","75","1","0","0"
"1995-1988","100","0","0.19","0","56","0.32","100","0"
"1996-1989","0","32","0.84","0","75","1","0","1"
"1997-1990","0","36","0.92","0","73","0.57","0","0"
"1998-1991","100","0","0.19","0","75","1","100","0"
"1999-1992","0","25","0.78","0","75","1","0","1"
"2000-1993","0","20","0.59","0","75","1","0","0"
"2001-1994","0","16","0.54","0","70","0.51","0","0"
"2002-1995","0","24","0.65","4","54","0.19","3.72","0"
"2003-1996","0","8","0.43","0","75","1","0","0"
"2004-1997","0","10","0.46","2","54","0.22","1.98","1"
"2005-1998","0","25","0.7","0","75","1","0","0"
"2006-1999","100","0","0.19","26","47","0.05","126.45","0"
"2007-2000","0","28","0.81","0","75","1","0","0"
"2008-2001","0","24","0.62","0","75","1","0","0"
"2009-2002","0","25","0.68","0","68","0.49","0","0"
"2010-2003","100","0","0.19","0","61","0.41","100","0"
"2011-2004","100","1","0.22","0","75","1","100","0"
"2012-2005","0","7","0.41","0","75","1","0","0"
"2013-2006","0","25","0.78","0","66","0.46","0","0"
"2014-2007","100","0","0.19","0","73","0.59","100","0"
"2015-2008","100","0","0.19","0","56","0.3","100","0"
"2016-2009","100","4","0.27","0","62","0.43","100","0"
"2017-2010","0","7","0.32","0","75","1","0","0"
"2018-2011","0","40","0.97","0","70","0.54","0","0"
"2019-2012","0","40","0.95","0","74","0.62","0","0"
