"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Santa gelebeda","Santa gelebeda","Santa gelebeda","Santa gelebeda","Santa gelebeda","Santa gelebeda","Santa gelebeda","Santa gelebeda"
"Region","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","29","0.7","30","42","0.16","29.7","0"
"1984-1977","0","7","0.24","36","40","0.14","36.14","0"
"1985-1978","100","4","0.19","0","75","1","100","0"
"1986-1979","0","50","0.95","0","75","1","0","0"
"1987-1980","0","68","1","86","25","0.03","85.93","0"
"1988-1981","0","8","0.3","0","75","1","0","0"
"1989-1982","0","17","0.49","0","73","0.59","0","0"
"1990-1983","0","14","0.43","6","50","0.22","6.25","1"
"1991-1984","0","21","0.54","0","62","0.32","0","0"
"1992-1985","100","0","0.11","0","55","0.27","100","0"
"1993-1986","0","35","0.78","0","67","0.43","0","0"
"1994-1987","0","54","0.97","0","75","1","0","0"
"1995-1988","100","0","0.11","0","75","1","100","0"
"1996-1989","0","47","0.89","0","72","0.54","0","0"
"1997-1990","0","29","0.68","2","51","0.24","1.56","0"
"1998-1991","0","34","0.73","0","75","1","0","1"
"1999-1992","0","15","0.46","0","75","1","0","0"
"2000-1993","0","27","0.62","0","75","1","0","0"
"2001-1994","100","0","0.11","0","75","1","100","0"
"2002-1995","100","0","0.11","71","29","0.08","170.65","0"
"2003-1996","0","25","0.59","49","36","0.11","48.6","0"
"2004-1997","0","7","0.27","7","50","0.19","6.65","0"
"2005-1998","0","10","0.38","0","73","0.57","0","0"
"2006-1999","0","18","0.51","78","27","0.05","78.15","0"
"2007-2000","0","9","0.32","0","75","1","0","0"
"2008-2001","100","1","0.14","0","75","1","100","1"
"2009-2002","43","6","0.22","0","64","0.35","43.49","0"
"2010-2003","0","34","0.76","0","66","0.41","0","1"
"2011-2004","0","46","0.86","0","75","1","0","0"
"2012-2005","0","28","0.65","0","75","1","0","0"
"2013-2006","0","9","0.35","0","68","0.46","0","1"
"2014-2007","100","2","0.16","0","60","0.3","100","0"
"2015-2008","0","21","0.57","0","74","0.62","0","0"
"2016-2009","0","42","0.84","0","69","0.49","0","0"
"2017-2010","0","13","0.41","0","75","1","0","0"
"2018-2011","0","35","0.81","0","69","0.51","0","0"
"2019-2012","0","50","0.92","0","65","0.38","0","0"
