"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Jira","Jira","Jira","Jira","Jira","Jira","Jira","Jira"
"Region","Naeder-Adet","Naeder-Adet","Naeder-Adet","Naeder-Adet","Naeder-Adet","Naeder-Adet","Naeder-Adet","Naeder-Adet"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","43","0.46","0","75","1","0","0"
"1984-1977","98","5","0.03","0","75","1","98.39","0"
"1985-1978","1","29","0.22","0","75","1","0.95","0"
"1986-1979","0","50","0.62","0","75","1","0","0"
"1987-1980","0","69","0.86","0","75","1","0","0"
"1988-1981","0","61","0.81","0","75","1","0","0"
"1989-1982","0","71","0.89","0","75","1","0","0"
"1990-1983","17","25","0.14","51","62","0.03","68.27","0"
"1991-1984","0","52","0.65","0","75","1","0","1"
"1992-1985","0","30","0.27","0","75","1","0","0"
"1993-1986","0","73","0.92","0","75","1","0","0"
"1994-1987","0","50","0.59","0","75","1","0","0"
"1995-1988","0","48","0.49","0","75","1","0","1"
"1996-1989","0","75","1","0","75","1","0","0"
"1997-1990","0","75","1","0","75","1","0","1"
"1998-1991","0","64","0.84","0","75","1","0","0"
"1999-1992","0","43","0.43","0","75","1","0","0"
"2000-1993","0","29","0.24","0","75","1","0","0"
"2001-1994","0","41","0.38","0","75","1","0","1"
"2002-1995","56","16","0.05","16","71","0.11","72.16","0"
"2003-1996","0","50","0.59","0","75","1","0","0"
"2004-1997","20","24","0.11","39","65","0.05","58.6","1"
"2005-1998","0","50","0.59","0","75","1","0","0"
"2006-1999","0","55","0.73","0","75","1","0","0"
"2007-2000","46","18","0.08","0","75","1","45.75","0"
"2008-2001","0","43","0.41","0","75","1","0","0"
"2009-2002","0","56","0.76","0","75","1","0","0"
"2010-2003","0","61","0.78","0","75","1","0","0"
"2011-2004","0","50","0.59","0","75","1","0","0"
"2012-2005","0","32","0.3","0","75","1","0","0"
"2013-2006","11","26","0.19","0","75","1","10.74","0"
"2014-2007","0","38","0.35","0","75","1","0","0"
"2015-2008","17","25","0.16","31","67","0.08","47.41","0"
"2016-2009","0","54","0.68","0","75","1","0","0"
"2017-2010","0","34","0.32","0","75","1","0","0"
"2018-2011","0","54","0.7","0","75","1","0","0"
"2019-2012","0","73","0.95","0","75","1","0","0"
