"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Ebo","Ebo","Ebo","Ebo","Ebo","Ebo","Ebo","Ebo"
"Region","RayaAzebo","RayaAzebo","RayaAzebo","RayaAzebo","RayaAzebo","RayaAzebo","RayaAzebo","RayaAzebo"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","100","5","0.7","0","36","0.43","100","0"
"1984-1977","100","0","0.54","100","0","0.03","200","0"
"1985-1978","100","0","0.51","0","41","0.59","100","0"
"1986-1979","0","25","0.97","3","25","0.24","3.01","0"
"1987-1980","100","2","0.59","92","7","0.11","192.39","0"
"1988-1981","100","0","0.51","0","53","0.86","100","0"
"1989-1982","100","1","0.57","0","31","0.32","100","0"
"1990-1983","100","0","0.51","0","43","0.65","100","0"
"1991-1984","0","12","0.89","0","50","0.84","0","0"
"1992-1985","100","0","0.51","5","25","0.22","104.76","0"
"1993-1986","0","11","0.86","0","43","0.68","0","0"
"1994-1987","100","0","0.51","0","31","0.35","100","0"
"1995-1988","100","3","0.65","0","30","0.3","100","0"
"1996-1989","0","38","1","0","34","0.41","0","0"
"1997-1990","0","21","0.92","0","50","0.84","0","0"
"1998-1991","100","0","0.51","0","62","0.95","100","0"
"1999-1992","100","0","0.51","0","60","0.92","100","0"
"2000-1993","100","0","0.51","0","29","0.27","100","0"
"2001-1994","0","25","0.97","0","42","0.62","0","0"
"2002-1995","0","6","0.78","5","25","0.22","4.76","0"
"2003-1996","0","9","0.84","0","38","0.49","0","0"
"2004-1997","100","5","0.76","100","3","0.05","200","0"
"2005-1998","100","0","0.51","0","40","0.57","100","0"
"2006-1999","100","3","0.62","0","50","0.84","100","0"
"2007-2000","100","5","0.73","0","75","1","100","0"
"2008-2001","100","0","0.51","0","39","0.54","100","0"
"2009-2002","100","0","0.51","0","37","0.46","100","1"
"2010-2003","100","0","0.51","0","49","0.76","100","0"
"2011-2004","100","0","0.51","0","47","0.73","100","1"
"2012-2005","100","0","0.51","0","45","0.7","100","0"
"2013-2006","100","0","0.51","0","54","0.89","100","1"
"2014-2007","100","0","0.51","5","25","0.22","104.76","1"
"2015-2008","100","0","0.51","92","7","0.08","192.47","1"
"2016-2009","100","0","0.51","0","62","0.97","100","0"
"2017-2010","100","0","0.51","0","39","0.51","100","0"
"2018-2011","0","6","0.81","18","22","0.14","17.67","0"
"2019-2012","100","4","0.68","0","33","0.38","100","0"
