"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Misema","Misema","Misema","Misema","Misema","Misema","Misema","Misema"
"Region","Werieleke","Werieleke","Werieleke","Werieleke","Werieleke","Werieleke","Werieleke","Werieleke"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","68","0.43","0","75","1","0","0"
"1984-1977","72","25","0.05","0","75","1","72.5","0"
"1985-1978","0","67","0.41","0","75","1","0","0"
"1986-1979","0","69","0.49","0","75","1","0","0"
"1987-1980","0","75","1","0","75","1","0","0"
"1988-1981","0","75","1","0","75","1","0","0"
"1989-1982","0","75","1","0","75","1","0","0"
"1990-1983","10","50","0.24","0","75","1","9.52","0"
"1991-1984","90","18","0.03","0","75","1","89.89","1"
"1992-1985","0","75","1","0","75","1","0","0"
"1993-1986","0","75","1","0","75","1","0","0"
"1994-1987","10","50","0.22","0","75","1","10","1"
"1995-1988","0","75","1","0","75","1","0","0"
"1996-1989","0","71","0.57","0","75","1","0","1"
"1997-1990","0","75","1","0","75","1","0","0"
"1998-1991","0","65","0.35","0","75","1","0","0"
"1999-1992","0","64","0.32","0","75","1","0","0"
"2000-1993","0","64","0.3","0","75","1","0","0"
"2001-1994","10","50","0.22","64","55","0.03","73.58","1"
"2002-1995","38","39","0.14","0","75","1","37.6","0"
"2003-1996","0","73","0.62","56","58","0.05","56.11","0"
"2004-1997","63","29","0.08","0","75","1","63.28","0"
"2005-1998","0","70","0.54","0","75","1","0","0"
"2006-1999","0","66","0.38","0","75","1","0","0"
"2007-2000","0","69","0.51","0","75","1","0","0"
"2008-2001","0","68","0.46","0","75","1","0","0"
"2009-2002","0","75","1","0","75","1","0","0"
"2010-2003","0","72","0.59","0","75","1","0","0"
"2011-2004","0","75","0.65","53","58","0.08","53.31","0"
"2012-2005","0","75","1","0","75","1","0","0"
"2013-2006","54","32","0.11","11","72","0.11","65.4","0"
"2014-2007","28","43","0.16","0","75","1","27.69","1"
"2015-2008","0","75","1","0","75","1","0","0"
"2016-2009","0","75","1","0","75","1","0","0"
"2017-2010","0","63","0.27","0","75","1","0","0"
"2018-2011","0","75","1","0","75","1","0","0"
"2019-2012","0","75","1","0","75","1","0","0"
