"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","MaekelSegli","MaekelSegli","MaekelSegli","MaekelSegli","MaekelSegli","MaekelSegli","MaekelSegli","MaekelSegli"
"Region","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe","WiereLahe"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","30","0.51","0","75","0.32","0","0"
"1984-1977","82","7","0.08","50","54","0.05","131.52","0"
"1985-1978","13","16","0.22","0","75","1","12.78","0"
"1986-1979","0","30","0.46","0","75","1","0","0"
"1987-1980","0","54","0.86","0","75","1","0","0"
"1988-1981","0","21","0.3","0","75","1","0","0"
"1989-1982","0","58","0.92","0","75","1","0","0"
"1990-1983","1","18","0.24","48","54","0.08","49","0"
"1991-1984","0","41","0.68","0","75","1","0","0"
"1992-1985","100","0","0.03","46","55","0.11","146","0"
"1993-1986","0","35","0.62","0","75","1","0","0"
"1994-1987","0","50","0.84","0","75","1","0","0"
"1995-1988","23","15","0.19","0","75","1","22.53","0"
"1996-1989","0","70","0.97","0","75","1","0","0"
"1997-1990","0","59","0.95","0","75","1","0","0"
"1998-1991","0","50","0.84","0","75","1","0","0"
"1999-1992","0","29","0.43","0","75","1","0","0"
"2000-1993","0","29","0.41","0","75","1","0","0"
"2001-1994","81","7","0.11","22","62","0.16","102.9","0"
"2002-1995","100","1","0.05","16","64","0.19","116.08","0"
"2003-1996","63","10","0.16","0","75","1","63.07","0"
"2004-1997","0","25","0.35","25","61","0.14","24.76","0"
"2005-1998","0","31","0.54","0","75","1","0","0"
"2006-1999","0","30","0.49","68","48","0.03","67.92","0"
"2007-2000","0","34","0.57","0","75","1","0","0"
"2008-2001","0","35","0.59","0","75","1","0","0"
"2009-2002","0","48","0.73","0","74","0.3","0","1"
"2010-2003","0","42","0.7","10","66","0.22","10.36","0"
"2011-2004","0","50","0.84","0","75","1","0","1"
"2012-2005","0","28","0.38","0","75","1","0","0"
"2013-2006","0","19","0.27","0","70","0.27","0","0"
"2014-2007","0","25","0.35","0","75","1","0","0"
"2015-2008","69","9","0.14","0","75","1","69.23","1"
"2016-2009","0","48","0.76","0","75","1","0","1"
"2017-2010","0","38","0.65","1","69","0.24","1.2","0"
"2018-2011","0","54","0.89","0","75","1","0","0"
"2019-2012","0","75","1","0","75","1","0","0"
