Time,precipitation
1-10 Jan 1981,2.924211
11-20 Jan 1981,3.452408
21-31 Jan 1981,3.763896
1-10 Feb 1981,5.169369
11-20 Feb 1981,4.253431
21-28 Feb 1981,3.524873
1-10 Mar 1981,13.40601
11-20 Mar 1981,23.48716
21-31 Mar 1981,39.96982
1-10 Apr 1981,12.57872
11-20 Apr 1981,19.00446
21-30 Apr 1981,43.96486
1-10 May 1981,5.220459
11-20 May 1981,6.893014
21-31 May 1981,5.682707
1-10 Jun 1981,4.681835
11-20 Jun 1981,6.963606
21-30 Jun 1981,26.72685
1-10 Jul 1981,82.08694
11-20 Jul 1981,103.9862
21-31 Jul 1981,126.504
1-10 Aug 1981,107.0683
11-20 Aug 1981,104.1734
21-31 Aug 1981,96.55916
1-10 Sep 1981,17.32071
11-20 Sep 1981,23.99511
21-30 Sep 1981,18.06285
1-10 Oct 1981,11.72132
11-20 Oct 1981,2.669068
21-31 Oct 1981,3.759624
1-10 Nov 1981,3.915454
11-20 Nov 1981,3.448126
21-30 Nov 1981,7.66065
1-10 Dec 1981,2.785951
11-20 Dec 1981,3.488096
21-31 Dec 1981,4.149096
1-10 Jan 1982,10.25746
11-20 Jan 1982,5.988833
21-31 Jan 1982,4.257017
1-10 Feb 1982,8.595261
11-20 Feb 1982,9.347039
21-28 Feb 1982,3.910644
1-10 Mar 1982,20.55493
11-20 Mar 1982,9.616091
21-31 Mar 1982,5.096674
1-10 Apr 1982,16.54366
11-20 Apr 1982,23.06583
21-30 Apr 1982,30.06059
1-10 May 1982,23.35931
11-20 May 1982,8.615009
21-31 May 1982,6.308194
1-10 Jun 1982,13.63077
11-20 Jun 1982,17.03398
21-30 Jun 1982,16.71389
1-10 Jul 1982,47.9542
11-20 Jul 1982,40.53957
1-10 Aug 1982,63.41927
11-20 Aug 1982,76.48817
21-31 Aug 1982,77.90689
1-10 Sep 1982,26.36572
11-20 Sep 1982,9.036468
21-30 Sep 1982,9.806044
1-10 Oct 1982,6.763613
11-20 Oct 1982,17.49968
21-31 Oct 1982,4.969341
1-10 Nov 1982,19.84647
11-20 Nov 1982,3.654484
21-30 Nov 1982,10.65524
1-10 Dec 1982,3.032278
11-20 Dec 1982,2.806577
21-31 Dec 1982,3.832294
1-10 Jan 1983,3.16088
11-20 Jan 1983,3.430157
21-31 Jan 1983,4.361573
1-10 Feb 1983,5.222474
11-20 Feb 1983,5.638103
21-28 Feb 1983,3.910644
1-10 Mar 1983,8.026875
11-20 Mar 1983,7.694757
21-31 Mar 1983,10.43417
1-10 Apr 1983,21.63057
11-20 Apr 1983,18.0031
21-30 Apr 1983,30.46109
1-10 May 1983,9.639364
11-20 May 1983,13.01953
21-31 May 1983,35.75148
1-10 Jun 1983,34.67249
11-20 Jun 1983,13.60323
21-30 Jun 1983,16.71389
1-10 Jul 1983,47.9542
11-20 Jul 1983,63.69058
21-31 Jul 1983,83.85255
1-10 Aug 1983,78.66911
11-20 Aug 1983,64.26517
21-31 Aug 1983,94.19986
1-10 Sep 1983,8.070081
11-20 Sep 1983,7.556798
21-30 Sep 1983,9.806044
1-10 Oct 1983,6.763613
11-20 Oct 1983,5.617102
21-31 Oct 1983,4.969341
1-10 Nov 1983,3.198254
11-20 Nov 1983,4.357451
21-30 Nov 1983,3.977666
1-10 Dec 1983,3.044401
11-20 Dec 1983,3.002236
21-31 Dec 1983,3.832294
1-10 Jan 1984,3.444452
11-20 Jan 1984,3.430635
21-31 Jan 1984,4.360769
1-10 Feb 1984,4.59643
11-20 Feb 1984,4.752502
21-29 Feb 1984,3.21525
1-10 Mar 1984,20.55493
11-20 Mar 1984,7.694757
21-31 Mar 1984,10.43417
1-10 Apr 1984,16.49079
11-20 Apr 1984,11.97994
21-30 Apr 1984,11.06425
1-10 May 1984,9.558783
11-20 May 1984,32.50158
21-31 May 1984,55.37656
1-10 Jun 1984,22.37333
11-20 Jun 1984,12.08858
21-30 Jun 1984,28.30878
1-10 Jul 1984,63.77757
11-20 Jul 1984,64.87781
21-31 Jul 1984,73.94691
1-10 Aug 1984,65.91208
11-20 Aug 1984,79.63313
21-31 Aug 1984,56.59304
1-10 Sep 1984,26.63092
11-20 Sep 1984,25.66331
21-30 Sep 1984,19.64036
1-10 Oct 1984,5.053627
11-20 Oct 1984,5.60445
21-31 Oct 1984,4.969341
1-10 Nov 1984,3.152524
11-20 Nov 1984,3.654484
21-30 Nov 1984,4.347847
1-10 Dec 1984,3.04527
11-20 Dec 1984,2.990124
21-31 Dec 1984,3.832294
1-10 Jan 1985,3.44397
11-20 Jan 1985,3.429675
21-31 Jan 1985,4.360769
1-10 Feb 1985,5.222474
11-20 Feb 1985,5.633687
21-28 Feb 1985,3.710018
1-10 Mar 1985,17.59602
11-20 Mar 1985,7.694757
21-31 Mar 1985,10.37232
1-10 Apr 1985,31.61263
11-20 Apr 1985,47.35654
21-30 Apr 1985,30.17227
1-10 May 1985,29.58085
11-20 May 1985,15.38812
21-31 May 1985,19.32181
1-10 Jun 1985,13.63077
11-20 Jun 1985,13.60323
21-30 Jun 1985,16.71389
1-10 Jul 1985,73.60214
11-20 Jul 1985,68.83618
21-31 Jul 1985,109.4519
1-10 Aug 1985,61.85555
11-20 Aug 1985,72.02795
21-31 Aug 1985,99.099
1-10 Sep 1985,39.48962
11-20 Sep 1985,7.698342
21-30 Sep 1985,6.302538
1-10 Oct 1985,13.60158
11-20 Oct 1985,5.617102
21-31 Oct 1985,4.969341
1-10 Nov 1985,3.198254
11-20 Nov 1985,3.602231
21-30 Nov 1985,3.745504
1-10 Dec 1985,3.032278
11-20 Dec 1985,2.990124
21-31 Dec 1985,3.832294
1-10 Jan 1986,3.44397
11-20 Jan 1986,3.430157
21-31 Jan 1986,4.361573
1-10 Feb 1986,5.222474
11-20 Feb 1986,5.638103
21-28 Feb 1986,4.130324
1-10 Mar 1986,8.026875
11-20 Mar 1986,5.203484
21-31 Mar 1986,10.43417
1-10 Apr 1986,11.69113
11-20 Apr 1986,25.78933
21-30 Apr 1986,15.70244
1-10 May 1986,9.639364
11-20 May 1986,8.615009
21-31 May 1986,9.900475
1-10 Jun 1986,13.63077
11-20 Jun 1986,57.85595
21-30 Jun 1986,69.71724
1-10 Jul 1986,73.83009
11-20 Jul 1986,48.31613
21-31 Jul 1986,108.5515
1-10 Aug 1986,88.13199
11-20 Aug 1986,55.30742
21-31 Aug 1986,91.75624
1-10 Sep 1986,20.89531
11-20 Sep 1986,19.23795
21-30 Sep 1986,9.806044
1-10 Oct 1986,13.25968
11-20 Oct 1986,4.704425
21-31 Oct 1986,4.969341
1-10 Nov 1986,4.052876
11-20 Nov 1986,3.652377
21-30 Nov 1986,3.977666
1-10 Dec 1986,3.032278
11-20 Dec 1986,2.729707
21-31 Dec 1986,3.832294
1-10 Jan 1987,3.444453
11-20 Jan 1987,3.429675
21-31 Jan 1987,4.362068
1-10 Feb 1987,5.222474
11-20 Feb 1987,5.269643
21-28 Feb 1987,3.906595
1-10 Mar 1987,20.55493
11-20 Mar 1987,7.65977
21-31 Mar 1987,10.43417
1-10 Apr 1987,16.54366
11-20 Apr 1987,26.56001
21-30 Apr 1987,10.34778
1-10 May 1987,9.622222
11-20 May 1987,43.95028
21-31 May 1987,51.27541
1-10 Jun 1987,29.28503
11-20 Jun 1987,24.27259
21-30 Jun 1987,11.55081
1-10 Jul 1987,48.3744
11-20 Jul 1987,55.70386
21-31 Jul 1987,51.02835
1-10 Aug 1987,73.59525
11-20 Aug 1987,75.98552
21-31 Aug 1987,77.05074
1-10 Sep 1987,11.61134
11-20 Sep 1987,5.53297
21-30 Sep 1987,20.53247
1-10 Oct 1987,13.60158
11-20 Oct 1987,5.60445
21-31 Oct 1987,14.02293
1-10 Nov 1987,3.397606
11-20 Nov 1987,3.654484
21-30 Nov 1987,3.977666
1-10 Dec 1987,3.032278
11-20 Dec 1987,2.990124
21-31 Dec 1987,3.852615
1-10 Jan 1988,3.254634
11-20 Jan 1988,3.288823
21-31 Jan 1988,4.360769
1-10 Feb 1988,5.222474
11-20 Feb 1988,8.560858
21-29 Feb 1988,4.060364
1-10 Mar 1988,8.026875
11-20 Mar 1988,7.659185
21-31 Mar 1988,10.43417
1-10 Apr 1988,16.54366
11-20 Apr 1988,26.34124
21-30 Apr 1988,15.70244
1-10 May 1988,9.639364
11-20 May 1988,8.615009
21-31 May 1988,9.900475
1-10 Jun 1988,21.67733
11-20 Jun 1988,13.60323
21-30 Jun 1988,16.71389
1-10 Jul 1988,100.0275
11-20 Jul 1988,172.57
21-31 Jul 1988,215.2146
1-10 Aug 1988,88.11261
11-20 Aug 1988,84.62653
21-31 Aug 1988,114.9336
1-10 Sep 1988,40.3098
11-20 Sep 1988,43.61826
21-30 Sep 1988,9.806044
1-10 Oct 1988,6.780394
11-20 Oct 1988,22.55647
21-31 Oct 1988,4.969341
1-10 Nov 1988,3.363757
