"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0.7194074,2.174201,0.7015516,0.8025274,1.264925,0.8825647,0.8890924,0.744433,0.8443503,1.026858,1.926004,1.137343,1.391107,0.817068,0.7855402,0.9478924,0.9387722,1.076558,1.868361,0.8240374,0.8957257,1.014805,0.9171649,1.353034,0.797423,0.8492751,0.9182076,0.7675862,0.8070045,1.490131,1.471153,0.8272644,0.8468495,0.8394895,0.8196366,0.8942078,0.6350107,0.6224293,0.7972543,1.391193
"2",0.5600711,2.416052,0.7431637,0.6921984,1.140762,0.7254229,0.7364358,0.5790246,1.182827,0.8190095,0.8518559,1.093983,2.615333,0.7032368,0.6349871,0.8056974,0.8282759,0.9796444,1.578562,0.7370676,0.8012288,0.8224138,0.823456,1.214855,0.7159563,0.7255114,0.9459255,0.8865832,0.6981001,0.9573873,1.393664,0.739321,0.786815,0.7308075,0.7553731,0.6920812,0.545606,0.5530407,0.6084825,0.8807621
"3",0.7213432,0.8162953,1.237744,1.160816,2.182649,1.266591,1.24631,1.177473,1.299963,1.566449,1.52404,2.336368,2.15552,1.182317,1.277329,1.488166,2.351657,1.69782,2.554863,1.29738,1.410248,1.615075,1.750803,2.131832,1.256429,1.171462,1.542783,1.095938,1.190452,1.786181,2.288502,1.191402,1.867503,1.241498,1.236862,1.225582,0.9616921,1.030584,1.237419,1.812035
"4",0.7392631,7.166592,2.040293,0.7441765,2.791101,1.966862,1.075871,2.876806,1.86724,4.078827,1.340396,1.420609,1.828787,1.46215,1.432334,1.272014,0.8405564,0.8833678,0.9805952,1.024146,0.7042711,0.7234089,1.768992,0.8931227,0.9202811,0.6381217,1.111416,0.6133028,1.323123,1.460364,0.7893564,0.6851993,1.004685,1.223005,1.242685,0.7997923,1.236673,0.8465301,1.017632,0.8859382
"5",1.205569,2.64053,2.57953,1.113645,4.069221,2.920822,1.476559,3.32933,1.030462,4.661864,2.107109,1.822974,2.738675,2.140515,5.781679,2.074457,1.553468,1.393655,1.402282,1.034695,1.051403,1.102784,2.645483,1.33503,3.996274,1.070529,4.237121,1.119283,1.945043,1.29502,1.106564,1.000645,1.304144,2.083949,1.591934,1.205811,19.52105,1.476214,6.091059,1.578713
"6",1.475978,4.521277,2.790019,2.63838236666667,4.3316,2.484829,2.171091,2.63838236666667,1.68864,1.700342,2.119477,2.63838236666667,2.879075,4.042066,2.229446,2.63838236666667,1.525808,1.546957,1.766571,2.63838236666667,1.233674,1.224673,13.44118,2.63838236666667,2.453249,1.221236,1.898216,2.63838236666667,6.265616,1.199659,1.38885,2.63838236666667,1.446103,2.013571,1.74614,2.63838236666667,2.409567,1.877674,2.058887,2.63838236666667
"7",8.234257,31.57755,7.378147,6.32309,16.71191,3.998899,37.04074,3.062561,6.089019,8.651809,4.98011,6.809246,10.48293,3.5113,8.556443,33.33244,20.24395,6.973382,5.744516,3.298896,8.26339,13.21417,8.173257,6.334719,7.075015,12.56303,8.101994,3.881126,8.343411,4.723387,3.187995,3.231683,4.265894,12.93786,5.349425,3.248932,7.491976,4.200438,5.765543,9.31678051282051
"8",14.69735,12.95347,14.19579,8.211716,6.636537,2.934322,13.33625,2.921202,17.09917,7.78227,18.60038,33.56353,24.94915,3.597689,18.34765,8.599843,22.88688,5.987898,4.299553,3.151212,16.28594,4.147088,7.763475,6.038458,26.37159,26.46943,4.900273,3.312839,3.53361,9.878632,25.23783,3.633492,6.036306,25.05091,13.97146,28.88892,4.667006,7.465247,18.12188,12.475032
"9",22.96505,8.276134,3.357028,6.151985,32.12236,3.473146,6.569306,3.076531,18.22595,21.21065,5.856122,9.760738,27.42345,4.208192,11.56446,37.97365,7.000073,16.52211,5.08462,5.743629,20.19107,41.4314,8.449982,6.546451,10.61366,9.588326,14.96766,2.829877,20.69287,10.19339,3.03926,9.522575,6.148374,2.779621,21.23553,5.004413,3.539062,4.523052,17.84529,12.1976165897436
"10",5.508944,8.437355,4.683947,4.782538,38.62059,10.73431,19.38379,5.275324,5.607684,5.929988,20.73465,3.926607,53.33893,5.238449,25.35307,14.70597,38.31426,6.12957,5.408068,22.63176,5.813255,7.891128,5.884355,11.49815,8.057703,17.71465,9.225035,14.35819,6.308146,13.74819,8.560198,6.527853,8.00074,22.59192,5.071045,20.40792,4.145577,22.67255,8.857768,13.1302609487179
"11",9.571861,15.817,7.264902,5.161952,16.97133,13.18675,4.163603,4.925062,13.858,4.622178,7.210989,3.981106,32.30966,11.44186,40.88881,21.1838,6.269942,7.141684,4.208644,17.67525,5.875518,5.978205,15.41419,11.79271,28.50735,40.51323,11.12509,8.238113,8.266612,26.48167,3.390912,17.80513,32.42807,4.614729,9.549961,17.31955,2.979353,8.759892,26.93912,13.6880458461538
"12",9.599276,36.82053,21.73112,3.823442,32.80956,4.794217,3.140116,7.48408,18.00638,22.0968,5.75075,8.677201,80.8161,30.35687,7.998024,7.696416,18.71744,14.65331,2.941538,7.842559,8.274084,2.796671,8.134287,8.624947,21.70855,8.666952,12.37758,11.78704,6.49487,21.40555,14.74599,18.23701,7.529776,21.12093,9.636703,18.25634,24.24552,18.66173,8.060194,15.2953962307692
"13",3.214954,12.05711,28.37446,6.818528,12.52952,10.2074,13.11925,7.698449,7.472128,6.17547,23.50471,34.93977,15.66624,11.77501,17.22361,14.40951,9.972258,26.26379,4.747054,17.31602,10.32848,8.518852,7.313723,4.704268,17.26152,21.91786,5.525001,31.82056,3.494254,27.05386,7.353508,21.37934,6.566445,21.69109,22.96604,30.94482,25.46999,3.078106,15.64369,14.7824781538462
"14",24.69693,27.49918,26.96021,15.82418,10.16719,14.68636,26.05144,12.78992,8.043901,5.060967,7.290415,17.08912,30.44879,18.91336,34.09264,31.02136,18.81236,14.41248,3.719342,10.98381,7.414306,11.18934,7.683428,4.981277,15.44355,18.75332,23.34283,9.809471,5.425348,7.351547,36.13962,6.221907,12.91833,32.80473,7.578583,9.425591,38.82458,5.891199,29.1842,16.6396695384615
