"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"2-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"3-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"4-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"5-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"6-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"7-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"8-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"9-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
"10-Jan",0.07194074,0.2174201,0.07015516,0.08025274,0.1264925,0.08825647,0.08890924,0.0744433,0.08443503,0.1026858,0.1926004,0.1137343,0.1391107,0.0817068,0.07855402,0.09478924,0.09387722,0.1076558,0.1868361,0.08240374,0.08957257,0.1014805,0.09171649,0.1353034,0.0797423,0.08492751,0.09182076,0.07675862,0.08070045,0.1490131,0.1471153,0.08272644,0.08468495,0.08394895,0.08196366,0.08942078,0.06350107,0.06224293,0.07972543,0.1391193
