Time,precipitation
1-10 Jan 1981,1.091061
11-20 Jan 1981,1.063651
21-31 Jan 1981,1.13352
1-10 Feb 1981,0.8422509
11-20 Feb 1981,1.298765
21-28 Feb 1981,2.068402
1-10 Mar 1981,11.40689
11-20 Mar 1981,44.69979
21-31 Mar 1981,59.96077
1-10 Apr 1981,20.07961
11-20 Apr 1981,26.81968
21-30 Apr 1981,17.58196
1-10 May 1981,5.003701
11-20 May 1981,20.84649
21-31 May 1981,7.389581
1-10 Jun 1981,2.482917
11-20 Jun 1981,3.980605
21-30 Jun 1981,12.19964
1-10 Jul 1981,77.63441
11-20 Jul 1981,70.4236
21-31 Jul 1981,42.70347
1-10 Aug 1981,35.03337
11-20 Aug 1981,49.48776
21-31 Aug 1981,46.31937
1-10 Sep 1981,3.64817
11-20 Sep 1981,1.523536
21-30 Sep 1981,0.7696157
1-10 Oct 1981,4.661524
11-20 Oct 1981,1.295114
21-31 Oct 1981,1.902848
1-10 Nov 1981,3.698689
11-20 Nov 1981,3.908776
21-30 Nov 1981,7.136599
1-10 Dec 1981,1.891937
11-20 Dec 1981,2.188088
21-31 Dec 1981,2.709238
1-10 Jan 1982,2.842634
11-20 Jan 1982,4.060585
21-31 Jan 1982,1.033553
1-10 Feb 1982,3.633166
11-20 Feb 1982,4.03011
21-28 Feb 1982,2.597559
1-10 Mar 1982,35.40693
11-20 Mar 1982,8.06662
21-31 Mar 1982,8.462922
1-10 Apr 1982,44.57416
11-20 Apr 1982,17.62051
21-30 Apr 1982,13.01668
1-10 May 1982,23.52592
11-20 May 1982,8.034449
21-31 May 1982,6.242737
1-10 Jun 1982,8.108753
11-20 Jun 1982,8.451043
21-30 Jun 1982,10.94723
1-10 Jul 1982,28.25748
11-20 Jul 1982,32.74525
1-10 Aug 1982,20.37463
11-20 Aug 1982,34.7534
21-31 Aug 1982,24.63693
1-10 Sep 1982,7.278949
11-20 Sep 1982,0.7161189
21-30 Sep 1982,1.236765
1-10 Oct 1982,13.25033
11-20 Oct 1982,6.318762
21-31 Oct 1982,3.02884
1-10 Nov 1982,13.1885
11-20 Nov 1982,16.92235
21-30 Nov 1982,14.10019
1-10 Dec 1982,3.026689
11-20 Dec 1982,1.958335
21-31 Dec 1982,2.519588
1-10 Jan 1983,1.443782
11-20 Jan 1983,1.857545
21-31 Jan 1983,2.41577
1-10 Feb 1983,1.271056
11-20 Feb 1983,1.740187
21-28 Feb 1983,2.597559
1-10 Mar 1983,8.492252
11-20 Mar 1983,19.60863
21-31 Mar 1983,9.477829
1-10 Apr 1983,21.63997
11-20 Apr 1983,23.23282
21-30 Apr 1983,21.22948
1-10 May 1983,28.09198
11-20 May 1983,11.75346
21-31 May 1983,16.71547
1-10 Jun 1983,15.87047
11-20 Jun 1983,7.663965
21-30 Jun 1983,10.94723
1-10 Jul 1983,28.25748
11-20 Jul 1983,33.21772
21-31 Jul 1983,37.90178
1-10 Aug 1983,24.66749
11-20 Aug 1983,28.63667
21-31 Aug 1983,40.2283
1-10 Sep 1983,3.807193
11-20 Sep 1983,1.37865
21-30 Sep 1983,0.8664802
1-10 Oct 1983,2.114476
11-20 Oct 1983,6.113818
21-31 Oct 1983,3.02884
