"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",0,7,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"2",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,5,13,2,2,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,12,1,2,3,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,8,0,1.26666666666667,0,7,0,1.26666666666667,0,9,0,1.26666666666667,0,0,13,1.26666666666667,0,0,0,1.26666666666667,0,0,0,1.26666666666667,0,0,0,1.26666666666667,0,0,0,1.26666666666667,0,0,0,1.26666666666667,0,0,0,1.26666666666667
"7",6,10,0,7,2,13,13,0,0,12,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,24,0,0,0,0,2,0
"8",33,5,5,0,2,8,0,0,18,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,57,0,12,25,0,0,0,0,8,0
"9",30,2,0,0,21,0,0,0,12,20,29,0,0,0,0,49,0,18,0,0,0,24,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,6,2
"10",7,17,8,0,25,22,13,15,0,0,17,6,45,7,7,7,31,0,0,16,5,36,6,30,0,3,18,47,10,18,14,4,2,6,0,14,0,0,13,12.025641025641
"11",16,10,18,8,8,18,14,15,23,0,10,18,43,9,21,16,14,3,0,31,0,0,11,0,10,24,9,13,1,23,0,0,21,1,0,7,11,0,25,11.5641025641026
"12",29,11,4,0,31,0,2,0,11,30,0,32,18,0,8,39,4,0,11,16,9,0,14,11,0,7,7,0,0,2,23,0,10,6,0,20,38,10,13,10.6666666666667
"13",8,62,29,18,53,0,27,0,0,10,56,45,13,31,39,40,31,45,10,15,16,0,0,0,27,34,14,91,0,94,18,34,12,102,85,111,41,16,11,31.7435897435897
"14",27,23,57,54,40,24,80,15,23,0,10,21,64,30,19,79,46,40,7,0,9,10,0,0,18,22,14,36,7,10,61,0,44,74,4,36,69,0,12,27.8205128205128
"15",7,13,31,37,31,16,112,5,9,0,13,0,22,0,35,48,52,26,18,12,18,8,11,0,6,45,27,28,0,27,46,17,10,113,51,22,33,28,43,26.1538461538462
"16",7,14,34,18,0,43,24,57,43,0,11,0,17,37,14,142,58,11,0,76,41,12,14,0,17,2,34,52,30,6,0,1,10,14,7,0,0,48,44,24.0512820512821
"17",15,36,9,65,57,69,44,11,42,17,57,0,4,57,12,82,29,0,14,0,66,40,5,42,22,10,68,89,17,9,50,26,65,14,44,26,18,55,64,34.6153846153846
"18",36,29,19,99,39,138,32,6,22,29,104,37,17,51,30,15,67,126,48,51,85,97,78,63,57,46,148,34,7,14,58,95,63,35,47,47,37,55,58,54.3333333333333
"19",85,40,25,55,59,76,27,67,72,36,94,14,35,77,50,70,71,151,129,68,90,38,101,30,101,96,127,52,52,32,72,75,97,32,35,98,65,68,66,67.3846153846154
"20",111,51,51,85,112,51,31,154,118,111,103,89,106,118,127,97,105,140,172,87,177,127,93,147,90,87,89,79,149,130,120,105,139,58,58,124,107,96,79,104.435897435897
"21",126,88,114,86,62,155,46,232,97,137,98,156,114,137,140,99,56,173,108,85,238,105,118,86,147,103,116,118,113,122,96,94,132,109,58,136,103,121,82,115.538461538462
