"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.126347,2.764402,1.042829,1.223933,1.809154,1.323096,1.311575,1.055133,1.266204,1.466205,1.354969,1.816015,2.077063,1.263934,1.226993,1.452828,1.444233,1.773753,2.788959,1.263349,0.922683,1.081434,1.002319,1.430719,0.8875661,0.9119785,1.108145,0.8826334,0.8411168,2.908555,1.381109,0.8964852,1.077438,1.003831,0.974139,1.077771,0.7510381,0.7867036,1.825338,2.600355
"2",1.033736,2.883027,1.262223,1.211649,1.876378,1.283715,1.296092,1.067706,1.821819,1.313536,1.354736,1.896309,3.391621,1.260518,1.198921,1.373266,1.47037,1.80566,2.709961,1.286138,0.9393268,2.915287,1.02045,2.815768,0.903621,0.9070373,1.206733,2.50399,0.8488703,1.180744,1.303357,0.9090257,1.093231,0.9761532,1.043097,0.9439827,0.7375947,0.7841605,0.8630739,1.184076
"3",1.090712,1.162848,1.471856,1.440759,2.564504,1.527336,1.515181,1.484859,1.574106,1.771251,1.705253,3.063272,2.510511,1.488916,1.617322,1.821723,1.810835,2.223938,3.103287,1.584666,1.119319,1.365566,1.215775,1.735409,1.076585,0.991955,1.458311,0.9984978,0.9989228,1.480507,1.451159,1.014069,3.381347,1.163657,1.163014,1.158499,0.9004083,1.006558,1.157148,1.606475
"4",0.6098084,1.864663,1.667238,0.7119826,2.154687,1.676231,0.9407177,2.296883,1.186814,2.302629,1.195361,1.26235,1.510064,1.306627,1.265292,2.034984,0.8407738,1.560649,0.8746196,0.9087042,0.6820208,0.7483779,1.579359,0.8933833,0.8763826,0.6483192,0.9579273,0.61256,1.176392,0.777603,0.7607533,0.6712531,1.006482,1.224054,1.308283,0.8086102,1.662739,0.946476,1.057434,0.935704
"5",0.8751806,1.81496,1.750596,0.8342209,2.519557,1.940712,1.066957,2.295847,0.7743769,2.776167,1.435399,1.271164,1.841569,1.519856,1.521272,1.393369,1.105429,1.050066,1.012214,0.8227679,0.8312585,0.8729348,1.924992,1.088845,1.832129,0.8467638,1.329504,0.8832257,1.373262,1.018444,0.8645688,0.7959236,1.025759,1.56803,1.211295,0.9612827,5.682778,1.832284,1.929185,1.163196
"6",1.21361,3.582797,2.198296,1.92115186666667,2.883872,1.952674,1.73499,1.92115186666667,1.397632,1.448608,1.733384,1.92115186666667,2.259631,4.741942,1.883675,1.92115186666667,1.289867,1.350689,1.494468,1.92115186666667,1.118316,1.118152,2.586369,1.92115186666667,1.435909,1.106757,1.727499,1.92115186666667,3.934497,1.088278,1.242486,1.92115186666667,1.306535,1.789057,1.532245,1.92115186666667,2.875167,1.749061,1.858093,1.92115186666667
"7",6.877308,26.84498,3.158469,13.83047,5.904379,3.785767,13.85775,3.175334,6.101313,7.45681,5.407219,6.80983,22.75005,3.651683,7.279571,21.77824,5.7141,6.40988,5.932122,3.207782,7.340175,8.091663,7.072283,5.619988,7.269537,18.13339,5.833202,3.675519,6.287735,4.609297,3.10819,3.283434,4.188125,12.18057,5.378272,5.097223,6.246007,4.384634,5.558233,7.77668035897436
"8",11.5719,11.15185,5.083371,7.472466,5.842765,2.493241,6.611874,3.199989,6.654871,6.975932,16.04455,14.87847,10.42697,3.672882,17.96322,8.804029,18.04953,5.922297,4.451398,3.195625,7.312395,4.129641,6.99175,5.566444,21.86421,15.83871,3.570979,3.340009,7.884119,14.85619,16.74887,3.700608,6.076201,23.2872,6.78823,9.882294,4.891485,5.330591,15.66809,9.08192938461539
"9",18.16138,5.344717,3.139619,5.067986,9.448598,3.362875,6.416183,3.033844,10.81107,16.23402,5.50152,9.253286,10.32439,7.932988,9.836182,31.89272,5.93875,6.192713,4.345762,3.814636,8.749199,23.51215,13.73548,5.454395,9.464122,6.14547,16.547,2.549138,10.08988,6.111928,2.814377,4.070423,4.527016,2.98791,15.91418,10.80639,3.661334,4.468737,7.842506,8.60268907692308
"10",3.67157,23.65316,3.643159,3.393723,27.39271,5.829746,9.24621,4.233854,4.49372,4.860092,18.17353,2.866418,20.63063,3.849663,6.300141,6.454042,19.8301,4.303172,4.558959,16.30764,4.517804,6.616711,4.426857,7.86451,6.238466,11.03401,11.79911,13.53348,4.566255,6.523087,5.284533,4.702412,3.996399,11.45669,3.814525,9.341642,3.659585,10.43617,5.505669,8.43615779487179
