"","1","2","3"
"1983",47.6,47.6,75
"1984",16.6,34.8,75
"1985",50,50,75
"1986",66.4228571428571,50,75
"1987",72.2,50,75
"1988",69.8,44.8,75
"1989",61.7811904761905,50,75
"1990",33.9,47.2,75
"1991",56.7,46.1,75
"1992",35.9,50,75
"1993",61.8,46.7,75
"1994",55.5,50,75
"1995",47.6,50,75
"1996",75,50,71.6
"1997",75,50,75
"1998",51.3,32.5,75
"1999",39.3,50,75
"2000",36.3,50,75
"2001",44.9,48.7,75
"2002",49.2,37.1,75
"2003",51.1,50,75
"2004",35.6,50,75
"2005",70.6,50,75
"2006",45,50,75
"2007",70.7,50,75
"2008",70.9,50,75
"2009",68.6,50,75
"2010",75,50,75
"2011",57.8,50,75
"2012",54.2,50,75
"2013",38.4,50,75
"2014",44.4,50,75
"2015",27.1,34.6,75
"2016",64,50,75
"2017",57.1,50,75
"2018",67.9,50,75
"2019",75,50,75
