Time,NDVI
Oct 1981,0.3901129
Oct 1982,0.426742
Oct 1983,0.3608387
Oct 1984,0.2965807
Oct 1985,0.3495162
Oct 1986,0.4153548
Oct 1987,0.3704194
Oct 1988,0.4196774
Oct 1989,0.3373065
Oct 1990,0.3251936
Oct 1991,0.3494839
Oct 1992,0.3963871
Oct 1993,0.3580161
Oct 1994,0.4948065
Oct 1995,0.4190162
Oct 1996,0.3626775
Oct 1997,0.3759355
Oct 1998,0.4445968
Oct 1999,0.4374194
Oct 2000,0.4201936
Oct 2001,0.4098548
Oct 2002,0.4074839
Oct 2003,0.413871
Oct 2004,0.3397419
Oct 2005,0.4021936
Oct 2006,0.4028065
