Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.130655621621622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.834258,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0.0443024324324324,0,0,0,0,1.63919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.0333142702702703,0,0,0,0,0,0,0,1.232628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.77737944033614,10.4197232647059,6.95767613071896,4.75249602857143,0,28.498734,0,10.7538555424837,6.62354385294118,0,5.5621016024983,0,0,0,0,0,0,0,0,0,0,0,11.9674,0,30.015486,0,0,0,0,0,0,0,0,0,18.918672,0,339.1833
6,0.4363823,4.363823,2.29185952758473,0.4363823,0.724112577777778,10.35829,0.4363823,7.0294878984556,5.1674643,0,9.1633403,0.4363823,0.4363823,0,0.4363823,0.4363823,0.4363823,0,1.66039487142857,0.4363823,3.1585863,0,0.4363823,0.4363823,0.4363823,0,0.4363823,0.4363823,0.4363823,0,0.4363823,0.4363823,0.4363823,0,0.4363823,47.1324823,0.4363823
7,0,4.095942,0,0,69.275348,0,16.5255017027027,7.78141351351351,12.43747,0,0,112.366232432432,0,13.50852,6.501816,8.838019,0,0,4.358756,5.568269,0,0,0,0,0,0,0,0,0,0,0,0,0,9.164094,0,0,0
8,0,19.10774,1.37272083783784,8.59646,37.0026477837838,0,24.837393,0,0,22.098524,11.57898,4.176837,0,32.549271,43.00639,1.93695518918919,0,0,11.35589,0,0,0,53.558043,40.65422,12.7689,0,0,0,15.594798,0,0,39.77758,0,5.877588,18.180476,0,0
9,0.0993982222222222,0,6.22074246546546,0,0,1.02820445945946,34.325627,7.302944,1.346893,1.243008,14.970959,42.30655,16.001557,24.666109,28.337719,10.819594,0,0,0,40.249339,27.702588,0,0,52.021364,13.50703,0,13.673532,2.239014,0,19.675516,8.515528,21.687419,9.051933,0,9.47495,0,50.34187
10,16.6317455,0,17.7720673513513,0.650010638888889,93.689505,5.713501,2.61032616066066,19.9479428378378,0,0,23.114531,0.626336,17.1244519444444,0,37.353335,0,0,10.757,0,43.95393,0,7.97609,0,35.73167,9.778784,0,9.88755,17.63337,8.435442,0,17.755828,10.59571,0,7.603797,0,0,8.480338
11,21.8453611,0,0,13.879047,11.09662,8.394527,2.16866416666667,0,0,0,1.11023861111111,0,17.483891,20.561939,0,0.731382805555556,0,17.932531,0,16.77479,29.432073,14.417315,29.4689206944444,31.372757,29.283858,0,16.210137,15.832436,0,19.127271,10.46667,0,0,8.645804,0,20.13141,64.1796
12,14.637738261718,0,15.7490996252101,1.052179,1.57365830555556,9.719217,9.25055979663866,21.232399,0,17.718006,20.785519,1.042038,0,0,1.540263,4.474614,0,10.175988,0,0,6.336988,13.04111,5.683761,19.838759,13.19974,0,0,0,0,48.54024,16.587386,40.804213,0,7.154535,19.470626,6.744779,5.487195
13,3.225125,34.117748,15.9253297555556,3.738452,6.668761,0,0,0,17.191829,28.143446,0,4.097513,0,0,2.1976522,8.428107,0,12.214485,12.488201,13.42244,0,0,39.894513,0,0,29.531994,0,39.732623,0,12.58389,0,16.3991,39.256638,42.077467,28.389848,0,0
14,31.18398,19.057208,1.12294745714286,23.5747834015873,86.793537,7.32237,2.62246613888889,0,4.959613,12.296485,75.965889,11.53182,8.043242,60.21987,0,8.952379,0,0,0,8.283159,0,0,9.343656,0,0,6.566007,6.198219,0,37.516338,0,0,15.284433,0,0,59.130149,9.198832,5.243697
15,23.489581,7.560039,0,4.68006811428571,32.418354,0,1.80750363888889,0,1.538835,0,0,0,19.821306,33.705971,42.48541,1.15969811428571,0,2.325036,0,0,0,0,18.819534,0,0,0,0,0,12.131305,0,0,18.224535,15.626769,0,16.7413,0,0
