"","1","2","3"
"1981",0,25,61
"1982",0,25,64
"1983",12,12,53
"1984",0,15,41
"1985",0,25,58
"1986",25,50,56
"1987",0,14,41
"1988",16,40,74
"1989",0,25,75
"1990",0,23,73
"1991",0,25,75
"1992",0,15,65
"1993",0,25,75
"1994",0,25,75
"1995",0,0,50
"1996",25,25,75
"1997",11,30,75
"1998",0,25,75
"1999",3,28,75
"2000",7,32,75
"2001",11,36,75
"2002",0,10,60
"2003",0,25,75
"2004",22,22,45
"2005",9,34,75
"2006",0,25,62
"2007",18,43,75
"2008",20,12,62
"2009",0,25,75
"2010",0,4,54
"2011",0,5,55
"2012",9,27,73
"2013",0,9,47
"2014",0,7,32
"2015",4,4,13
"2016",0,13,63
"2017",0,24,67
"2018",39,35,75
"2019",24,35,72
"2020",7.41025641025641,29.4871794871795,75
