Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,0.0
21-31 Jan 1981,0.0
1-10 Feb 1981,0.0
11-20 Feb 1981,0.0
21-28 Feb 1981,0.0
1-10 Mar 1981,70.0
11-20 Mar 1981,43.0
21-31 Mar 1981,63.0
1-10 Apr 1981,4.0
11-20 Apr 1981,17.0
21-30 Apr 1981,9.0
1-10 May 1981,9.0
11-20 May 1981,14.0
21-31 May 1981,0.0
1-10 Jun 1981,0.0
11-20 Jun 1981,0.0
21-30 Jun 1981,0.0
1-10 Jul 1981,69.0
11-20 Jul 1981,11.0
21-31 Jul 1981,46.0
1-10 Aug 1981,86.0
11-20 Aug 1981,51.0
21-31 Aug 1981,36.0
1-10 Sep 1981,0.0
11-20 Sep 1981,40.0
21-30 Sep 1981,26.0
1-10 Oct 1981,31.0
11-20 Oct 1981,0.0
21-31 Oct 1981,0.0
1-10 Nov 1981,0.0
11-20 Nov 1981,0.0
21-30 Nov 1981,0.0
1-10 Dec 1981,0.0
11-20 Dec 1981,0.0
21-31 Dec 1981,0.0
1-10 Jan 1982,0.0
11-20 Jan 1982,17.0
21-31 Jan 1982,0.0
1-10 Feb 1982,0.0
11-20 Feb 1982,0.0
21-28 Feb 1982,21.0
1-10 Mar 1982,5.0
11-20 Mar 1982,5.0
21-31 Mar 1982,13.0
1-10 Apr 1982,50.0
11-20 Apr 1982,25.0
21-30 Apr 1982,4.0
1-10 May 1982,60.0
11-20 May 1982,0.0
21-31 May 1982,0.0
1-10 Jun 1982,0.0
11-20 Jun 1982,0.0
21-30 Jun 1982,0.0
1-10 Jul 1982,25.0
11-20 Jul 1982,14.0
21-31 Jul 1982,42.0
1-10 Aug 1982,43.0
11-20 Aug 1982,72.0
21-31 Aug 1982,31.0
1-10 Sep 1982,35.0
11-20 Sep 1982,27.0
21-30 Sep 1982,19.0
1-10 Oct 1982,44.0
11-20 Oct 1982,29.0
21-31 Oct 1982,1.0
1-10 Nov 1982,23.0
11-20 Nov 1982,7.0
21-30 Nov 1982,8.0
1-10 Dec 1982,1.0
11-20 Dec 1982,7.0
21-31 Dec 1982,1.0
1-10 Jan 1983,8.0
11-20 Jan 1983,0.0
21-31 Jan 1983,18.0
1-10 Feb 1983,22.0
11-20 Feb 1983,4.0
21-28 Feb 1983,0.0
1-10 Mar 1983,12.0
11-20 Mar 1983,11.0
21-31 Mar 1983,19.0
1-10 Apr 1983,53.0
11-20 Apr 1983,63.0
21-30 Apr 1983,71.0
1-10 May 1983,8.0
11-20 May 1983,35.0
21-31 May 1983,52.0
1-10 Jun 1983,12.0
11-20 Jun 1983,0.0
