Time,precipitation
1-10 Jan 1981,2.393859
11-20 Jan 1981,2.829721
21-31 Jan 1981,3.209747
1-10 Feb 1981,3.602634
11-20 Feb 1981,2.881944
21-28 Feb 1981,2.430343
1-10 Mar 1981,6.480186
11-20 Mar 1981,10.53581
21-31 Mar 1981,22.29036
1-10 Apr 1981,7.655867
11-20 Apr 1981,11.65296
21-30 Apr 1981,51.56884
1-10 May 1981,3.908462
11-20 May 1981,8.129972
21-31 May 1981,4.660625
1-10 Jun 1981,5.543339
11-20 Jun 1981,8.118464
21-30 Jun 1981,24.72646
1-10 Jul 1981,94.73993
11-20 Jul 1981,86.08151
21-31 Jul 1981,99.55243
1-10 Aug 1981,80.3194
11-20 Aug 1981,108.3195
21-31 Aug 1981,94.35648
1-10 Sep 1981,25.14756
11-20 Sep 1981,25.06218
21-30 Sep 1981,14.28592
1-10 Oct 1981,20.90452
11-20 Oct 1981,5.201011
21-31 Oct 1981,5.514513
1-10 Nov 1981,6.269815
11-20 Nov 1981,6.027145
21-30 Nov 1981,13.39838
1-10 Dec 1981,1.718295
11-20 Dec 1981,2.110702
21-31 Dec 1981,2.86332
1-10 Jan 1982,13.07813
11-20 Jan 1982,5.250342
21-31 Jan 1982,3.399815
1-10 Feb 1982,7.417162
11-20 Feb 1982,5.217569
21-28 Feb 1982,3.580403
1-10 Mar 1982,23.77068
11-20 Mar 1982,16.32494
21-31 Mar 1982,6.906614
1-10 Apr 1982,11.12698
11-20 Apr 1982,12.88449
21-30 Apr 1982,17.6444
1-10 May 1982,30.19213
11-20 May 1982,8.775039
21-31 May 1982,9.31601
1-10 Jun 1982,7.712515
11-20 Jun 1982,13.2178
21-30 Jun 1982,13.4002
1-10 Jul 1982,22.91286
11-20 Jul 1982,26.21851
21-31 Jul 1982,77.7466
1-10 Aug 1982,112.8764
11-20 Aug 1982,89.00163
21-31 Aug 1982,98.88023
1-10 Sep 1982,32.52709
11-20 Sep 1982,7.323151
21-30 Sep 1982,7.504577
1-10 Oct 1982,9.957622
11-20 Oct 1982,24.47943
21-31 Oct 1982,3.49143
1-10 Nov 1982,22.92131
11-20 Nov 1982,3.979327
21-30 Nov 1982,16.90574
1-10 Dec 1982,1.481601
11-20 Dec 1982,2.14435
21-31 Dec 1982,2.046608
1-10 Jan 1983,2.058852
11-20 Jan 1983,2.195187
21-31 Jan 1983,3.844115
1-10 Feb 1983,8.360059
11-20 Feb 1983,5.797059
21-28 Feb 1983,4.148732
1-10 Mar 1983,2.890388
11-20 Mar 1983,3.643138
21-31 Mar 1983,5.709704
1-10 Apr 1983,13.19648
11-20 Apr 1983,11.53971
21-30 Apr 1983,19.55969
1-10 May 1983,9.99015
11-20 May 1983,34.09356
21-31 May 1983,37.80011
1-10 Jun 1983,25.04028
11-20 Jun 1983,7.287908
21-30 Jun 1983,13.36984
1-10 Jul 1983,26.09884
11-20 Jul 1983,52.71658
21-31 Jul 1983,117.3333
1-10 Aug 1983,87.4671
11-20 Aug 1983,89.76122
21-31 Aug 1983,120.272
1-10 Sep 1983,10.91453
11-20 Sep 1983,16.16361
21-30 Sep 1983,8.237377
1-10 Oct 1983,8.469562
11-20 Oct 1983,8.7677
21-31 Oct 1983,4.687726
1-10 Nov 1983,3.972274
11-20 Nov 1983,7.181325
21-30 Nov 1983,4.426542
1-10 Dec 1983,1.676274
11-20 Dec 1983,1.740447
21-31 Dec 1983,2.212168
1-10 Jan 1984,2.34042
11-20 Jan 1984,2.41132
21-31 Jan 1984,3.214037
1-10 Feb 1984,3.573251
11-20 Feb 1984,3.605666
21-29 Feb 1984,3.20548
1-10 Mar 1984,11.48412
11-20 Mar 1984,3.599673
21-31 Mar 1984,3.857429
1-10 Apr 1984,8.770265
11-20 Apr 1984,8.837317
21-30 Apr 1984,7.500045
1-10 May 1984,5.520181
11-20 May 1984,23.92979
21-31 May 1984,36.31665
1-10 Jun 1984,15.62873
11-20 Jun 1984,16.23088
21-30 Jun 1984,26.36076
1-10 Jul 1984,50.82719
11-20 Jul 1984,51.46711
21-31 Jul 1984,52.7337
1-10 Aug 1984,57.25948
11-20 Aug 1984,60.33015
21-31 Aug 1984,41.03619
1-10 Sep 1984,23.41875
11-20 Sep 1984,20.50545
21-30 Sep 1984,12.31815
1-10 Oct 1984,2.110199
