"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.75,1.71,33.69,0,0,26.44,26.44
1984,16,0.34,0.34,0,100,0,100,200
1985,16,0,20.9,66.55,100,0,0,100
1986,16,20.24,39.9,44.66,0,0,0,0
1987,16,2.1,3.17,12.54,100,0,80.66,180.66
1988,16,0,0,50,100,0,0,100
1989,16,0.44,11.8,45.82,100,0,0,100
1990,16,0,0,43.27,100,0,1.88,101.88
1991,16,13.32,30.54,69.86,0,0,0,0
1992,16,0,0,29.65,100,0,36.8,136.8
1993,16,0.16,0,46.47,100,0,0,100
1994,16,0,0,50,100,0,0,100
1995,16,3.06,2.86,52.86,100,0,0,100
1996,16,25,25,62.26,0,0,0,0
1997,16,24.21,39.14,73.7,0,0,0,0
1998,16,0,22.11,72.11,100,0,0,100
1999,16,2.43,27.43,75,100,0,0,100
2000,16,2.12,22.89,52.62,100,0,0,100
2001,16,13.05,13.05,50,0,0,0,0
2002,16,0,25,75,100,0,0,100
2003,16,8.99,15.39,40.4,0,0,9.23,9.23
2004,16,6.41,6.41,34.16,0,0,25.24,25.24
2005,16,9,16.57,66.57,0,0,0,0
2006,16,0,25,75,100,0,0,100
2007,16,8.35,33.35,75,0,0,0,0
2008,16,4.84,8.94,57.98,100,0,0,100
2009,16,0,8.79,39.87,100,0,10.58,110.58
2010,16,0,0,50,100,0,0,100
2011,16,0,4.73,54.73,100,0,0,100
2012,16,0,0,50,100,0,0,100
2013,16,0,10.28,60.28,100,0,0,100
2014,16,0,0,50,100,0,0,100
2015,16,0,0,7.18,100,0,94.41,194.41
2016,16,12.02,12.02,50,0,0,0,0
2017,16,0,25,54.03,100,0,0,100
2018,16,18.99,32.99,62.49,0,0,0,0
2019,16,4.45,25,59.11,100,0,0,100
