Time,NDVI
Oct 1981,0.5691452
Oct 1982,0.5861452
Oct 1983,0.5538871
Oct 1984,0.459129
Oct 1985,0.4988065
Oct 1986,0.506629
Oct 1987,0.4970807
Oct 1988,0.5103549
Oct 1989,0.5334678
Oct 1990,0.4788871
Oct 1991,0.4652904
Oct 1992,0.5402742
Oct 1993,0.4707903
Oct 1994,0.6589839
Oct 1995,0.4747258
Oct 1996,0.4224194
Oct 1997,0.4823226
Oct 1998,0.5639678
Oct 1999,0.5258226
Oct 2000,0.521242
Oct 2001,0.4949678
Oct 2002,0.5619194
Oct 2003,0.5019517
Oct 2004,0.5076129
Oct 2005,0.5234516
Oct 2006,0.5073065
