"","1","2","3"
"1981",56.550883,50,75
"1982",60.04279,42.33063,75
"1983",60.6268,42.33063,75
"1984",66.74649,50,75
"1985",67.71216,50,75
"1986",67.71216,50,75
"1987",71.91103,46.91103,75
"1988",67.33063,42.33063,75
"1989",66.65063,41.65063,75
"1990",53.33896,42.33063,75
"1991",67.71216,50,75
"1992",61.00833,50,75
"1993",69.03214,50,75
"1994",68.29617,50,75
"1995",68.29617,50,75
"1996",75,50,75
"1997",75,50,75
"1998",60.6268,42.33063,75
"1999",61.00833,50,75
"2000",65.30295,50,75
"2001",68.08457,50,75
"2002",61.72918,46.35156,75
"2003",67.71216,50,75
"2004",61.00833,50,75
"2005",67.71216,50,75
"2006",69.47116,50,75
"2007",69.13774,50,75
"2008",75,50,75
"2009",75,50,75
"2010",75,50,75
"2011",71.98889,50,75
"2012",74.84004,50,75
"2013",50,50,75
"2014",65.46922,50,75
"2015",59.75709,40.2688,75
"2016",70.88678,50,75
"2017",72.60534,50,75
"2018",75,50,75
"2019",75,50,75
"2020",75,50,75
