"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.2771045,0.1623261,0.1337164,0.1919543,0.2531754,0.3176785,0.3053975,0.2132201,0.2605746,0.2913977,0.1859033,0.2162688,0.2880536,0.2817418,0.2297738,0.3863687,0.3683535,0.2387838,0.2156682,0.224573,0.3037489,0.2819201,0.2199634,0.2989925,0.306946,0.289004
"Aug",0.4736958,0.3401925,0.3363496,0.3758905,0.4189431,0.5233843,0.372169,0.3927552,0.4382227,0.4278613,0.3668359,0.3670749,0.4132594,0.4420867,0.4886549,0.4433687,0.4641878,0.3165948,0.4267417,0.3643754,0.3883898,0.4622179,0.3654854,0.4585111,0.454544,0.453639
"Sep",0.5975007,0.5188695,0.5308338,0.4276138,0.5119694,0.5631439,0.5431322,0.5517433,0.5192228,0.4823621,0.4416959,0.4748882,0.4239855,0.6029308,0.556367,0.4527752,0.484354,0.528098,0.5280237,0.4848866,0.5720143,0.6049932,0.5411126,0.5491145,0.5388458,0.5370897
"Oct",0.4842733,0.5348976,0.4639654,0.3701836,0.4355185,0.4757843,0.4845672,0.4871577,0.4816376,0.4178978,0.3529063,0.4317456,0.4418334,0.5576234,0.4802448,0.3976553,0.4105466,0.5326196,0.478189,0.5028358,0.5049627,0.4939137,0.4864925,0.4566685,0.4454174,0.4860018
"Nov",0.3430599,0.3727241,0.3722902,0.2830817,0.3491805,0.3556135,0.3878861,0.4004403,0.3914279,0.3245662,0.3128474,0.3756806,0.3553514,0.4268955,0.3756976,0.3364191,0.3821582,0.4394553,0.4703679,0.4278508,0.4116292,0.3426351,0.389828,0.3348059,0.3440482,0.362316
"Dec",0.266947,0.2980965,0.2797718,0.2513282,0.2951057,0.2997376,0.2878678,0.3597313,0.2816277,0.2727404,0.2652001,0.3075366,0.3165225,0.3353803,0.2941424,0.2784376,0.3659069,0.3440867,0.3554292,0.3767542,0.3481077,0.3020819,0.33851,0.2886874,0.2982333,0.3069656
"Jan",,0.2036917,0.2556297,0.2312757,0.2526647,0.2648149,0.2630075,0.2522246,0.3014129,0.2487762,0.2294108,0.2215955,0.2710972,0.2668825,0.288141,0.2364879,0.2337115,0.28864,0.3114021,0.3091387,0.3457835,0.2940954,0.2820994,0.2730306,0.2801329,0.2506507
"Feb",,0.1951837,0.23299,0.2328581,0.2025684,0.2247802,0.2205729,0.2370058,0.235084,0.202911,0.2088553,0.2025583,0.2428565,0.2142175,0.2379007,0.2039162,0.2195314,0.2445991,0.2962603,0.2723479,0.2867048,0.2842693,0.2410618,0.2516239,0.2497439,0.216185
"Mar",,0.2042321,0.1830897,0.2055393,0.2040897,0.2075087,0.1818726,0.2230462,0.2055911,0.2002771,0.2030021,0.2029709,0.2158869,0.2070936,0.2156553,0.1882675,0.1992458,0.2158271,0.241894,0.249677,0.2617654,0.2461837,0.2460208,0.2411006,0.2461307,0.2138832
"Apr",,0.2210237,0.1770438,0.1989305,0.1840041,0.1670371,0.193616,0.1998608,0.2084962,0.1922631,0.1883655,0.1996918,0.1969497,0.1672229,0.190981,0.2247562,0.2168112,0.208706,0.2141654,0.2124412,0.248268,0.2785497,0.2008328,0.2298114,0.2483723,0.208878
"May",,0.1869603,0.1765656,0.1706967,0.1443936,0.1841037,0.1847494,0.1569976,0.182396,0.1764442,0.1610505,0.1893428,0.2092285,0.1658532,0.1961118,0.2085264,0.1913304,0.2141733,0.1830235,0.2584035,0.2143341,0.2361656,0.1588876,0.2271363,0.2267964,0.216028
"Jun",,0.1477491,0.1838581,0.1405936,0.1873057,0.1719743,0.2365355,0.1605866,0.1739426,0.1556018,0.1793564,0.1559807,0.2255554,0.1146641,0.1753171,0.2829414,0.2558945,0.2008651,0.1865853,0.2189624,0.2308049,0.207012,0.1451092,0.1936562,0.2057014,0.2101422
