"","MIXEDVEGg"
"1981",0.331708542568064
"1982",0.309052489550064
"1983",0.308474519740854
"1984",0.203330854425846
"1985",0.290194679636739
"1986",0.261449431665644
"1987",0.218612210008542
"1988",0.253492610100849
"1989",0.283565319188999
"1990",0.328844086804738
"1991",0.257156928305438
"1992",0.299340883098223
"1993",0.230132919085114
"1994",0.316812500191508
"1995",0.219081232768361
"1996",0.200386791500119
"1997",0.22022875988821
"1998",0.264745261661235
"1999",0.251369388933808
"2000",0.3171008
"2001",0.2378621
"2002",0.2195746
"2003",0.2936459
"2004",0.2646847
"2005",0.3060762
"2006",0.2445886
"2007",0.2386434
"2008",0.2500427
"2009",0.2918162
"2010",0.2665067
"2011",0.2493799
"2012",0.2325283
"2013",0.2783712
"2014",0.2592916
"2015",0.2580748
"2016",0.2614959
"2017",0.2719992
"2018",0.255903
"2019",0.2680678
