Time,Monitoring Merged Station-Satellite Rainfall
1-10 Jan 1981,0.0
11-20 Jan 1981,0.0
21-31 Jan 1981,0.0
1-10 Feb 1981,0.0
11-20 Feb 1981,0.0
21-28 Feb 1981,0.0
1-10 Mar 1981,0.0
11-20 Mar 1981,0.0
21-31 Mar 1981,0.0
1-10 Apr 1981,0.0
11-20 Apr 1981,0.0
21-30 Apr 1981,22.0
1-10 May 1981,3.0
11-20 May 1981,20.0
21-31 May 1981,5.0
1-10 Jun 1981,7.0
11-20 Jun 1981,22.0
21-30 Jun 1981,52.0
1-10 Jul 1981,114.0
11-20 Jul 1981,134.0
21-31 Jul 1981,170.0
1-10 Aug 1981,114.0
11-20 Aug 1981,118.0
21-31 Aug 1981,120.0
1-10 Sep 1981,58.0
11-20 Sep 1981,59.0
21-30 Sep 1981,27.0
1-10 Oct 1981,24.0
11-20 Oct 1981,2.0
21-31 Oct 1981,6.0
1-10 Nov 1981,3.0
11-20 Nov 1981,0.0
21-30 Nov 1981,2.0
1-10 Dec 1981,0.0
11-20 Dec 1981,0.0
21-31 Dec 1981,0.0
1-10 Jan 1982,6.0
11-20 Jan 1982,8.0
21-31 Jan 1982,0.0
1-10 Feb 1982,0.0
11-20 Feb 1982,0.0
21-28 Feb 1982,0.0
1-10 Mar 1982,0.0
11-20 Mar 1982,0.0
21-31 Mar 1982,0.0
1-10 Apr 1982,0.0
11-20 Apr 1982,0.0
21-30 Apr 1982,5.0
1-10 May 1982,35.0
11-20 May 1982,3.0
21-31 May 1982,11.0
1-10 Jun 1982,9.0
11-20 Jun 1982,42.0
21-30 Jun 1982,34.0
1-10 Jul 1982,53.0
11-20 Jul 1982,71.0
21-31 Jul 1982,114.0
1-10 Aug 1982,135.0
11-20 Aug 1982,135.0
21-31 Aug 1982,115.0
1-10 Sep 1982,83.0
11-20 Sep 1982,36.0
21-30 Sep 1982,30.0
1-10 Oct 1982,50.0
11-20 Oct 1982,40.0
21-31 Oct 1982,1.0
1-10 Nov 1982,12.0
11-20 Nov 1982,6.0
21-30 Nov 1982,8.0
1-10 Dec 1982,0.0
11-20 Dec 1982,0.0
21-31 Dec 1982,0.0
1-10 Jan 1983,0.0
11-20 Jan 1983,0.0
21-31 Jan 1983,0.0
1-10 Feb 1983,0.0
11-20 Feb 1983,0.0
21-28 Feb 1983,0.0
1-10 Mar 1983,0.0
11-20 Mar 1983,0.0
21-31 Mar 1983,0.0
1-10 Apr 1983,0.0
11-20 Apr 1983,0.0
21-30 Apr 1983,0.0
1-10 May 1983,3.0
11-20 May 1983,29.0
21-31 May 1983,23.0
1-10 Jun 1983,34.0
11-20 Jun 1983,18.0
