Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0176470588235294,0,0,0,0,0,0.0176470588235294,0.0176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.0117647058823529,0.0346218487394958,0,0,0,0.0117647058823529,0,0,0,0.0228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
8,0.0142857142857143,0,0.0942857142857143,0,0.08,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,1.3,0,0,0,0,0
9,0,0,1.74285714285714,0,0,0,9.8,0,0,0,0,1.14285714285714,0.5,13.9,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.11428571428571,0,1.77352941176471,0,2.8,1.1,0.9,1.9,6.5,1.6,1.4,0.873529411764706,1.98781512605042,1.3,7.2,0,0,12.6,2,2.4,0,6.8,0,1.4,0.6,3.9,1.5,1,0.7,1.1,1,1.9,0.7,1.1,1.3,1.5,1.6
11,2.9,1.8,1.6,2.1,2.72727272727273,2.3,1.3,2.8,3.5,4,2.71338383838384,1.6,5.1,1.2,5.2,2.92727272727273,2.2,10.5,0.9,0,0,2.9,3.32727272727273,4.6,5.1,8.4,0,2.6,0.8,2.2,0.9,3.5,0,1.4,4.8,0,2.5
