Time,NDVI
Oct 1981,0.6090646
Oct 1982,0.6110646
Oct 1983,0.5825645
Oct 1984,0.5077742
Oct 1985,0.5879355
Oct 1986,0.5736613
Oct 1987,0.4972581
Oct 1988,0.5619032
Oct 1989,0.5913709
Oct 1990,0.6614516
Oct 1991,0.5367904
Oct 1992,0.5485485
Oct 1993,0.5333549
Oct 1994,0.6135484
Oct 1995,0.5258226
Oct 1996,0.4360807
Oct 1997,0.476
Oct 1998,0.5816935
Oct 1999,0.5665484
Oct 2000,0.4780484
Oct 2001,0.5366613
Oct 2002,0.5091451
Oct 2003,0.5431774
Oct 2004,0.5714194
Oct 2005,0.5588065
Oct 2006,0.5266936
