"","MIXEDVEGg"
"1981",0.300403268536861
"1982",0.257873968528299
"1983",0.254880879945319
"1984",0.255567689738623
"1985",0.233843745929846
"1986",0.293286471570166
"1987",0.260617727629862
"1988",0.313680927135764
"1989",0.274648796523781
"1990",0.284225449355284
"1991",0.275067489492322
"1992",0.276319583968083
"1993",0.250549981208684
"1994",0.28992580672329
"1995",0.308953275012749
"1996",0.295513919171523
"1997",0.249122748344287
"1998",0.30654804114215
"1999",0.301352369817596
"2000",0.2934302
"2001",0.3177579
"2002",0.2746687
"2003",0.2899998
"2004",0.2660854
"2005",0.280422
"2006",0.2448889
"2007",0.3220113
"2008",0.2151889
"2009",0.2145218
"2010",0.2877976
"2011",0.2937116
"2012",0.2800992
"2013",0.2925946
"2014",0.260216
"2015",0.1980253
"2016",0.2912261
"2017",0.2476955
"2018",0.2776914
"2019",0.2979157
