"","1","2","3"
"1981",16,37,75
"1982",33,35,66
"1983",30,21,47
"1984",60,45,69
"1985",16,25,75
"1986",72,50,62
"1987",37,20,46
"1988",27,41,75
"1989",21,8,51
"1990",30,43,71
"1991",38,50,75
"1992",37,27,53
"1993",26,19,68
"1994",25,26,75
"1995",30,45,75
"1996",73,42,69
"1997",59,48,67
"1998",31,45,75
"1999",29,29,52
"2000",19,42,63
"2001",61,50,75
"2002",40,36,70
"2003",35,42,67
"2004",50,30,54
"2005",36,50,70
"2006",39,50,69
"2007",50,50,65
"2008",53,36,73
"2009",25,36,72
"2010",44,15,65
"2011",34,34,75
"2012",48,48,75
"2013",46,46,73
"2014",50,33,33
"2015",38,25,9
"2016",60,50,71
"2017",9,34,75
"2018",75,50,75
"2019",40,32,75
"2020",53.7435897435898,46.8974358974359,75
