Time,precipitation
1-10 Jan 1981,1.925827
11-20 Jan 1981,2.00193
21-31 Jan 1981,2.019569
1-10 Feb 1981,2.616709
11-20 Feb 1981,3.8337
21-28 Feb 1981,2.550644
1-10 Mar 1981,21.42634
11-20 Mar 1981,26.27745
21-31 Mar 1981,42.1214
1-10 Apr 1981,8.90999
11-20 Apr 1981,14.20143
21-30 Apr 1981,15.86433
1-10 May 1981,1.827618
11-20 May 1981,2.40121
21-31 May 1981,2.16202
1-10 Jun 1981,1.932744
11-20 Jun 1981,2.542763
21-30 Jun 1981,9.350248
1-10 Jul 1981,68.70015
11-20 Jul 1981,85.35989
21-31 Jul 1981,70.6511
1-10 Aug 1981,79.397
11-20 Aug 1981,71.13649
21-31 Aug 1981,73.75265
1-10 Sep 1981,7.520165
11-20 Sep 1981,15.51833
21-30 Sep 1981,5.382382
1-10 Oct 1981,6.028444
11-20 Oct 1981,1.482961
21-31 Oct 1981,1.888991
1-10 Nov 1981,2.474842
11-20 Nov 1981,2.407777
21-30 Nov 1981,2.436504
1-10 Dec 1981,1.52904
11-20 Dec 1981,1.768099
21-31 Dec 1981,3.084678
1-10 Jan 1982,7.936239
11-20 Jan 1982,9.11437
21-31 Jan 1982,2.021836
1-10 Feb 1982,11.9805
11-20 Feb 1982,10.5258
21-28 Feb 1982,4.420149
1-10 Mar 1982,5.334291
11-20 Mar 1982,3.868768
21-31 Mar 1982,8.053993
1-10 Apr 1982,20.07185
11-20 Apr 1982,17.9416
21-30 Apr 1982,10.68472
1-10 May 1982,6.951894
11-20 May 1982,5.678121
21-31 May 1982,2.295078
1-10 Jun 1982,5.522339
11-20 Jun 1982,6.117032
21-30 Jun 1982,11.07703
1-10 Jul 1982,41.85552
11-20 Jul 1982,35.73064
1-10 Aug 1982,44.44038
11-20 Aug 1982,67.68153
21-31 Aug 1982,45.62318
1-10 Sep 1982,22.0825
11-20 Sep 1982,8.830555
21-30 Sep 1982,12.6823
1-10 Oct 1982,9.227914
11-20 Oct 1982,6.023858
21-31 Oct 1982,2.914846
1-10 Nov 1982,7.280914
11-20 Nov 1982,3.28298
21-30 Nov 1982,3.148818
1-10 Dec 1982,2.032741
11-20 Dec 1982,4.671502
21-31 Dec 1982,2.21397
1-10 Jan 1983,2.407604
11-20 Jan 1983,3.386365
21-31 Jan 1983,4.820685
1-10 Feb 1983,5.546905
11-20 Feb 1983,6.283936
21-28 Feb 1983,4.420149
1-10 Mar 1983,5.334291
11-20 Mar 1983,4.400176
21-31 Mar 1983,5.35393
1-10 Apr 1983,19.4171
11-20 Apr 1983,58.44694
21-30 Apr 1983,28.8609
1-10 May 1983,11.03293
11-20 May 1983,9.515249
21-31 May 1983,6.55766
1-10 Jun 1983,11.0649
11-20 Jun 1983,6.713242
21-30 Jun 1983,11.07703
1-10 Jul 1983,41.85552
11-20 Jul 1983,35.90746
21-31 Jul 1983,56.15773
1-10 Aug 1983,44.59765
11-20 Aug 1983,48.02407
21-31 Aug 1983,38.6482
1-10 Sep 1983,6.898576
11-20 Sep 1983,9.689459
21-30 Sep 1983,6.353647
1-10 Oct 1983,3.849381
11-20 Oct 1983,2.667048
21-31 Oct 1983,2.914846
1-10 Nov 1983,2.701562
11-20 Nov 1983,3.873612
21-30 Nov 1983,3.148818
1-10 Dec 1983,2.007611
11-20 Dec 1983,1.656946
21-31 Dec 1983,2.21397
1-10 Jan 1984,3.040862
11-20 Jan 1984,3.377572
21-31 Jan 1984,4.836979
1-10 Feb 1984,3.72111
11-20 Feb 1984,4.149937
21-29 Feb 1984,8.961791
1-10 Mar 1984,5.334291
11-20 Mar 1984,18.30697
21-31 Mar 1984,5.35393
1-10 Apr 1984,10.28937
11-20 Apr 1984,6.9235
21-30 Apr 1984,7.068359
1-10 May 1984,6.368561
11-20 May 1984,20.02726
21-31 May 1984,13.75992
1-10 Jun 1984,7.51024
11-20 Jun 1984,4.885099
21-30 Jun 1984,14.78416
1-10 Jul 1984,42.28775
11-20 Jul 1984,35.90746
21-31 Jul 1984,60.85574
1-10 Aug 1984,51.88029
11-20 Aug 1984,34.26695
21-31 Aug 1984,30.59085
1-10 Sep 1984,14.74587
11-20 Sep 1984,11.85238
21-30 Sep 1984,12.06618
1-10 Oct 1984,3.295216
11-20 Oct 1984,2.654232
21-31 Oct 1984,2.914846
1-10 Nov 1984,2.683623
11-20 Nov 1984,3.28298
21-30 Nov 1984,2.58059
1-10 Dec 1984,2.002899
11-20 Dec 1984,1.679697
21-31 Dec 1984,2.21397
1-10 Jan 1985,3.0482
11-20 Jan 1985,3.394752
21-31 Jan 1985,4.836979
1-10 Feb 1985,5.546905
11-20 Feb 1985,6.246377
21-28 Feb 1985,3.687515
1-10 Mar 1985,14.54587
11-20 Mar 1985,4.400176
21-31 Mar 1985,5.370214
1-10 Apr 1985,27.70753
11-20 Apr 1985,21.32904
21-30 Apr 1985,18.82327
1-10 May 1985,13.26816
11-20 May 1985,2.414661
21-31 May 1985,4.462723
1-10 Jun 1985,5.522339
11-20 Jun 1985,6.713242
21-30 Jun 1985,11.07703
1-10 Jul 1985,63.47642
11-20 Jul 1985,53.3054
21-31 Jul 1985,46.66979
1-10 Aug 1985,40.89272
11-20 Aug 1985,32.59521
21-31 Aug 1985,84.63908
1-10 Sep 1985,34.69443
11-20 Sep 1985,12.05347
21-30 Sep 1985,5.026368
1-10 Oct 1985,3.849381
11-20 Oct 1985,2.667048
21-31 Oct 1985,2.914846
1-10 Nov 1985,2.701562
11-20 Nov 1985,3.261179
21-30 Nov 1985,2.78717
1-10 Dec 1985,2.032741
11-20 Dec 1985,1.679697
21-31 Dec 1985,2.21397
1-10 Jan 1986,3.0482
11-20 Jan 1986,3.386365
21-31 Jan 1986,4.820685
1-10 Feb 1986,5.546905
11-20 Feb 1986,6.283936
21-28 Feb 1986,2.947183
1-10 Mar 1986,5.334291
11-20 Mar 1986,3.325213
21-31 Mar 1986,5.35393
1-10 Apr 1986,12.87105
11-20 Apr 1986,25.70009
21-30 Apr 1986,19.77281
1-10 May 1986,9.349086
11-20 May 1986,9.350177
21-31 May 1986,10.63899
1-10 Jun 1986,5.522339
11-20 Jun 1986,27.97366
21-30 Jun 1986,39.24772
1-10 Jul 1986,74.90366
11-20 Jul 1986,35.73064
21-31 Jul 1986,64.95177
1-10 Aug 1986,106.6144
11-20 Aug 1986,32.59521
21-31 Aug 1986,83.6229
1-10 Sep 1986,29.93917
11-20 Sep 1986,12.30597
21-30 Sep 1986,9.209912
1-10 Oct 1986,3.849381
11-20 Oct 1986,2.108707
21-31 Oct 1986,2.914846
1-10 Nov 1986,2.525863
11-20 Nov 1986,2.911656
21-30 Nov 1986,3.148818
1-10 Dec 1986,2.032741
11-20 Dec 1986,1.497722
21-31 Dec 1986,2.21397
1-10 Jan 1987,3.040113
11-20 Jan 1987,3.394752
21-31 Jan 1987,4.811206
1-10 Feb 1987,5.546905
11-20 Feb 1987,5.370797
21-28 Feb 1987,4.384063
1-10 Mar 1987,24.35887
11-20 Mar 1987,4.410184
21-31 Mar 1987,5.35393
1-10 Apr 1987,18.99115
11-20 Apr 1987,20.61598
21-30 Apr 1987,6.497931
1-10 May 1987,4.526937
11-20 May 1987,9.126562
21-31 May 1987,15.43604
1-10 Jun 1987,19.07473
11-20 Jun 1987,9.903479
21-30 Jun 1987,6.422972
1-10 Jul 1987,53.51976
11-20 Jul 1987,55.06995
21-31 Jul 1987,36.91941
1-10 Aug 1987,62.94223
11-20 Aug 1987,66.55565
21-31 Aug 1987,45.62318
1-10 Sep 1987,9.843727
11-20 Sep 1987,5.488354
21-30 Sep 1987,9.587089
1-10 Oct 1987,16.49531
11-20 Oct 1987,2.654232
21-31 Oct 1987,2.914846
1-10 Nov 1987,2.516647
11-20 Nov 1987,3.28298
21-30 Nov 1987,3.148818
1-10 Dec 1987,2.032741
11-20 Dec 1987,1.679697
21-31 Dec 1987,2.174542
1-10 Jan 1988,2.498761
11-20 Jan 1988,2.689608
21-31 Jan 1988,4.836979
1-10 Feb 1988,5.546905
11-20 Feb 1988,12.19007
21-29 Feb 1988,4.579159
1-10 Mar 1988,5.334291
11-20 Mar 1988,4.410887
21-31 Mar 1988,5.35393
1-10 Apr 1988,10.32978
11-20 Apr 1988,11.18367
21-30 Apr 1988,10.68472
1-10 May 1988,4.554701
11-20 May 1988,3.238691
21-31 May 1988,4.462723
1-10 Jun 1988,5.522339
11-20 Jun 1988,6.713242
21-30 Jun 1988,11.07703
1-10 Jul 1988,63.75208
11-20 Jul 1988,138.9402
21-31 Jul 1988,182.3284
1-10 Aug 1988,62.25365
11-20 Aug 1988,77.09547
21-31 Aug 1988,82.98268
1-10 Sep 1988,13.11329
11-20 Sep 1988,41.72207
21-30 Sep 1988,11.65879
1-10 Oct 1988,12.47594
11-20 Oct 1988,4.124373
21-31 Oct 1988,2.914846
1-10 Nov 1988,2.516647
11-20 Nov 1988,3.271692
21-30 Nov 1988,3.148818
1-10 Dec 1988,2.032741
11-20 Dec 1988,1.679697
21-31 Dec 1988,2.042912
1-10 Jan 1989,3.0482
11-20 Jan 1989,6.470641
21-31 Jan 1989,4.836979
1-10 Feb 1989,13.71956
11-20 Feb 1989,4.255275
21-28 Feb 1989,4.408139
1-10 Mar 1989,5.334291
11-20 Mar 1989,17.74807
21-31 Mar 1989,26.9709
1-10 Apr 1989,10.32978
11-20 Apr 1989,20.14436
21-30 Apr 1989,10.68472
1-10 May 1989,4.554701
11-20 May 1989,2.484146
21-31 May 1989,4.462723
1-10 Jun 1989,5.522339
11-20 Jun 1989,6.713242
21-30 Jun 1989,8.660439
1-10 Jul 1989,64.04226
11-20 Jul 1989,103.4182
21-31 Jul 1989,46.26353
1-10 Aug 1989,50.36708
11-20 Aug 1989,59.79069
21-31 Aug 1989,38.6482
1-10 Sep 1989,20.19471
11-20 Sep 1989,11.3379
21-30 Sep 1989,10.32688
1-10 Oct 1989,3.865736
11-20 Oct 1989,2.654232
21-31 Oct 1989,2.914846
1-10 Nov 1989,2.516647
11-20 Nov 1989,3.28298
21-30 Nov 1989,3.148818
1-10 Dec 1989,5.265835
11-20 Dec 1989,1.679697
21-31 Dec 1989,2.21397
1-10 Jan 1990,3.227273
11-20 Jan 1990,3.394752
21-31 Jan 1990,4.836979
1-10 Feb 1990,15.16848
11-20 Feb 1990,17.36829
21-28 Feb 1990,4.216066
1-10 Mar 1990,5.334291
11-20 Mar 1990,10.91365
21-31 Mar 1990,5.35393
1-10 Apr 1990,18.57307
11-20 Apr 1990,11.18367
21-30 Apr 1990,33.2965
1-10 May 1990,4.554701
11-20 May 1990,3.238691
21-31 May 1990,4.462723
1-10 Jun 1990,5.522339
11-20 Jun 1990,6.713242
21-30 Jun 1990,11.07703
1-10 Jul 1990,52.60661
11-20 Jul 1990,63.22298
21-31 Jul 1990,61.06504
1-10 Aug 1990,43.81331
11-20 Aug 1990,39.45827
21-31 Aug 1990,46.45138
