"","MIXEDVEGg"
"1981",0.208924524232288
"1982",0.214572532236451
"1983",0.216712915033673
"1984",0.148972591150896
"1985",0.166739818832006
"1986",0.213788695704669
"1987",0.155912657878418
"1988",0.21637290191607
"1989",0.203176300901203
"1990",0.178193347770024
"1991",0.187105588220794
"1992",0.241996514145616
"1993",0.179664400476322
"1994",0.253450043083635
"1995",0.196755152509539
"1996",0.19571003713383
"1997",0.171518110473743
"1998",0.239032927679775
"1999",0.218455987110521
"2000",0.207928
"2001",0.2251909
"2002",0.1637844
"2003",0.2331298
"2004",0.1827093
"2005",0.1754931
"2006",0.1970065
"2007",0.228492
"2008",0.2036519
"2009",0.2122462
"2010",0.2130996
"2011",0.2036985
"2012",0.19176
"2013",0.2063488
"2014",0.2476071
"2015",0.1881558
"2016",0.1943048
"2017",0.2266341
"2018",0.2192758
"2019",0.2418893
