"","1","2","3"
"1981",29,48,75
"1982",51,50,75
"1983",33,38,75
"1984",73,50,75
"1985",19,25,75
"1986",75,50,75
"1987",57,44,75
"1988",52,50,75
"1989",42,39,75
"1990",42,50,75
"1991",70,50,75
"1992",25,42,67
"1993",26,26,75
"1994",64,48,75
"1995",32,50,75
"1996",50,50,75
"1997",75,50,75
"1998",50,50,75
"1999",50,50,75
"2000",27,47,75
"2001",65,50,75
"2002",36,50,75
"2003",32,50,75
"2004",50,41,66
"2005",47,50,75
"2006",51,50,75
"2007",61,50,75
"2008",65,45,75
"2009",22,34,75
"2010",27,34,75
"2011",34,43,75
"2012",53,50,75
"2013",50,50,75
"2014",65,50,75
"2015",41,25,50
"2016",33,50,75
"2017",10,34,75
"2018",65,50,75
"2019",65,40,75
"2020",59.4871794871795,50,75
