"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"2-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"3-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"4-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"5-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"6-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"7-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"8-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"9-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"10-Jan",0.1402529,0.5221855,0.15692,0.175759,0.1762681,0.1762681,0.1758148,0.1472988,0.1762681,0.1669286,0.1762681,0.1762681,0.1753057,0.175759,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1762681,0.1724176,0.1715143,0.1715143,0.1715143,0.1715143,0.1715143,0.2937315,0.1715143
"11-Jan",0.1388815,0.2310648,0.3641797,0.1532862,0.1541277,0.153704,0.1541277,0.1433738,0.1774733,0.1541277,0.1541277,0.1541277,0.2311342,0.1532862,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.3646034,0.1541277,0.1541277,0.190997,0.1541277,0.1507608,0.1491057,0.1491057,0.1491057,0.168822071794872,0.1491057,0.1491057,0.1491057
"12-Jan",0.1388815,0.2310648,0.3641797,0.1532862,0.1541277,0.153704,0.1541277,0.1433738,0.1774733,0.1541277,0.1541277,0.1541277,0.2311342,0.1532862,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.3646034,0.1541277,0.1541277,0.190997,0.1541277,0.1507608,0.1491057,0.1491057,0.1491057,0.168822071794872,0.1491057,0.1491057,0.1491057
"13-Jan",0.1388815,0.2310648,0.3641797,0.1532862,0.1541277,0.153704,0.1541277,0.1433738,0.1774733,0.1541277,0.1541277,0.1541277,0.2311342,0.1532862,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.3646034,0.1541277,0.1541277,0.190997,0.1541277,0.1507608,0.1491057,0.1491057,0.1491057,0.168822071794872,0.1491057,0.1491057,0.1491057
"14-Jan",0.1388815,0.2310648,0.3641797,0.1532862,0.1541277,0.153704,0.1541277,0.1433738,0.1774733,0.1541277,0.1541277,0.1541277,0.2311342,0.1532862,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.1541277,0.3646034,0.1541277,0.1541277,0.190997,0.1541277,0.1507608,0.1491057,0.1491057,0.1491057,0.168822071794872,0.1491057,0.1491057,0.1491057
