Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.688235294117647,0,0,0,0,0,0.688235294117647,0.688235294117647,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.45,0.45,0,15.3,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.463636363636364,0.463636363636364,0,0.463636363636364,0,0,0.463636363636364,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.729411764705883,0.729411764705883,0,0,0,24.8,0,0.729411764705883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,14.4,4.23823529411764,6.75252100840336,71.9,0,32.2,4.23823529411764,0,12.3,0,2.51428571428572,0,0,0,0,0,0,0,29.1,0,0,0,0,0,0,19.6,0,0,0,0,14.5,0,0,0,0,38.1
8,5.07142857142856,0,10.0171428571428,54.4,4.94571428571429,14.4,63.3,0,15.9,16.5,0,21.3,0,0,0,0,0,0,20.6,0,0,0,54.1,32.3,0,0,0,0,0,0,0,44.5,13.3,0,0,0,0
9,13.8,0,20.3742857142857,0,38.9,23.2,28.5,13.5,0,13.5,13.5,6.57428571428571,16.1,81.7,0,15.8,0,0,0,23.2,0,48.3,0,57.5,14.7,0,0,0,0,18.5,0,0,0,0,0,0,0
10,7.68857142857143,0,14.8558823529412,16.5,28.9,13.2,9.9,28.9,6.9,12.4,10.3,7.15588235294118,14.8444537815126,13.4,67.4,0,0,45.4,12.5,25,0,49.9,0,19.9,15,23.3,12.1,13.6,8.9,13.4,0,16.1,0,19.1,0,14,8.7
