"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.374699,5.141486,1.51729,1.655146,1.660396,1.660396,1.656315,1.447465,1.660396,1.59354,1.660396,1.660396,1.651066,1.655146,1.660396,1.660396,1.660396,1.660396,3.720095,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.660396,1.659069,1.709512,1.709512,1.709512,1.709512,1.709512,2.095702,2.095702
"2",1.188127,1.974973,3.084619,1.248541,1.255596,3.045822,1.255596,1.197289,1.484742,1.255596,1.255596,1.255596,1.946562,1.248541,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,1.255596,3.066915,1.255596,1.255596,1.557482,1.255596,1.254593,1.302596,1.302596,1.302596,1.44823841025641,1.302596,1.302596,1.302596
"3",1.760421,2.044902,2.056628,2.064938,2.064938,2.056628,2.052526,2.064938,2.064938,2.064938,2.064938,2.064938,2.052526,2.060835,2.064938,2.064938,2.064938,4.175518,2.064938,2.064938,2.064938,2.064938,2.064938,2.064938,2.416701,2.064938,2.064938,2.064938,2.064938,2.064938,2.064938,2.064938,2.063172,2.142432,2.142432,2.142432,2.142432,2.142432,2.142432,2.142432
"4",4.077975,8.878682,3.527373,3.211948,3.527373,3.527373,3.527373,3.527373,4.53679,5.768938,3.527373,3.527373,3.519551,3.518199,3.527373,3.527373,3.527373,8.892192,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.527373,3.974441,3.527373,3.527373,3.584655,3.775691,3.775691,3.775691,3.775691,3.775691,3.775691,3.775691
"5",3.49656,9.041252,4.174344,3.742776,4.164245,4.174344,4.011901,7.10228,3.865081,6.502055,4.174344,4.174344,4.164245,4.154231,4.174344,4.174344,4.174344,4.174344,4.174344,4.174344,4.174344,4.174344,4.174344,4.174344,5.675894,4.174344,6.61429,4.174344,4.174344,4.174344,4.174344,4.174344,4.242132,4.531916,6.040963,4.531916,10.72714,4.531916,5.541266,5.537948
"6",2.795583,3.273131,3.273131,3.42538256666667,3.099758,3.089545,3.262607,3.42538256666667,3.269299,3.098919,3.273131,3.42538256666667,3.273131,6.346475,6.350307,3.42538256666667,3.273131,3.273131,3.273131,3.42538256666667,2.917907,2.917907,2.917907,3.42538256666667,2.917907,2.917907,2.917907,3.42538256666667,2.917907,2.917907,2.917907,3.42538256666667,2.953376,3.125079,3.125079,3.42538256666667,3.125079,3.125079,6.822212,3.42538256666667
"7",8.7026,16.75728,6.576111,16.37515,16.72723,6.576111,15.771,6.576111,6.576111,6.576111,6.576111,4.818567,6.576111,6.647816,6.576111,6.648216,6.576111,6.647816,6.576111,6.576111,6.576111,16.75728,16.75728,6.576111,6.576111,6.576111,6.576111,6.576111,10.98568,6.576111,6.576111,9.578371,8.370207,22.09037,6.623394,6.623394,8.038789,6.623394,6.623394,6.623394
"8",15.81394,7.97017,5.999338,5.999338,5.999338,4.055571,6.063427,6.066445,5.999338,5.999338,5.999338,5.999338,14.25302,5.999338,5.999338,13.88185,19.08767,5.999338,5.999338,5.999338,9.940595,12.82773,14.42716,7.32972,29.59769,5.999338,5.999338,5.999338,10.02445,7.318587,12.8774,5.999338,11.71497,32.7257,8.465778,8.476645,5.933651,5.933651,19.57951,5.933651
"9",28.81084,3.747651,7.239143,7.239143,7.339436,7.239143,7.239143,7.239143,7.239143,17.96557,15.1264,7.239143,26.19662,7.303271,15.1264,21.66583,7.239143,18.03745,7.239143,7.239143,12.37889,35.41958,7.239143,7.239143,7.239143,7.239143,12.00246,7.239143,14.16427,8.952392,7.239143,12.49731,7.596561,7.401514,7.401514,7.401514,7.401514,7.401514,21.39485,7.401514
"10",7.086847,10.26346,10.62192,10.30081,19.28313,6.915027,10.26346,10.26346,10.26346,10.26346,10.26346,10.26346,10.30081,10.30384,10.26346,18.60665,27.62728,10.30384,10.26346,16.85405,13.9244,19.86555,10.26346,15.31132,10.26346,12.55684,11.65399,18.8175,13.27034,15.54751,10.26346,12.57644,10.44614,9.902369,9.902369,9.902369,9.902369,12.62279,9.902369,12.2428304871795
