Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0176470588235294,0,0,0,0,0,0.0176470588235294,0.0176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0151515151515152,0.0151515151515152,0,0.0151515151515152,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1.38235294117647,1.4109243697479,0,0,0,1.38235294117647,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,13.9
8,1.96857142857143,0,4.37428571428572,0,2.40571428571429,0,10.7,0,24.3,0,0,0,0,0,9.1,0,0,0,0,0,0,0,20.3,0,0,0,0,13.9,0,0,9.9,51,0,0,0,0,13.9
9,0,0,14.4085714285714,0,0,0,9.2,0,0,0,9.2,2.10857142857143,7.1,42,0,18.9,0,0,10.8,0,0,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0
10,2.29714285714286,0,3.18235294117647,0,7.5,2.9,1.6,3.2,13.9,2.3,3.9,1.78235294117647,4.07949579831933,3,17.5,0,0,23,5.4,7.7,0,10.8,0,3.4,0,8.2,2.8,3.2,0,1.9,3.3,3.1,1.5,2.2,1.3,2,4
11,7.4,3.3,2.3,4,5.40606060606061,4.6,5.2,2.3,8.3,7,5.15328282828283,3.9,7.4,4.9,8.4,5.70606060606061,6.6,17.2,1.4,1.6,0,2.8,7.00606060606061,6.5,9.7,12.9,1.6,5.4,0,4.9,2.2,8.5,0,2.7,6.2,0,8.2
