"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",1.364349,2.697179,1.153222,1.303441,1.835156,1.377407,1.37128,1.151665,1.335444,1.51146,1.419593,1.960259,2.097544,1.354893,1.31967,1.512479,1.506298,1.741712,2.703048,1.329684,0.9854749,1.174027,1.09576,1.571849,0.9841142,1.018615,1.257932,1.053,0.9223586,3.617011,1.495891,0.9986814,1.214653,1.152033,1.138147,1.240244,0.8946431,0.9490523,0.9850954,1.23116
"2",1.30636,2.520083,2.96828,1.270358,1.865571,1.328987,1.343433,1.228904,1.719432,1.36844,1.401316,1.997077,3.168835,1.330628,1.286224,1.402996,1.504657,1.739814,2.588031,1.328451,0.9845603,3.1974,1.09464,2.854368,0.9831073,0.994704,1.335256,1.03133,0.9313843,1.334845,1.357011,0.9953973,1.231666,1.129061,1.208299,1.109295,0.8837395,0.9472284,0.9935383,1.326282
"3",1.358415,1.361175,1.35525,1.338734,2.25321,1.392694,1.374834,1.374348,1.435105,1.601746,1.541839,5.696524,2.177466,1.391374,1.496026,1.649528,1.638334,1.889785,2.64263,1.450929,1.044969,1.301992,1.161696,1.666434,1.043332,0.9777619,1.441593,3.06229,0.9693932,1.483422,1.399042,0.9942535,1.252604,1.169113,1.176132,1.173045,0.9309171,1.04672,1.120055,1.549496
"4",0.5376663,2.597058,1.04577,0.5485845,1.244078,1.036942,0.62297,1.431049,0.7206314,1.31436,0.7779518,0.8606515,0.961866,0.8724064,0.790921,0.7268052,0.5726516,1.176449,0.5932955,0.6073445,0.4492863,0.5005174,1.038803,0.6365342,0.573199,0.4446909,0.6030444,0.4240763,0.7826045,0.9142539,0.5058357,0.4465698,0.6615349,0.7959095,0.8722589,0.5521557,1.081301,0.6704984,0.6805022,0.6082829
"5",0.6503005,1.092327,1.088508,0.6199318,1.423097,1.173839,0.7017996,1.426911,0.5651672,1.42336,0.8938655,0.8477008,1.155096,0.9936487,0.9322438,0.9018584,0.7435629,0.6997049,0.6752324,0.5413219,0.5388988,0.5687056,1.245913,0.7633786,0.687663,0.5605839,0.8225125,0.5909423,0.8867904,0.6597341,0.5701895,0.5244625,0.6702178,0.9919007,1.108136,0.647858,3.053898,0.8678312,1.203663,0.749472
"6",1.080274,2.636478,1.719363,1.56450613666667,2.094564,1.607204,1.38872,1.56450613666667,1.174224,1.186122,1.385811,1.56450613666667,1.786013,4.416356,1.471833,1.56450613666667,1.085396,1.13015,1.224208,1.56450613666667,0.9110144,0.9311646,2.102665,1.56450613666667,1.160739,0.9240537,1.364787,1.56450613666667,3.409169,0.9012724,1.024249,1.56450613666667,1.046254,1.412904,1.268997,1.56450613666667,2.244126,1.425687,1.421386,1.56450613666667
"7",5.568778,9.526417,3.142052,5.633153,5.863402,3.783114,11.76927,3.315938,5.522814,17.67999,5.102155,6.756676,9.109638,3.421351,6.624841,21.05687,5.38273,6.258545,5.689556,3.108112,6.996725,10.85217,6.500374,5.189422,7.675237,16.39988,5.250745,3.536641,3.661563,4.585103,3.339141,3.180096,5.267019,11.97554,5.09661,4.343483,6.006926,4.221066,4.64786,6.7446411025641
"8",10.58394,12.04441,4.809141,7.2124,5.629396,2.549285,5.871932,3.287299,5.978377,6.447921,11.25197,13.36821,23.12783,3.329971,18.88302,8.838396,16.70169,5.677569,4.315466,3.043346,6.851805,4.241314,6.325707,5.054976,19.43245,10.86487,3.293126,3.352125,5.595299,14.67085,15.40692,3.493316,5.537112,24.02262,4.549992,8.016655,4.547169,4.932741,5.718118,8.43227523076923
"9",15.27301,4.469443,2.753366,4.753973,8.658635,3.407747,5.358039,2.984517,4.19427,7.804293,4.780889,8.31865,9.301804,7.219012,9.092299,30.51668,5.377746,5.682914,4.032867,2.898839,7.983119,20.53649,11.37607,4.752875,15.62645,5.414609,13.94397,2.480348,10.0016,5.640326,2.613607,3.634064,3.914704,2.659775,11.96066,5.915785,3.130171,3.771178,6.234793,7.39665607692308
"10",2.560574,11.24538,1.966521,2.691228,16.62088,3.589543,5.655549,3.086842,3.100956,3.071706,8.401817,2.041432,7.984071,2.612163,3.901842,4.558493,6.366649,2.852878,3.09098,10.21134,3.417048,3.232036,2.914558,5.162161,4.304406,5.042974,7.891727,10.59247,4.238502,3.780769,2.769634,2.991147,2.498405,6.508103,2.275363,4.954279,2.285368,4.527236,3.278527,4.82757838461538
